FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,2,0,0,2.88,3.4,2.63,2.7,3.2,2.4,2.6,3.1,2.3,2.9,3.3,2.37,2.86,3.34,2.62,2.9,3.25,2.45,2.75,3.25,2.4,2.9,3.4,2.55,34,2.94,2.78,3.5,3.25,2.63,2.44,31,2.15,2.04,1.82,1.75,15,0.25,1.77,1.73,2.25,2.16
2,2,2,1,2.2,3.4,3.6,2.1,3.2,3.2,2.1,3.1,3,2.1,3.4,3.4,2.21,3.45,3.47,2.15,3.3,3.4,2.1,3.25,3.25,2.2,3.4,3.5,35,2.21,2.12,3.5,3.29,3.6,3.3,31,2.07,1.99,1.89,1.79,15,-0.25,1.9,1.85,2.06,2
2,1,0,0,2.5,3.4,3,2.45,3.2,2.65,2.3,3.1,2.6,2.5,3.4,2.7,2.49,3.41,2.98,2.45,3.25,2.9,2.38,3.2,2.8,2.4,3.4,2.9,35,2.56,2.4,3.5,3.25,3.05,2.83,31,2.05,1.97,1.9,1.81,15,0,1.82,1.74,2.22,2.09
3,1,2,1,1.65,4,6,1.65,3.4,5,1.7,3.4,3.9,1.66,3.75,5,1.63,3.96,6.11,1.67,3.75,5,1.57,3.6,5.5,1.62,3.9,6.25,35,1.7,1.62,4,3.69,6.11,5.25,31,2.05,1.97,1.88,1.81,16,-0.75,1.88,1.8,2.12,2.06
4,1,2,0,2.15,3.5,3.6,2.05,3.25,3.3,2,3.2,3.1,2.1,3.4,3.4,2.12,3.5,3.67,2.05,3.4,3.6,2.05,3.25,3.4,2.15,3.5,3.6,35,2.2,2.08,3.5,3.33,3.67,3.36,31,2.06,1.98,1.89,1.81,16,-0.25,1.86,1.82,2.11,2.04
1,4,1,2,2.1,3.5,3.75,1.9,3.25,3.75,1.9,3.2,3.4,1.9,3.4,4,2.11,3.49,3.7,2.05,3.4,3.6,2,3.25,3.6,2.1,3.5,3.8,35,2.12,2.01,3.5,3.31,4,3.61,31,2.1,2.01,1.88,1.78,16,-0.5,2.12,2.06,1.85,1.8
3,0,1,0,2.3,3.5,3.25,2.2,3.2,3,2.1,3.1,3,2.2,3.4,3.2,2.3,3.48,3.25,2.25,3.3,3.2,2.2,3.25,3.13,2.25,3.4,3.4,35,2.35,2.21,3.5,3.28,3.3,3.11,31,2.05,1.93,1.91,1.85,16,-0.25,1.99,1.92,1.98,1.93
2,0,2,0,2.2,3.4,3.6,2,3.25,3.4,2,3.2,3.1,2,3.5,3.6,2.18,3.57,3.43,2.05,3.4,3.6,2.05,3.3,3.3,2.15,3.5,3.6,35,2.2,2.07,3.57,3.34,3.6,3.39,31,2.08,1.98,1.87,1.8,15,-0.5,2.19,2.11,1.79,1.76
1,0,1,0,2.25,3.4,3.5,2.1,3.2,3.2,2,3.2,3.1,2.1,3.4,3.4,2.21,3.43,3.5,2.15,3.3,3.4,2.1,3.25,3.2,2.2,3.4,3.5,35,2.25,2.12,3.5,3.3,3.5,3.3,31,2.16,2.05,1.84,1.75,15,-0.5,2.24,2.17,1.75,1.71
1,1,0,0,2.3,3.5,3.3,2.15,3.2,3.1,2.2,3.1,2.8,2.1,3.4,3.4,2.28,3.45,3.31,2.2,3.3,3.3,2.2,3.25,3.13,2.25,3.4,3.3,35,2.3,2.19,3.5,3.29,3.4,3.17,31,2.06,1.97,1.88,1.81,16,-0.25,1.98,1.92,1.99,1.93
1,0,1,0,2.15,3.4,3.75,2,3.2,3.5,2,3.2,3.1,2,3.5,3.6,2.12,3.44,3.72,2.05,3.4,3.6,2.05,3.3,3.3,2.15,3.5,3.6,34,2.16,2.06,3.6,3.33,3.85,3.43,31,2.13,2.04,1.85,1.76,15,-0.5,2.18,2.11,1.81,1.76
1,0,0,0,2.5,3.4,3,2.45,3.2,2.65,2.3,3.1,2.6,2.5,3.3,2.75,2.5,3.32,3.04,2.5,3.2,2.88,2.4,3.2,2.75,2.55,3.3,2.9,35,2.55,2.43,3.4,3.23,3.04,2.81,24,2.2,2.06,1.79,1.69,15,0,1.82,1.77,2.16,2.05
2,2,0,0,3,3.4,2.5,2.65,3.2,2.45,2.5,3.1,2.4,3,3.4,2.3,3.02,3.46,2.44,3,3.2,2.6,2.88,3.3,2.5,2.9,3.3,2.6,32,3.02,2.87,3.46,3.24,2.6,2.42,30,2.1,1.99,1.86,1.8,14,0,2.17,2.1,1.79,1.76
1,0,1,0,2.4,3.5,3.1,2.3,3.2,2.8,2.3,3.1,2.6,2.4,3.3,2.87,2.38,3.44,3.12,2.5,3.1,2.9,2.3,3.2,2.88,2.5,3.3,3,32,2.5,2.35,3.5,3.26,3.13,2.92,30,2.06,2,1.88,1.79,16,-0.25,2.06,2.01,1.9,1.86
0,0,0,0,2.5,3.4,3,2.25,3.2,2.9,2.2,3.1,2.8,2.3,3.3,3,2.46,3.38,3.05,2.5,3.1,2.9,2.3,3.2,2.88,2.5,3.4,3,32,2.5,2.36,3.4,3.23,3.1,2.93,30,2.08,2.01,1.88,1.78,15,-0.25,2.12,2.08,1.82,1.8
1,0,1,0,2.38,3.4,3.25,2.2,3.2,3,2.2,3.1,2.8,2.25,3.4,3.1,2.33,3.43,3.23,2.4,3.1,3.1,2.25,3.25,3,2.4,3.4,3.1,32,2.4,2.28,3.43,3.28,3.25,3.04,30,1.96,1.86,2.03,1.93,16,-0.25,2.04,2,1.9,1.87
2,0,1,0,2.1,3.5,3.8,1.9,3.25,3.75,1.9,3.2,3.4,1.95,3.5,3.75,2.12,3.38,3.81,2.15,3.3,3.8,2,3.4,3.4,2.1,3.4,3.8,32,2.15,2.03,3.5,3.32,4,3.59,30,2.11,2.04,1.84,1.77,15,-0.5,2.12,2.08,1.83,1.8
2,0,1,0,2.8,3.3,2.75,2.45,3.2,2.65,2.4,3.1,2.5,2.55,3.3,2.7,2.83,3.3,2.68,2.8,2.9,2.8,2.6,3.2,2.6,2.8,3.2,2.8,32,2.88,2.66,3.4,3.18,2.8,2.62,21,2.38,2.23,1.7,1.59,15,0,2.06,1.97,1.98,1.87
