FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH
1,0,1,0,2.875,3,2.25,2.95,3.1,2.27,2.7,2.9,2.4,2.875,3,2.25,,,,3,3,2.25,3,3,2.2,2.05,1.6,1.85,1.95,0.25,,,
1,2,0,1,1.727,3.1,4.5,1.7,3.1,4.9,1.7,3.1,4.4,1.615,3.25,5,,,,1.72,3.1,4.75,1.66,3.1,5,2.15,1.55,2,1.8,-0.75,2.05,1.85,-0.75
0,1,0,0,2.5,2.875,2.625,2.55,3,2.65,2.7,2.9,2.4,2.5,3.2,2.5,,,,2.6,3,2.5,2.6,3.1,2.4,2.05,1.6,1.9,1.9,0,1.925,1.975,0
0,0,0,0,1.571,3.25,5.5,1.67,3.35,4.85,1.6,3.3,4.8,1.571,3.25,5.5,,,,1.61,3.25,5.25,1.66,3.3,4.5,1.9,1.7,1.85,1.95,-0.75,1.9,2,-0.75
0,1,0,1,2,3,3.4,1.93,3.1,3.8,1.8,3.1,3.8,2,3,3.4,,,,1.95,3.1,3.6,1.8,3.25,3.8,2.05,1.6,1.9,1.9,-0.5,2,1.9,-0.5
2,0,1,0,1.909,3,3.75,1.93,3.1,3.75,1.9,3.1,3.5,2,3.2,3.2,,,,1.9,3.1,3.75,1.83,3,4,2.05,1.6,1.9,1.9,-0.5,1.925,1.975,-0.5
1,1,0,1,1.909,3,3.75,1.95,3.15,3.7,2,2.9,3.4,2,3.2,3.2,,,,1.95,3.1,3.6,1.83,3.2,3.75,2.05,1.6,1.95,1.85,-0.5,2.05,1.85,-0.5
0,0,0,0,1.533,3.4,5.5,1.6,3.33,5.5,1.45,3.6,5.8,1.5,3.25,6.5,,,,1.53,3.4,6,1.53,3.25,6,1.9,1.7,1.9,1.9,-1,1.8,2.1,-0.75
2,1,1,1,1.909,3,3.75,1.91,3.15,3.75,1.85,3.1,3.6,2,3.2,3.2,,,,1.9,3.1,3.75,2,3,3.4,2.15,1.55,1.9,1.9,-0.5,1.975,1.925,-0.5
1,1,0,0,2.1,3,3.2,2,3.1,3.5,1.85,3.1,3.6,2.1,3,3.2,,,,1.95,3,3.75,1.9,3,3.75,2.15,1.55,1.75,2.05,-0.25,1.8,2.1,-0.25
