FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
0,1,0,0,3.25,3,2.1,3,3,2.2,3.5,3.1,2,3.2,2.9,2.1,3.2,3.2,2,3.25,3,2.1,2.87,3.1,2.2,2.1,1.6,1.64,2,0.5,,,,,,
2,1,1,0,2.1,3,3.25,2.05,3,3.45,2.12,3,3.25,2.2,2.9,3,2.1,3.2,3,2.1,3,3.25,2,3.2,3.2,2.2,1.55,2.12,1.56,-0.5,,,,,,
1,1,1,1,1.9,3.2,3.6,1.9,3.1,3.75,1.95,3,3.75,1.8,3.1,3.8,2,3,3.4,1.91,3.1,3.75,1.9,3,3.75,2.1,1.6,1.95,1.67,-0.5,,,,,,
2,0,1,0,2.37,3,2.75,2.4,3.2,2.6,2.45,3.05,2.65,2.4,2.9,2.7,2.4,3.25,2.5,2.38,3,2.8,2.37,3,2.7,2.2,1.55,2.45,1.42,-0.5,,,,,,
1,0,0,0,1.72,3.25,4.33,1.6,3.5,5,1.7,3.3,4.5,1.75,3.2,4,1.727,3.2,4.333,1.75,3.2,4.33,1.66,3.3,4.5,2,1.65,1.7,1.9,-0.5,,,,,,
1,0,0,0,2.5,3,2.62,2.65,3.15,2.4,2.45,3.1,2.65,2.3,3,2.7,2.4,3.25,2.5,2.62,3,2.5,2.37,3,2.7,2.2,1.55,2.45,1.43,-0.5,,,,,,
2,1,2,1,2.75,3,2.37,3,3.1,2.2,2.85,3,2.35,2.7,2.9,2.4,2.75,3.2,2.25,2.75,3,2.4,2.87,3,2.25,2.1,1.6,1.46,2.35,0.5,,,,,,
1,0,1,0,1.57,3.4,5.5,1.55,3.55,5.5,1.6,3.3,5.5,1.6,3.4,4.6,1.533,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5,1.95,1.71,1.6,2.06,-0.5,,,,,,
0,1,0,1,3.25,3,2.1,3.5,3.2,1.95,3.1,3.1,2.15,3,2.9,2.2,3.2,3,2.1,3.1,3,2.2,2.87,3,2.25,2,1.65,1.55,2.15,0.5,,,,,,
0,0,0,0,2.37,3,2.75,2.4,3.05,2.7,2.4,3,2.75,2.4,2.9,2.7,2.4,3.2,2.625,2.38,3,2.8,2.3,3,2.8,2.2,1.55,2.4,1.43,-0.5,,,,,,
1,2,0,1,2.1,3,3.25,2.2,3,3.1,2.15,3,3.2,2.2,2.8,3.1,2,3.2,3.2,2.2,2.88,3.2,1.95,3.1,3.5,2.3,1.5,1.9,1.9,-0.25,,,,,,
3,1,0,0,1.72,3.25,4.33,1.7,3.3,4.5,1.77,3.15,4.4,1.85,3.1,3.6,1.8,3.2,4,1.8,3.2,4,1.8,3.1,4,2,1.65,1.77,1.84,-0.5,,,,,,
5,1,2,0,1.83,3.1,4,1.8,3.1,4.3,1.8,3.1,4.3,1.8,3,4,1.73,3.2,4.33,1.83,3.1,4,1.72,3.1,4.5,2.1,1.6,1.8,1.8,-0.5,,,,,,
3,0,2,0,1.66,3.4,4.5,1.7,3.3,4.5,1.7,3.35,4.5,1.6,3.3,4.8,1.67,3.2,5,1.73,3.2,4.5,1.7,3.2,4.5,2.1,1.6,1.85,1.95,-0.75,,,,,,
1,1,0,1,1.61,3.4,5,1.45,3.7,6.5,1.57,3.5,5.3,1.6,3.3,4.8,1.5,3.4,6,1.62,3.4,5,1.5,3.4,6,1.9,1.75,2,1.8,-1,,,,,,
2,1,2,0,1.33,4,8.5,1.3,4.5,8.25,1.3,4.5,8.5,1.35,3.8,7.5,1.3,4.33,8,1.3,4.33,8.5,1.3,4.33,8,1.79,1.85,1.7,1.8,-1.5,,,,,,
1,1,0,0,1.72,3.25,4.33,1.6,3.5,5,1.65,3.3,5,1.65,3.2,4.6,1.62,3.25,5,1.67,3.25,4.75,1.66,3.3,4.5,2.1,1.6,1.95,1.85,-0.75,,,,,,
2,2,1,1,1.33,4.33,7.5,1.3,4.5,9,1.33,4.3,8,1.3,4,8.5,1.3,4,9,1.36,4,7.5,1.3,4.33,8,1.85,1.79,1.8,1.75,-1.5,,,,,,
1,4,0,3,2.1,3,3.25,2,3.05,3.5,2,3.15,3.4,2.1,2.8,3.3,1.91,3.2,3.5,2.1,3,3.25,2.05,3.1,3.2,2.2,1.55,2,1.64,-0.5,,,,,,
3,0,1,0,1.61,3.4,5,1.55,3.5,5.5,1.6,3.45,5.1,1.6,3.3,4.8,1.57,3.25,5.5,1.67,3.25,4.75,1.57,3.3,5.5,1.95,1.71,1.85,1.95,-0.75,,,,,,
1,0,0,0,1.9,3.1,3.75,1.95,3,3.75,1.95,3.1,3.6,1.9,3,3.6,1.8,3.2,4,2,3,3.5,1.9,3,3.75,2.2,1.55,1.95,1.67,-0.5,,,,,,
1,0,1,0,3.25,3.25,2,3.6,3,2,3.6,3,2,3.2,2.9,2.1,3.4,3,2,3.5,3,2,3.5,3.1,1.95,2.1,1.6,1.64,2,0.5,,,,,,
0,2,0,1,2.75,3,2.37,2.85,2.9,2.4,2.75,3,2.4,3.1,2.8,2.2,2.6,3.2,2.38,2.88,2.88,2.38,2.9,3,2.25,2.2,1.55,1.85,1.95,0.25,,,,,,
0,0,0,0,2.1,3.25,3,2.3,3,2.9,2.25,3,3,2.3,2.8,2.9,2.1,3.2,3,2.2,3,3.1,2.25,3.1,2.8,2.1,1.6,2.25,1.5,-0.5,,,,,,
1,1,0,0,2.75,3,2.37,2.9,3,2.3,2.75,3,2.4,2.9,2.8,2.3,3,3.2,2.1,2.75,3,2.38,2.75,2.9,2.4,2,1.65,1.85,1.95,0.25,,,,,,
1,0,1,0,2.1,3.25,3,2,3.25,3.25,2.1,3,3.3,2.1,2.9,3.2,2.1,3.2,3,2.1,3,3.25,2,3.1,3.3,2,1.65,1.8,2,-0.25,,,,,,
1,2,1,1,2,3.25,3.25,2.15,3,3.2,2.1,3,3.3,2.1,2.9,3.2,2.1,3.2,3,2.1,3,3.25,2.05,3.1,3.2,2,1.65,2.1,1.57,-0.5,,,,,,
1,1,1,0,2,3.25,3.25,2.1,3,3.3,2,3,3.6,2.1,2.9,3.2,2,3,3.4,2.1,3,3.25,1.9,3.1,3.6,2,1.65,1.85,1.95,-0.25,,,,,,
2,1,0,0,2.75,3.25,2.25,3.1,3,2.2,2.9,3,2.3,2.9,2.8,2.3,2.75,3.2,2.25,2.88,3,2.3,2.8,3.1,2.25,2.1,1.6,1.47,2.3,0.5,,,,,,
1,1,1,0,3,3.1,2.2,3.5,3.05,2,3.1,3,2.2,3.2,2.9,2.1,3.2,3.2,2,3.1,3,2.2,3,3,2.2,2.2,1.55,1.52,2.2,0.5,,,,,,
1,1,1,0,1.83,3.25,3.75,2,3.05,3.5,1.9,3.1,3.8,1.9,3.1,3.5,2,3,3.4,1.91,3.1,3.75,1.9,3.1,3.6,2.3,1.5,1.9,1.71,-0.5,,,,,,
