FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
2,2,2,1,3.4,3.5,1.833,4.2,3.4,1.7,4,3.3,1.7,,,,3.6,3.5,1.8,4,3.6,1.66,1.55,2.25,,,
3,1,0,1,1.8,3.4,3.6,1.75,3.4,4,1.55,3.6,4.6,,,,1.72,3.4,4.2,1.7,3.3,4.1,1.65,2.05,,,
1,0,0,0,1.571,3.5,5,1.55,3.6,5.25,1.65,3.4,4.2,,,,1.61,3.4,5,1.65,3.5,4.1,1.6,2.15,,,
1,0,1,0,1.909,3.4,3.25,1.8,3.35,3.8,1.75,3.3,3.8,,,,1.9,3.25,3.5,1.85,3.3,3.4,1.6,2.15,,,
2,1,0,0,1.333,4,8,1.35,4.2,7.5,1.25,4.5,9,,,,1.33,4.2,8,1.28,4.5,8,1.5,2.35,,,
1,0,1,0,2.4,3.4,2.4,2.45,3.25,2.5,2.2,3.1,2.8,,,,2.4,3.3,2.5,2.25,3.3,2.55,1.71,2,,,
1,0,1,0,1.533,3.4,5.5,1.5,3.7,5.5,1.55,3.5,4.8,,,,1.44,3.75,6.5,1.55,3.55,4.75,1.55,2.25,,,
1,2,1,1,4,3.4,1.727,4.25,3.6,1.65,4.8,3.5,1.55,,,,4.5,3.4,1.66,4.5,3.75,1.57,1.55,2.25,,,
0,1,0,1,3.6,3.4,1.8,4.25,3.4,1.7,3.1,3.2,2,,,,3.5,3.25,1.9,3.05,3.25,2,1.6,2.15,,,
3,0,1,0,1.909,3.4,3.25,1.9,3.3,3.5,2.1,3.2,2.9,,,,1.9,3.25,3.4,1.85,3.3,3.4,1.71,2,,,
1,1,0,1,2.375,3.5,2.375,2.4,3.2,2.6,2.3,3.2,2.5,,,,2.4,3.4,2.4,2.35,3.3,2.45,1.71,2,,,
1,0,1,0,2.6,3.4,2.25,2.55,3.3,2.35,2.4,3.2,2.4,,,,2.6,3.25,2.3,2.7,3.3,2.2,1.6,2.15,,,
2,0,0,0,1.667,3.4,4.333,1.8,3.3,3.9,1.9,3.2,3.4,,,,1.75,3.3,4,1.8,3.3,3.6,1.75,2,,,
6,1,4,1,1.167,5.5,11,1.15,6,13,1.2,5,10,,,,1.16,5.5,11,1.16,6,10,1.45,2.5,,,
0,1,0,1,6,3.75,1.444,6.7,3.7,1.4,6,3.9,1.4,,,,6,3.75,1.44,7,4,1.36,1.6,2.15,,,
1,3,0,1,2.2,3.4,2.625,2.15,3.2,2.95,2.1,3.2,2.9,,,,2.2,3.25,2.75,2.1,3.3,2.8,1.6,2.15,,,
3,0,2,0,2.25,3.4,2.6,2.2,3.2,2.85,2.3,3.2,2.5,,,,2.37,3.25,2.5,2.3,3.25,2.55,1.71,2,,,
