FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,3,2,1,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4,,,,1.67,3.4,4.33,1.66,3.3,4.5,1.65,2,1.7,1.392,-0.5,,,,,,
1,1,1,0,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,,,,1.91,3.25,3.4,1.8,3.3,3.75,1.6,2.1,1.9,1.69,-0.5,,,,,,
3,2,1,2,2,3.25,3.25,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3,2.9,,,,1.91,3.25,3.4,2,3.2,3.2,1.65,2,1.91,1.69,-0.5,,,,,,
2,0,2,0,2.2,3.25,2.8,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3,,,,2.25,3.2,2.75,2.25,3.2,2.75,1.71,1.95,2.2,1.52,-0.5,,,,,,
2,5,2,1,5,3.6,1.57,4.5,3.55,1.65,5,3.5,1.6,3.8,3.3,1.75,,,,4.75,3.4,1.62,6,3.4,1.5,1.6,2.1,2.06,1.6,0.5,,,,,,
1,0,0,0,2.2,3.25,2.8,2.1,3.3,3,2.2,3.2,2.9,2.3,3,2.7,,,,2.25,3.2,2.75,2.15,3.3,2.8,1.71,1.95,2.2,1.52,-0.5,,,,,,
6,1,2,1,1.16,5.5,13,1.25,5.25,8,1.2,5.5,11,1.2,5,10,,,,1.17,5.5,11,1.16,6,10,,,1.2,3.67,-0.5,,,,,,
0,0,0,0,2.1,3.25,3,2,3.35,3.2,2.1,3.25,3.05,2.2,3,2.9,,,,2.1,3.2,3,1.95,3.3,3.25,1.75,1.9,2.1,1.57,-0.5,,,,,,
2,3,0,2,4,3.5,1.72,4,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,,,,4.33,3.4,1.67,4.5,3.5,1.61,1.65,2,1.9,1.7,0.5,,,,,,
1,0,1,0,1.8,3.3,3.75,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,,,,1.8,3.25,3.8,1.72,3.4,4,1.65,2,1.83,1.77,-0.5,,,,,,
1,2,1,0,2.2,3.25,2.75,2.1,3.3,3,2.2,3.3,2.85,2.3,3,2.7,,,,2.2,3.1,2.88,1.95,3.3,3.25,1.6,2.1,2.2,1.53,-0.5,,,,,,
3,4,1,2,1.9,3.25,3.4,2,3.15,3.3,1.9,3.3,3.55,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.9,3.3,3.3,1.65,2,1.9,1.71,-0.5,,,,,,
5,1,1,0,1.44,3.75,6,1.45,3.8,6,1.45,3.75,6.5,1.45,3.8,5.4,,,,1.4,3.75,7,1.4,3.75,7,1.5,2.3,2.03,1.48,-1.5,,,,,,
1,0,0,0,2.2,3.25,2.75,2.2,3.25,2.85,2.15,3.2,3,2.1,3,3.1,,,,2.2,3.25,2.75,2.25,3.3,2.62,1.65,2,2.15,1.55,-0.5,,,,,,
6,2,2,1,1.22,5,9,1.2,6,9,1.22,5,11,1.25,4.5,9,,,,1.22,5,9.5,1.25,5,8,,,1.22,3.44,-0.5,,,,,,
1,1,1,1,2.3,3.4,2.5,2.1,3.3,3,2.35,3.25,2.65,2.2,3,2.9,,,,2.2,3.2,2.8,2.2,3.3,2.7,1.65,2,2.35,1.46,-0.5,,,,,,
5,1,1,1,1.66,3.4,4.33,1.65,3.4,4.6,1.72,3.3,4.45,1.7,3.2,4.2,,,,1.67,3.4,4.33,1.61,3.3,5,1.55,2.2,1.72,1.89,-0.5,,,,,,
