Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,21/08/15,Malaga,Sevilla,0,0,D,0,0,D,25,10,5,2,19,11,7,2,3,3,0,1,3.4,3.4,2.15,3.3,3.4,2.25,2.9,3.3,2.3,3.4,3.3,2.25,3.39,3.57,2.25,3.2,3.4,2.2,3.4,3.5,2.25,39,3.5,3.26,3.6,3.42,2.3,2.2,37,1.95,1.86,2.02,1.92,24,0.25,2.02,1.95,1.94,1.9
SP1,22/08/15,Ath Madrid,Las Palmas,1,0,H,1,0,H,14,8,3,1,11,16,4,4,2,0,0,0,1.2,6.5,15,1.22,6,12,1.25,5.5,10.3,1.22,6.5,15,1.23,6.78,16.86,1.22,5.5,15,1.22,6.5,19,41,1.25,1.21,6.78,6.09,19,15.65,40,1.9,1.82,2.04,1.96,26,-1.75,2.02,1.95,1.95,1.89
SP1,22/08/15,Espanol,Getafe,1,0,H,1,0,H,4,14,2,3,19,14,5,6,2,3,0,1,1.91,3.4,4.33,1.95,3.25,4,2,3.3,3.6,1.91,3.4,4.5,1.93,3.47,4.68,1.91,3.3,4.33,1.91,3.5,4.6,41,2,1.9,3.75,3.37,4.68,4.31,36,2.53,2.37,1.6,1.56,27,-0.5,1.95,1.9,2.01,1.94
SP1,22/08/15,La Coruna,Sociedad,0,0,D,0,0,D,15,9,5,2,16,10,5,4,3,2,0,0,2.5,3.2,3,2.55,3.1,2.8,2.6,3.2,2.6,2.62,3.2,2.8,2.59,3.23,3.08,2.62,3,2.9,2.55,3.3,3,41,2.75,2.52,3.4,3.14,3.1,2.93,37,2.48,2.37,1.63,1.56,26,0,1.82,1.78,2.15,2.07
SP1,22/08/15,Vallecano,Valencia,0,0,D,0,0,D,8,10,3,4,19,11,3,3,3,1,0,0,3.6,3.5,2.05,3.5,3.4,2.05,3.6,3.3,2,3.6,3.6,2,3.72,3.77,2.06,3.6,3.3,2.1,3.7,3.75,2.05,41,4,3.57,3.77,3.55,2.15,2.02,39,1.83,1.75,2.15,2.04,27,0.5,1.9,1.83,2.08,2.01
SP1,23/08/15,Ath Bilbao,Barcelona,0,1,A,0,0,D,8,10,2,4,16,11,2,4,3,3,0,0,6.5,4.33,1.5,6,4.2,1.5,5.2,4,1.57,6.5,4.33,1.53,7.06,4.53,1.52,7,3.8,1.53,6.5,4.6,1.53,41,7.4,6.6,4.8,4.33,1.57,1.49,33,1.66,1.6,2.38,2.27,27,1,2.12,2.03,1.87,1.81
SP1,23/08/15,Betis,Villarreal,1,1,D,0,1,A,22,8,6,4,11,26,7,5,3,1,0,1,2.8,3.25,2.6,2.65,3.25,2.6,2.6,3.2,2.6,2.9,3.3,2.5,2.93,3.34,2.63,2.8,3.1,2.62,3,3.25,2.5,37,3,2.81,3.35,3.22,2.7,2.55,35,2.25,2.12,1.78,1.7,26,0,2.09,2.02,1.87,1.82
SP1,23/08/15,Levante,Celta,1,2,A,0,1,A,11,15,2,6,12,17,4,6,1,3,1,0,3.6,3.3,2.15,3.25,3.2,2.2,2.9,3.3,2.3,3.6,3.3,2.15,3.84,3.4,2.15,3.4,3.1,2.25,3.75,3.4,2.15,41,3.84,3.58,3.5,3.26,2.3,2.13,37,2.43,2.31,1.66,1.59,26,0.25,2.11,2.03,1.86,1.81
SP1,23/08/15,Sp Gijon,Real Madrid,0,0,D,0,0,D,6,27,0,8,20,4,2,5,4,0,0,0,13,6.5,1.22,10,6.5,1.22,12.5,6,1.2,13,6.5,1.22,12.98,6.6,1.26,15,5,1.25,13,6.5,1.25,41,15,12.72,7,6.11,1.26,1.23,34,1.54,1.5,2.68,2.53,26,1.75,1.96,1.91,2,1.93
SP1,24/08/15,Granada,Eibar,1,3,A,0,2,A,12,10,6,4,5,23,6,5,1,6,1,0,1.91,3.3,4.5,1.95,3.1,4.33,2,3.3,3.6,1.95,3.3,4.5,1.9,3.34,5.15,1.95,3.1,4.5,1.9,3.3,5,39,2,1.88,3.5,3.23,5.15,4.64,33,2.88,2.68,1.5,1.45,25,-0.5,1.92,1.88,2.04,1.96
SP1,28/08/15,Villarreal,Espanol,3,1,H,0,1,A,14,4,4,2,10,20,2,3,1,6,0,0,1.57,3.8,6.5,1.62,3.75,6,1.6,3.7,5.4,1.53,4,7,1.6,4.09,6.69,1.53,3.8,7,1.6,4.1,6.5,36,1.63,1.56,4.1,3.84,7.5,6.5,33,2.2,2.11,1.81,1.71,24,-1,2.12,2.04,1.86,1.82
SP1,29/08/15,Barcelona,Malaga,1,0,H,0,0,D,22,4,13,1,4,21,15,2,0,3,0,0,1.1,10,26,1.13,7.75,16.5,1.15,7,15,1.12,8.5,19,1.14,10,24.1,1.14,7.5,19,1.12,10,31,36,1.15,1.11,10,8.96,51,24.11,35,1.4,1.37,3.25,3,25,-2.5,2.05,1.99,1.92,1.85
SP1,29/08/15,Celta,Vallecano,3,0,H,1,0,H,11,3,7,0,7,11,5,4,2,2,0,1,1.53,4.33,6,1.55,3.75,6.25,1.65,3.7,4.9,1.57,4.2,5.5,1.57,4.41,6.29,1.55,4,6,1.57,4.5,6,37,1.65,1.54,4.5,4.14,6.5,5.91,33,1.74,1.68,2.25,2.15,25,-1,1.99,1.92,1.96,1.91
SP1,29/08/15,Real Madrid,Betis,5,0,H,2,0,H,21,7,11,1,12,14,11,4,3,3,0,0,1.1,10,26,1.11,8.5,19.5,1.12,8,16,1.12,9,19,1.13,11.4,23,1.12,8,21,1.13,11,23,35,1.14,1.11,11.4,9.34,29.67,21.71,32,1.33,1.28,3.9,3.57,24,-2.5,2.02,1.96,1.93,1.88
SP1,29/08/15,Sociedad,Sp Gijon,0,0,D,0,0,D,12,7,1,2,10,15,6,4,4,5,0,0,1.85,3.5,4.5,1.9,3.5,4.75,1.85,3.45,4,1.85,3.4,4.33,1.88,3.47,4.99,1.91,3.2,4.5,1.85,3.6,4.8,37,1.91,1.86,3.6,3.35,4.99,4.53,33,2.45,2.3,1.65,1.59,25,-0.5,1.88,1.84,2.06,2
SP1,30/08/15,Eibar,Ath Bilbao,2,0,H,1,0,H,9,9,8,1,14,13,11,4,2,2,0,0,4,3.1,2.1,4,3.25,2.15,3.3,3.3,2.1,4,3.2,2.05,4.04,3.27,2.15,3.8,3,2.15,4,3.25,2.15,37,4.05,3.79,3.3,3.14,2.16,2.1,28,2.75,2.59,1.52,1.47,24,0.5,1.8,1.75,2.17,2.1
SP1,30/08/15,Getafe,Granada,1,2,A,0,2,A,16,9,4,4,16,15,6,6,5,3,0,0,2.05,3.2,4,2.05,3.25,3.6,2.1,3.3,3.3,2.1,3.2,4,2.1,3.3,4.14,2.05,3.1,4,2.05,3.3,4.3,36,2.1,2.04,3.3,3.18,4.3,3.87,27,2.65,2.51,1.53,1.5,25,-0.5,2.1,2.03,1.87,1.82
SP1,30/08/15,Las Palmas,Levante,0,0,D,0,0,D,16,3,2,2,14,21,3,0,2,4,0,0,1.91,3.3,4.5,1.91,3.25,4.2,2,3.3,3.6,1.95,3.3,4,1.92,3.47,4.75,1.91,3.2,4.5,1.93,3.4,4.75,36,2,1.9,3.47,3.26,4.75,4.35,27,2.5,2.42,1.6,1.53,25,-0.5,1.94,1.9,2.02,1.94
