FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,1,0,,,,2.4,2.9,2.4,,,,,,,2.6,3,2.5,2.75,3.1,2.3
4,0,1,0,,,,1.35,3.8,6.2,1.25,4.5,10,,,,1.33,4.33,7,1.3,4.2,8.5
2,1,1,1,,,,1.85,2.9,3.4,1.73,3.4,4,,,,1.91,3.2,3.5,1.83,3.4,3.5
3,2,1,1,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.83,3.2,3.75,1.8,3.4,3.6
0,3,0,1,,,,1.45,3.5,5,1.5,3.4,6,,,,1.44,3.6,6.5,1.44,3.5,7
0,3,0,1,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.6,3.2,2.38,,,
1,3,1,1,,,,2.1,2.9,2.9,2.1,3.2,3,,,,2.2,3,3,2.2,3.2,2.8
1,2,1,2,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.2,2.8,2.25,3.2,2.75
1,2,0,1,,,,3.2,2.9,1.9,3.4,3.25,1.91,,,,3.75,3.25,1.8,3.75,3.2,1.83
0,2,0,1,,,,2.1,2.9,2.9,2.4,3.25,2.5,,,,2.38,3.2,2.6,2.25,3.2,2.75
0,1,0,0,,,,1.9,2.9,3.2,2.1,3.2,3,2.1,3.1,3.1,2.1,3.2,3,2,3.2,3.2
0,1,0,0,,,,2.4,2.9,2.4,3,3,2.2,2.9,3,2.25,2.88,3,2.25,2.8,3,2.3
1,1,1,0,,,,1.25,4.3,8,1.3,4,9,1.3,4.33,8,1.33,4.33,7,1.25,4.5,10
3,0,1,0,,,,1.55,3.3,4.5,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6,,,
2,0,1,0,,,,1.8,3,3.5,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3,4.33,1.8,3.3,3.75
1,1,0,0,,,,1.2,4.7,9,1.25,4.5,10,1.3,4.33,8,1.29,4.5,8,1.28,4.5,8
