FTHG,FTAG,HTHG,HTAG,HHW,AHW,HO,AO,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,0,0,0,0,0,4,8,10,50,1.5,3.4,5,1.45,3.5,5,,,,1.5,3.5,6,1.44,3.6,6.5
4,1,1,0,1,0,3,3,10,0,1.3,4.5,6,1.45,3.5,5,,,,1.4,3.75,7,1.44,3.6,6.5
4,0,2,0,0,0,0,0,10,10,2.4,3.1,2.5,2.3,2.9,2.5,,,,2.6,3.25,2.38,2.4,3.2,2.5
2,2,2,2,1,0,0,0,20,45,1.8,3.3,3.8,1.8,3,3.5,,,,1.75,3.3,4,1.66,3.3,4.5
0,1,0,0,0,0,0,0,10,0,1.5,3.4,4.6,1.45,3.5,5,,,,1.44,3.8,6,1.5,3.6,5.5
2,0,2,0,0,0,0,0,0,20,1.4,4,5.5,1.55,3.3,4.5,,,,1.44,3.8,6,1.44,3.6,6.5
3,1,2,1,0,0,0,0,30,30,1.5,3.6,6,1.45,3.5,5,,,,1.4,3.75,7,1.5,3.4,6
3,0,1,0,1,2,2,2,10,10,1.75,3,4.5,1.65,3.1,4,1.8,3.25,3.75,1.8,3.2,3.9,1.72,3.2,4.2
2,1,2,0,1,0,0,0,20,30,1.95,3,3.3,1.85,2.9,3.4,1.8,3.25,3.75,1.85,3.25,3.6,1.75,3.25,4
1,4,0,0,0,0,1,1,20,20,2.9,3,2.1,3,2.9,2,,,,3.1,3.2,2.1,3.2,3,2.1
2,1,1,1,0,1,1,4,0,0,1.9,2.9,3.7,1.9,2.9,3.2,,,,1.91,3.25,3.5,1.9,3.2,3.5
0,3,0,3,0,0,2,1,10,0,5.75,3.1,1.47,3.6,3.1,1.75,,,,5,3.5,1.53,5.5,3.4,1.53
4,0,3,0,0,0,10,1,40,55,2.1,3.1,3,2,2.9,3,,,,2.1,3.2,3,2.1,3.1,3.1
4,1,2,0,0,0,4,8,10,40,2.9,3,2.3,2.4,2.9,2.4,,,,3.4,3.25,2,2.8,3.2,2.2
1,1,1,0,1,0,0,0,20,20,1.95,2.8,3.6,2.1,2.9,2.9,,,,2,3.25,3.25,2,3.2,3.2
4,0,1,0,1,0,2,2,20,55,2.25,3,2.9,2.1,2.9,2.9,,,,2.25,3.2,2.8,2.25,3.1,2.8
4,1,2,0,0,0,6,1,0,10,2.1,3,2.9,1.9,2.9,3.2,,,,2.1,3.25,3,1.9,3.2,3.5
0,4,0,3,0,0,1,3,45,30,2.3,2.95,2.5,2.2,2.8,2.8,,,,2.2,3.2,2.88,2.3,3,2.8
0,0,0,0,1,0,1,0,10,30,1.85,3.2,3.7,1.75,3.1,3.6,,,,1.85,3.2,3.75,1.9,3.2,3.5
1,0,1,0,0,0,7,2,40,20,2.05,3.15,3.2,2,2.9,3,2,3.4,3,2,3,3.5,1.9,3.2,3.5
1,0,1,0,0,0,2,2,50,45,1.2,4.8,8.5,1.25,4.3,8,,,,1.33,4,8.5,1.3,4,9.5
3,0,2,0,0,0,3,0,0,40,1.25,4.4,8,1.3,4,7,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8
3,1,2,0,0,1,3,1,0,30,1.2,4.5,9,1.25,4.3,8,1.3,4,9,1.3,4,10,1.3,4,9.5
2,3,1,1,0,1,1,1,30,20,1.8,3.25,4,1.7,3.1,3.8,1.7,3.5,3.75,1.75,3.2,4.33,1.61,3.25,5
4,0,0,0,0,3,3,2,55,55,1.85,3.1,3.9,1.75,3.1,3.6,1.8,3.4,3.6,1.8,3.2,4,1.8,3.25,3.8
2,1,1,0,0,1,6,9,20,20,1.95,3.1,3.4,1.9,2.9,3.2,,,,1.95,3.2,3.5,2,2.87,3.6
4,0,3,0,0,0,0,4,0,20,1.4,3.6,6.5,1.45,3.5,5,1.5,3.5,5.5,1.5,3.5,6,1.5,3.4,6
0,0,0,0,0,1,2,6,0,10,2.35,3,2.8,,,,,,,2.5,3.2,2.5,2.62,3.1,2.4
1,1,0,1,1,2,3,2,20,45,2.9,3.1,2.15,3,2.9,2,2.6,3.4,2.25,3,3.25,2.1,3,3.2,2.1
1,1,0,0,2,0,3,1,20,30,1.95,3.15,3.3,1.9,2.9,3.2,2.2,3.25,2.75,2,3.2,3.3,2,3.2,3.2
0,4,0,2,0,3,3,0,35,20,2.45,3.15,2.55,2.4,2.9,2.4,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.1,2.4
2,1,1,1,0,0,1,4,30,30,3.3,3.1,2,2.9,2.9,2.1,3.6,3.1,1.9,3.5,3.25,1.9,3.75,3.3,1.8
1,2,0,1,0,1,6,8,30,20,2.2,3.1,2.9,2.2,2.9,2.7,2.25,3.2,2.75,2.15,3.25,3,2.25,3.1,2.8
2,1,1,0,1,0,0,1,20,30,2.15,3.1,3,2.2,2.9,2.7,2.1,3.2,3,2.2,3.2,2.88,2.25,3.1,2.8
2,0,0,0,2,0,7,0,20,40,2.25,3.2,2.8,2.2,2.9,2.7,2.4,3.25,2.5,2.3,3.2,2.75,2.3,3.1,2.75
0,0,0,0,1,0,4,2,10,20,2.2,3.15,2.9,2,2.9,3,2.1,3.2,3,2.25,3.1,2.88,2.1,3.2,3
3,1,1,1,1,0,1,2,35,10,1.66,3.4,4.3,1.6,3.2,4.2,1.7,3.4,4,1.67,3.25,4.75,1.57,3.5,5
3,1,1,1,0,1,4,3,20,0,1.25,5.2,8,1.25,4.3,8,1.25,4.5,10,1.22,5,10,1.16,5,15
2,1,1,0,0,0,3,4,20,30,2.2,3.2,2.85,2.4,2.9,2.4,2.5,3.25,2.35,2.6,3.2,2.4,2.4,3.25,2.5
1,0,1,0,2,0,1,2,30,40,2.3,3.2,2.65,2.3,2.9,2.5,2.35,3.25,2.5,2.38,3.1,2.7,2.5,3.1,2.5
4,1,0,0,1,0,3,2,10,10,1.51,3.45,6.1,1.45,3.5,5,1.55,3.5,5,1.5,3.5,6,1.61,3.25,5
