FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
3,1,3,0,1.2,5,11,1.25,5,10,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.22,5,10,1.25,4.5,10,1.5,2.25,,,2,1.8,-2,1.8,2.05,-1.75,,,
0,3,0,1,1.571,3.5,5,1.65,3.5,4.75,1.65,3.3,4.4,1.571,3.5,5,1.57,3.5,5.25,1.57,3.5,5.25,1.57,3.5,5,1.65,1.95,,,1.75,2.1,-0.75,2.05,1.8,-1,1.8,2.1,-0.75
0,3,0,2,1.833,3.2,3.75,1.85,3.25,4,1.8,3.1,3.8,1.8,3.25,3.75,1.83,3.3,3.75,1.8,3.25,4,1.72,3.4,4,1.7,1.9,,,1.8,2,-0.5,1.8,2.05,-0.5,2.025,1.875,-0.75
0,1,0,1,1.8,3.3,3.75,1.85,3.25,3.9,1.9,3.1,3.5,1.8,3.25,3.75,1.85,3.25,3.75,1.85,3.25,3.75,1.9,3.2,3.5,1.65,1.95,,,1.8,2,-0.5,1.8,2.05,-0.5,1.825,2.075,-0.5
4,1,3,1,1.667,3.3,4.5,1.65,3.4,4.75,1.7,3.2,4.2,1.615,3.5,4.5,1.62,3.4,5,1.61,3.4,5,1.61,3.3,5,1.6,2,,,1.8,2,-0.75,1.8,2.05,-0.75,1.925,1.975,-0.75
2,2,1,0,2.375,3.1,2.625,2.35,3.2,2.75,2.3,3,2.7,2.375,3.2,2.6,2.3,3.1,2.8,2.3,3.1,2.8,2.3,3.1,2.75,1.75,1.85,,,2.05,1.75,-0.25,2.05,1.8,-0.25,2.125,1.775,-0.25
3,2,2,2,1.727,3.3,4.2,1.75,3.4,4.3,1.75,3.2,4,1.727,3.4,4,1.75,3.25,4.2,1.7,3.25,4.5,1.72,3.25,4.2,1.7,1.9,,,2.1,1.7,-1,1.8,2.05,-0.75,1.875,2.025,-0.75
0,2,0,0,2.625,3.1,2.375,2.65,3.25,2.4,2.5,3,2.5,2.5,3.25,2.4,2.63,3.2,2.38,2.62,3.2,2.37,2.62,3.2,2.3,1.75,1.85,,,1.9,1.9,0,2,1.85,0,2.1,1.8,0
1,0,0,0,1.833,3.2,3.75,2,3.25,3.4,1.9,3.1,3.5,1.833,3.4,3.5,1.91,3.25,3.5,1.9,3.25,3.5,1.9,3.2,3.5,1.7,1.9,,,1.95,1.85,-0.5,1.95,1.9,-0.5,2,1.9,-0.5
1,1,1,1,2.4,3.25,2.5,2.5,3.25,2.55,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62,1.65,2.05,1.8,1.9,1.85,1.95,0,1.95,1.9,0,1.875,2.025,0
4,0,1,0,1.571,3.5,5,1.55,3.7,5.5,1.5,3.7,5,1.5,3.4,6,1.53,3.5,5.5,1.53,3.6,5.5,1.44,3.6,6.5,1.65,2.05,1.72,2,1.8,2,-0.75,2.05,1.8,-1,1.9,2,-0.75
1,2,1,1,2.25,3.2,2.75,2.4,3.25,2.65,2.5,3,2.5,2.25,3.4,2.625,2.62,3.2,2.38,2.25,3.2,2.8,2.2,3.2,2.8,1.71,2,1.8,1.9,1.8,2,0,1.75,2.1,0,2.075,1.825,-0.25
2,2,0,2,2,3.2,3.2,2.05,3.15,3.4,2,3.1,3.2,2,3.2,3.2,2,3.25,3.25,2,3.25,3.25,1.83,3.3,3.6,1.71,2,1.83,1.83,1.5,2.55,0,2.05,1.8,-0.5,2.125,1.775,-0.5
3,3,3,1,4.5,3.3,1.667,4.5,3.45,1.7,3.6,3.1,1.85,4,3.4,1.727,4.33,3.25,1.73,4.2,3.4,1.72,4,3.4,1.72,1.55,2.25,1.66,2.1,1.8,2,0.75,1.9,1.95,0.75,1.775,2.125,0.75
