FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,1,0,1,2.8,2.875,2.375,3.05,2.9,2.35,2.9,2.8,2.3,2.8,2.875,2.375,3,2.88,2.3,3,2.875,2.375,3,2.8,2.3,2.05,1.75,,
0,2,0,1,2,2.875,3.6,2.11,3,3.7,1.9,2.8,4,1.909,3,3.75,2,3,3.5,2,3,3.75,1.9,3,3.75,2,1.77,,
1,0,1,0,1.333,4,8,1.33,4.25,10,1.3,4,8.5,1.364,3.75,8,1.3,4.33,8.5,1.3,4.333,10,1.3,4,9.5,1.67,1.95,,
0,3,0,1,4.333,3.2,1.727,4.5,3.2,1.75,4.2,3.1,1.75,4.333,3.2,1.727,5,3.1,1.67,4.75,3.1,1.75,4.5,2.9,1.8,1.9,1.86,,
1,2,0,0,1.909,3,3.75,2.05,2.95,4,1.9,2.8,4,2,2.875,3.6,1.91,3,3.8,1.909,3,4,1.9,2.87,4,1.95,1.65,,
3,0,2,0,1.333,4,8,1.36,4.3,9,1.3,4,8.5,1.364,3.75,8,1.33,4,8.5,1.333,4.2,9,1.28,4.2,9,1.75,1.92,,
2,3,1,1,1.667,3.25,4.5,1.74,3.3,5,1.65,3.2,4.6,1.667,3.25,4.5,1.62,3.4,5,1.667,3.3,5,1.61,3.1,5.5,1.67,2.01,,
2,0,0,0,1.727,3.1,4.5,1.94,3,4.65,1.8,2.9,4.2,1.8,3,4.333,1.8,3,4.5,1.75,3,4.75,1.83,2.87,4.33,1.95,1.72,,
1,1,0,1,2.3,3,2.8,2.4,3,3,2.3,2.9,2.8,2.25,3,2.875,2.25,3,3,2.3,3,3,2.37,2.8,2.9,1.8,1.98,,
0,2,0,1,4.333,3.2,1.727,5,3.2,1.83,4,3,1.8,,,,4,3.2,1.8,4.2,3.2,1.8,4.5,2.87,1.8,1.85,1.75,,
3,0,1,0,1.286,4.5,8,1.33,4.25,11,1.3,4.2,8,,,,1.29,4.33,9.5,1.3,4.333,9.5,1.3,4,9.5,1.71,1.95,,
2,2,1,1,2.2,3,3,2.25,2.95,3.3,2.2,2.8,3.1,,,,2.2,3,3.1,2.2,3.1,3,2.25,2.8,3.1,1.75,1.9,,
1,2,0,0,1.667,3.25,4.5,1.7,3.2,4.9,1.75,3.2,4,,,,1.73,3.2,4.5,1.727,3.2,4.6,1.61,3.1,5.5,1.7,1.93,,
2,0,1,0,1.5,3.4,6,1.5,3.4,7,1.6,3.3,4.8,,,,1.5,3.5,6,1.5,3.5,6.5,1.44,3.4,7,1.7,1.9,,
2,0,1,0,2.1,3,3.2,2.23,2.9,3.3,2.1,2.8,3.3,,,,2.2,3,3.1,2.2,3,3.2,2.1,2.87,3.3,1.75,1.85,,
1,2,0,1,4,3,1.833,5,3.2,1.82,3.6,3,1.9,,,,4.2,3,1.83,4.2,3.1,1.85,4,3,1.83,1.88,1.75,,
1,2,1,1,1.222,5,9,1.25,4.75,11,1.25,4.5,9,,,,1.25,4.5,11,1.25,4.6,11,1.22,4.5,12,1.65,1.95,,
0,1,0,0,2.4,3,2.7,2.55,2.87,2.85,2.4,2.8,2.8,,,,2.5,3,2.6,2.5,3,2.7,2.5,2.8,2.7,1.8,1.8,,
2,2,0,0,1.4,3.6,7.5,1.42,3.8,7.75,1.45,3.7,5.6,1.4,3.75,7,1.44,3.6,7,1.44,3.75,7,1.44,3.5,7,1.77,1.9,,
1,1,0,1,2.875,3,2.25,3.1,3.2,2.32,2.8,2.8,2.4,2.75,3,2.38,3,3,2.25,2.875,3.1,2.25,2.8,2.9,2.37,1.77,1.9,,
1,0,0,0,1.727,3.1,4.5,1.92,3.1,3.9,1.9,3,3.6,1.73,3.2,4.33,1.8,3,4.33,1.83,3,4.33,1.8,2.9,4.5,1.8,1.82,,
2,3,1,2,2.8,3,2.3,3.17,3,2.24,2.8,2.9,2.3,2.75,3,2.38,3,3,2.25,3.1,3,2.2,3.1,2.8,2.25,1.9,1.7,,
1,1,1,0,2.1,3,3.2,2.11,3,3.6,2,2.8,3.6,2.1,3,3.2,2.2,3,3.1,2.2,3,3.2,2,2.9,3.6,1.9,1.7,,
2,1,1,1,1.5,3.4,6,1.51,3.75,5.75,1.5,3.6,5.2,1.44,3.6,6.5,,,,1.5,3.5,6.5,1.5,3.4,6,1.7,1.95,,
2,1,1,0,2.375,3,3,2.33,2.85,3.15,2.2,2.9,3,2.25,3,2.88,2.25,3,3,2.3,3,3,2.25,2.9,3,1.9,1.7,,
1,3,1,2,1.833,3,4,1.79,3.2,4.5,1.8,3,4,1.8,3.2,4,1.83,3.1,4,1.75,3.1,4.5,1.72,3.2,4.33,1.75,1.9,,
1,0,0,0,2.1,3,3.2,2.13,3,3.4,2.2,2.9,3,2.1,3,3.2,2.1,3.2,3.1,2.1,3.2,3.2,2.1,2.8,3.4,1.75,1.85,,
2,2,1,2,2.2,2.8,3.2,2.17,2.9,3.4,2.1,2.9,3.2,2.2,2.8,3.2,2.2,3.2,2.88,2.1,3,3.4,2.1,2.87,3.3,1.75,1.85,,
4,1,1,0,1.333,4,8,1.4,3.8,9,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,8,1.33,4,8,1.65,1.95,,
0,1,0,1,2.5,3.1,2.5,2.8,2.95,2.4,2.6,2.8,2.6,2.62,2.88,2.5,2.6,3,2.5,2.75,3,2.4,2.7,2.8,2.5,1.85,1.75,,
2,0,1,0,1.727,3.2,4.333,1.85,3.2,4.55,1.75,3.1,4.2,1.73,3.2,4.33,1.67,3.25,4.75,1.727,3.2,4.75,1.66,3.3,4.5,1.65,1.95,,
0,0,0,0,2.25,3,2.875,2.37,2.9,3,2.4,2.8,2.8,2.25,3,2.88,2.38,3,2.75,2.375,3,2.875,2.37,2.8,2.87,1.8,1.8,,
1,1,0,0,1.167,5.5,11,1.19,5.75,16.5,1.2,5,10,1.2,5,11,1.2,5.5,10,1.2,5.5,11,1.14,6,12,1.55,2.1,,
6,0,3,0,1.286,4.333,8.5,1.28,4.72,12,1.3,4.2,8,1.25,4.5,10,1.3,4.33,8.5,1.3,4.333,9.5,1.25,4.5,10,1.65,1.95,,
2,2,1,0,1.533,3.4,5.5,1.6,3.4,6,1.6,3.3,4.8,1.53,3.25,6,1.57,3.4,5.5,1.571,3.3,6,1.57,3.1,6,1.7,1.9,,
