FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,1,0,,,,1.8,3,3.5,,,,1.83,3.4,3.5,1.8,3.5,3.4
3,0,2,0,,,,2,3,2.9,,,,2.2,3.25,2.75,2.25,3.3,2.55
0,0,0,0,,,,2.8,3,2.1,,,,2.62,3.25,2.3,2.55,3.3,2.25
2,2,1,0,,,,5,3.5,1.45,,,,6,3.75,1.44,4.4,3.5,1.6
1,0,0,0,,,,2.2,2.9,2.7,,,,2.25,3.25,2.7,2.25,3.3,2.55
1,1,0,0,,,,1.6,3.3,4,,,,1.57,3.5,5,1.55,3.6,4.6
5,0,2,0,,,,1.25,4.3,8,,,,1.25,5,8,1.3,4.2,7.5
0,0,0,0,,,,3.3,3,1.85,,,,3.1,3.3,2,2.65,3.5,2.1
3,1,3,0,,,,1.6,3.3,4,,,,1.67,3.4,4.33,1.55,3.6,4.6
3,3,1,0,,,,2.2,3,2.6,,,,,,,2.1,3.3,2.8
2,1,2,0,,,,2.1,3,2.8,,,,,,,2.2,3.35,2.6
1,0,0,0,,,,2.35,3,2.35,,,,,,,2.35,3.3,2.45
1,0,1,0,,,,2.3,3,2.4,,,,,,,2.35,3.3,2.45
3,2,1,1,,,,1.1,7,14,,,,,,,1.15,5.5,12
0,2,0,1,,,,2.2,3,2.6,,,,,,,2.5,3.3,2.3
3,1,1,0,,,,2.35,3,2.35,,,,,,,2.6,3.35,2.2
1,0,0,0,,,,1.4,3.6,5.5,,,,1.45,3.8,5.5,,,
5,0,2,0,,,,1.7,3.1,3.8,,,,,,,1.7,3.5,3.8
3,0,1,0,,,,1.6,3.3,4,,,,1.73,3.4,4,1.65,3.5,4.1
1,1,1,0,,,,2.1,2.9,2.9,,,,2.1,3.2,3,1.85,3.45,3.25
3,0,2,0,,,,2.3,2.9,2.5,,,,2.25,3.2,2.7,2.25,3.3,2.55
1,0,0,0,,,,1.7,3.1,3.8,,,,1.73,3.4,4,1.7,3.5,3.8
3,1,1,0,,,,3.3,3,1.85,,,,3.5,3.5,1.8,3.6,3.4,1.8
4,0,2,0,,,,2.1,2.9,2.9,,,,2,3.2,3.2,1.9,3.4,3.15
1,2,0,0,,,,1.9,2.9,3.2,,,,1.91,3.3,3.3,1.9,3.4,3.3
4,0,4,0,,,,1.6,3.3,4,,,,1.67,3.4,4.33,1.7,3.5,3.8
1,1,1,0,,,,2.3,2.9,2.5,2.2,3.3,2.75,2.38,3.25,2.5,2.2,3.35,2.6
2,1,0,0,,,,1.9,2.9,3.2,2.1,3.25,2.9,2.1,3.3,2.88,1.95,3.4,3
0,3,0,1,,,,3.5,3,1.8,3.6,3.4,1.8,3.6,3.4,1.8,3.9,3.4,1.7
3,0,0,0,,,,1.2,4.7,9,1.22,5,9,1.2,5.5,9,1.2,5.2,9
0,1,0,0,,,,1.55,3.3,4.5,1.44,3.75,6,1.44,3.75,6,1.45,3.75,5.5
0,2,0,1,,,,2.4,2.9,2.4,2.62,3.3,2.25,2.62,3.1,2.38,2.7,3.3,2.15
0,0,0,0,,,,2.3,3.1,2.3,2.4,3.4,2.4,2.5,3.2,2.4,2.3,3.3,2.5
3,1,1,1,,,,1.6,3.3,4,1.7,3.4,4.2,1.73,3.4,4,1.55,3.85,4.25
1,1,1,0,,,,1.4,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.55,3.75,4.4
1,2,0,0,,,,2.35,3,2.35,2.62,3.3,2.25,,,,2.4,3.3,2.35
2,0,2,0,,,,1.3,4,7,1.25,4.8,8.5,1.25,5,8,1.25,5.4,6.5
2,0,1,0,,,,3.9,3.2,1.65,4,3.25,1.75,4,3.4,1.73,3.75,3.55,1.7
1,1,1,0,,,,1.25,4.3,8,1.36,3.75,8,1.3,4.33,8,1.35,4.2,6.3
1,0,0,0,,,,1.25,4.3,8,1.25,4.75,8.5,1.3,4.33,8,1.35,4.2,6.3
2,1,0,1,,,,1.8,3,3.5,2,3.2,3.2,2.1,3.2,3,1.9,3.4,3.15
3,0,2,0,,,,2.8,3,2.1,2.4,3.4,2.4,2.38,3.25,2.5,2.3,3.35,2.45
2,1,1,1,,,,2,2.9,3,2.25,3.2,2.7,2.2,3.4,2.62,2.1,3.35,2.75
4,1,4,1,,,,2,3,2.9,2.1,3.25,2.9,2.1,3.3,2.88,2,3.4,2.9
4,1,2,0,,,,1.6,3.3,4,1.8,3.5,3.5,,,,1.7,3.5,3.8
4,1,2,1,,,,2.8,3,2.1,2.75,3.25,2.2,,,,2.8,3.4,2.1
