bit0,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1.0,0.0,1.3,5.0,9.5,1.35,4.2,8.0,1.36,4.25,9.0,1.35,4.0,7.5,1.33,4.0,8.0,1.33,4.0,8.0,1.35,4.0,8.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1.0,1.0,2.75,3.25,2.25,2.85,3.35,2.2,3.0,3.35,2.25,2.7,3.0,2.3,3.0,3.2,2.1,2.87,3.25,2.15,2.7,3.25,2.25
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,2.1,3.25,3.0,1.95,3.3,3.5,2.05,3.25,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.25,3.3,1.85,3.3,3.6
0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,3,0,2.0,0.0,1.57,3.4,5.5,1.55,3.7,5.35,1.6,3.65,5.5,1.55,3.5,4.8,1.53,3.4,5.5,1.57,3.5,5.0,1.55,3.5,5.0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,2,0.0,0.0,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.5,3.0,2.5,2.5,3.25,2.4,2.4,3.25,2.5,2.4,3.2,2.5
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,5,2,3.0,2.0,1.44,3.75,6.5,1.4,4.0,7.2,1.45,4.0,7.25,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.0,1.45,3.75,6.0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,1.0,0.0,2.37,3.2,2.62,2.5,3.35,2.5,2.45,3.25,2.75,2.4,3.0,2.6,2.37,3.2,2.6,2.3,3.2,2.62,2.4,3.2,2.5
0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,4,1.0,1.0,2.75,3.25,2.25,2.7,3.35,2.3,2.75,3.35,2.4,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.3,2.6,3.25,2.3
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0.0,1.0,1.5,3.5,6.0,1.5,3.8,5.8,1.57,3.6,6.0,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.75,6.0,1.55,3.5,5.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0.0,0.0,3.0,3.25,2.1,3.15,3.4,2.05,3.0,3.35,2.25,2.9,3.0,2.2,2.8,3.2,2.2,2.9,3.2,2.15,2.7,3.25,2.25
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,1.0,1.0,2.5,3.0,2.62,2.4,3.25,2.65,2.6,3.2,2.6,2.4,3.0,2.6,2.38,3.2,2.6,2.5,2.9,2.62,2.4,3.1,2.6
0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2,0,0.0,0.0,1.44,3.75,6.5,1.35,4.5,7.2,1.43,4.0,7.6,1.4,3.9,6.0,1.4,3.75,7.0,1.44,3.75,6.0,1.4,3.75,7.5
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,3,2.0,1.0,1.72,3.25,4.33,1.7,3.5,4.4,1.75,3.5,4.5,1.75,3.2,4.0,1.67,3.4,4.33,1.8,3.3,3.75,1.75,3.4,4.0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,5,1.0,3.0,2.75,3.2,2.25,3.0,3.4,2.1,3.0,3.35,2.25,2.7,3.0,2.3,2.8,3.2,2.2,2.8,3.2,2.2,2.9,3.25,2.2
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0.0,1.0,2.1,3.25,3.0,2.1,3.3,3.1,2.1,3.3,3.3,2.0,3.1,3.2,2.0,3.2,3.2,2.15,3.2,2.9,2.0,3.25,3.25
0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0.0,1.0,2.25,3.2,2.75,2.15,3.3,3.0,2.3,3.25,3.0,2.1,3.0,3.1,2.2,3.2,2.8,2.15,3.2,2.9,2.2,3.2,2.8
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0.0,1.0,3.0,3.25,2.1,3.05,3.35,2.1,3.05,3.35,2.2,3.2,3.1,2.0,2.8,3.2,2.2,3.0,3.2,2.1,2.9,3.3,2.1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0.0,1.0,1.53,3.6,6.5,1.5,3.9,5.6,1.53,3.75,6.25,1.5,3.7,5.0,1.5,3.6,5.5,1.5,3.4,6.0,1.5,3.75,5.5
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0.0,0.0,1.4,3.75,7.5,1.4,4.0,7.2,1.42,3.75,7.75,1.45,3.8,5.4,1.44,3.6,6.5,1.4,3.75,7.0,1.4,3.75,7.5
0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0.0,0.0,2.1,3.25,3.0,2.05,3.3,3.2,2.1,3.3,3.35,2.2,3.0,2.9,2.1,3.2,3.0,2.05,3.2,3.1,2.1,3.2,3.0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0.0,1.0,2.0,3.25,3.25,2.0,3.35,3.3,2.0,3.3,3.6,2.0,3.1,3.2,1.91,3.25,3.4,2.1,3.2,3.0,1.9,3.25,3.5
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1.0,1.0,1.5,3.6,6.0,1.45,3.9,6.5,1.55,4.0,5.5,1.6,3.4,4.6,1.53,3.5,5.5,1.53,3.5,5.5,1.55,3.5,5.0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.0,1.0,1.33,4.2,8.0,1.3,5.0,7.5,1.35,4.5,8.5,1.45,3.8,5.4,1.4,3.75,7.0,1.4,3.75,7.0,1.35,4.0,8.0
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0,0.0,1.8,3.25,4.0,1.75,3.3,4.4,1.8,3.4,4.3,1.85,3.1,3.6,1.8,3.2,4.0,1.72,3.25,4.2,1.65,3.4,4.35
0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,2,1,1.0,1.0,2.5,3.2,2.5,2.5,3.3,2.5,2.5,3.3,2.65,2.5,3.0,2.5,2.5,3.2,2.5,2.4,3.1,2.6,2.4,3.25,2.5
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2.0,0.0,2.0,3.25,3.25,2.2,3.3,2.9,2.15,3.25,3.25,2.2,3.0,2.9,2.0,3.2,3.2,2.1,3.1,3.1,2.1,3.2,3.0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0.0,0.0,2.62,3.2,2.37,2.9,3.3,2.2,2.95,3.3,2.25,2.7,3.0,2.3,2.6,3.2,2.38,2.75,3.1,2.3,2.7,3.25,2.25
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,0,1.0,0.0,1.72,3.25,4.33,1.75,3.5,4.1,1.8,3.4,4.2,1.9,3.1,3.5,1.73,3.4,4.0,1.83,3.2,3.75,1.84,3.4,3.6
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,5,0.0,3.0,2.7,3.2,2.3,2.75,3.35,2.3,3.0,3.3,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.1,2.37,2.7,3.2,2.3
0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0.0,0.0,2.5,3.0,2.62,2.75,3.3,2.3,2.6,3.3,2.5,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.1,2.5,2.5,3.2,2.5
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.0,1.0,3.25,3.25,2.0,3.35,3.3,2.0,3.35,3.3,2.1,3.2,3.1,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.0,3.2,2.1
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1.0,1.0,1.72,3.5,4.0,1.75,3.5,4.1,1.75,3.5,4.5,1.75,3.2,4.0,1.8,3.25,3.75,1.72,3.4,4.0,1.73,3.4,4.0
0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1.0,1.0,4.75,3.75,1.53,5.85,3.75,1.5,6.25,3.85,1.5,4.6,3.4,1.6,5.5,3.5,1.53,5.0,3.5,1.57,5.5,3.5,1.53
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0.0,0.0,1.5,3.6,5.5,1.45,4.3,5.6,1.45,3.85,7.0,1.5,3.7,5.0,1.44,3.4,7.0,1.5,3.6,5.5,1.5,3.6,6.0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1.0,0.0,1.72,3.5,4.0,1.65,3.8,4.3,1.7,3.5,4.85,1.65,3.3,4.4,1.62,3.5,4.5,1.66,3.3,4.5,1.65,3.2,5.0
0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,3,0,0.0,0.0,1.66,3.5,4.33,1.65,3.6,4.6,1.67,3.5,5.0,1.75,3.2,4.0,1.67,3.25,4.5,1.7,3.3,4.33,1.65,3.4,4.35
