FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,1,0,0,3,3.4,2.5,2.65,3.2,2.45,2.5,3.1,2.4,2.87,3.3,2.4,3.1,3.38,2.42,2.8,3.2,2.5,3,3.13,2.4,3,3.4,2.5,44,3.1,2.89,3.42,3.2,2.55,2.42,40,2.17,2.06,1.81,1.73,22,0,2.21,2.1,1.79,1.75
2,2,1,1,2.7,3.4,2.8,2.5,3.2,2.6,2.4,3.1,2.5,2.62,3.3,2.62,2.62,3.34,2.86,2.7,3.1,2.7,2.6,3.13,2.75,2.62,3.4,2.8,44,2.75,2.56,3.4,3.18,2.88,2.71,40,2.14,2.06,1.81,1.73,22,0,1.92,1.85,2.05,1.97
0,1,0,1,1.95,3.6,4.2,1.95,3.2,3.6,2,3.2,3.1,1.9,3.4,4,1.94,3.57,4.23,1.95,3.3,4,1.91,3.4,4,1.95,3.6,4.2,44,2,1.92,3.62,3.38,4.4,3.94,40,2.1,2.02,1.9,1.77,20,-0.5,1.96,1.91,1.98,1.93
1,0,0,0,2.55,3.4,2.9,2.4,3.2,2.7,2.3,3.1,2.6,2.5,3.3,2.75,2.61,3.34,2.87,2.5,3.2,2.8,2.5,3.2,2.8,2.6,3.4,2.88,44,2.61,2.48,3.42,3.21,2.98,2.8,40,2.17,2.06,1.84,1.73,22,0,1.88,1.81,2.09,2.02
0,1,0,1,2.88,3.4,2.63,2.6,3.2,2.5,2.5,3.1,2.4,2.62,3.3,2.62,2.85,3.41,2.59,2.7,3.1,2.7,2.75,3.2,2.6,2.8,3.4,2.62,44,2.88,2.71,3.41,3.2,2.7,2.56,40,2.1,2.01,1.88,1.77,22,0,2.05,1.98,1.91,1.85
0,3,0,0,2.3,3.4,3.4,2.2,3.2,3,2.2,3.1,2.8,2.15,3.4,3.25,2.33,3.39,3.26,2.3,3.2,3.2,2.25,3.25,3.13,2.3,3.4,3.25,44,2.35,2.25,3.41,3.24,3.41,3.13,40,2.15,2.04,1.85,1.75,19,-0.25,2.02,1.96,1.94,1.89
1,1,1,0,3.5,3.5,2.2,3.2,3.2,2.1,2.6,3.1,2.3,3.25,3.3,2.2,3.52,3.5,2.18,3.3,3.3,2.2,3.25,3.25,2.2,3.5,3.5,2.2,43,3.65,3.33,3.52,3.31,2.29,2.14,40,2.05,1.99,1.9,1.79,19,0.25,2.08,2.02,1.91,1.83
0,2,0,2,2.15,3.4,3.8,2,3.25,3.4,2,3.2,3.1,2.1,3.4,3.4,2.18,3.39,3.62,2.15,3.1,3.6,2.05,3.3,3.5,2.15,3.4,3.6,45,2.18,2.07,3.5,3.29,3.9,3.48,43,2.17,2.05,1.86,1.75,20,-0.5,2.18,2.08,1.83,1.78
1,0,1,0,2.2,3.5,3.5,2.1,3.2,3.2,2.1,3.1,3,2.05,3.4,3.5,2.25,3.41,3.42,2.25,3.1,3.3,2.1,3.25,3.4,2.25,3.5,3.4,43,2.25,2.15,3.52,3.26,3.6,3.33,41,2.15,2.04,1.86,1.74,17,-0.25,1.94,1.88,2.02,1.97
0,1,0,1,2.65,3.3,2.88,2.35,3.2,2.75,2.4,3.1,2.5,2.37,3.3,2.9,2.68,3.33,2.8,2.7,3.1,2.7,2.5,3.2,2.8,2.62,3.4,2.8,44,2.7,2.54,3.4,3.2,2.9,2.76,40,2.24,2.12,1.79,1.69,19,0,1.92,1.83,2.17,1.99
