FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
3,1,2,1,1.65,3.3,4.3,1.45,3.5,5,,,,1.53,3.5,5.5,1.45,3.5,6
3,1,1,1,1.6,3.4,4.6,1.35,3.6,6.5,,,,1.4,3.75,7,1.4,3.7,6.5
0,1,0,1,1.7,3.3,3.9,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.65,3.25,4.7
1,1,1,0,1.65,3.3,4.3,1.55,3.3,4.5,,,,1.57,3.4,5.25,1.5,3.4,6
2,2,2,1,2.25,3,2.75,2.2,2.8,2.8,,,,2.5,3.2,2.5,2.4,2.9,2.75
1,1,0,1,2.75,3,2.25,2.4,2.9,2.4,,,,3.25,3.2,2,2.9,3,2.25
2,2,0,2,1.6,3.4,4.6,1.5,3.4,4.7,,,,1.44,3.6,6.5,1.55,3.5,5.3
0,2,0,0,2.15,3,3,2,2.9,3,,,,2.25,3.2,2.75,2.1,3.1,3.1
0,1,0,0,2,3,3.5,1.9,2.8,3.3,,,,2.1,3.2,3,1.85,3.15,3.8
1,1,0,0,2.1,3.1,3.2,2.2,2.8,2.8,,,,2.38,3.2,2.63,2.4,3,2.6
2,5,1,4,1.4,4,6,1.4,3.6,5.5,,,,1.4,4,6.5,1.44,3.5,6.5
3,0,1,0,2.35,3,2.75,2.2,2.8,2.8,,,,2.38,3.2,2.6,2.3,3,2.75
2,0,1,0,1.8,3.1,4,2.1,2.8,3,,,,2.25,3.2,2.75,2.25,3.1,2.75
3,2,1,0,1.4,3.2,8,1.5,3.2,5,,,,1.5,3.6,5.75,1.44,3.5,6.5
1,2,1,1,1.8,3,4.2,1.8,2.9,3.6,,,,2,3.2,3.25,2.2,3.1,2.8
1,1,1,0,2.45,3.05,2.6,2.9,2.9,2.1,,,,2.8,3.25,2.2,2.8,3.1,2.2
0,4,0,1,1.7,3.1,4.4,1.7,3,3.8,,,,1.75,3.25,4.2,1.75,3.2,4
1,1,1,1,2.15,3.2,2.9,1.8,2.9,3.6,,,,1.83,3.2,3.8,2.1,3,3.1
1,0,1,0,1.75,3,3.9,1.75,3.1,3.6,,,,1.7,3.25,4.33,1.66,3.25,4.5
2,2,1,1,1.38,4,7,1.35,3.8,6.2,,,,1.4,3.75,7,1.4,3.75,7
0,1,0,1,2.4,3,2.75,2.2,2.8,2.8,,,,2.4,3,2.7,2.4,3,2.7
1,0,0,0,2,3,3.4,2,2.9,3,,,,2.05,3,3.4,2,3.1,3.25
0,0,0,0,1.6,3.4,5,1.6,3.2,4.2,,,,1.53,3.5,5.5,1.5,3.4,6
1,3,0,2,2.85,2.9,2.15,2.4,2.9,2.4,,,,2.88,3,2.25,2.87,3,2.25
1,1,1,1,2.5,3,2.6,2.2,2.8,2.8,,,,2.4,3,2.7,2.37,3,2.7
0,0,0,0,1.71,3.5,4,1.8,3,3.5,,,,1.73,3.25,4.33,1.83,3.2,3.75
2,1,1,1,1.41,3.1,9,1.4,3.6,5.5,,,,1.36,4,7,1.4,3.75,7
2,0,0,0,1.9,2.9,3.3,2.1,2.9,2.9,,,,2.1,3.1,3.2,2.1,2.9,3.3
2,1,1,1,1.5,3.4,6,1.5,3.2,5,,,,1.5,3.5,6.25,1.45,3.6,6.5
1,0,0,0,3,2.8,2.2,2.45,2.8,2.45,,,,2.8,3.1,2.3,3.1,3,2.15
3,2,1,1,2.15,3.1,3,2.1,2.8,3,,,,2.1,3.25,3,2.1,3.1,3.1
3,0,1,0,1.66,3.15,4.7,1.6,3.2,4.2,,,,1.67,3.3,4.75,1.6,3.3,5
1,0,0,0,1.3,3.35,3.3,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.1,3.6
1,0,1,0,2.3,3.1,2.6,2.1,2.9,2.9,,,,2.1,3.25,3,2.2,3,3
1,0,0,0,2.35,2.9,2.7,2.3,2.9,2.5,,,,2.4,3.2,2.6,2.5,2.9,2.65
1,0,0,0,1.3,4.3,7,1.35,3.8,6.2,,,,1.36,3.75,8.5,1.25,4.5,10
1,1,0,1,1.9,3.25,3.45,1.9,2.9,3.2,,,,2.1,3.1,3.2,2.05,3,3.3
2,1,0,1,1.95,3.2,3.3,2.1,2.9,2.9,,,,2.05,3.2,3.2,2,3.1,3.35
1,0,0,0,1.55,3.4,5,1.45,3.5,5,,,,1.5,3.5,6,1.45,3.6,6.5
3,1,1,0,1.4,3.8,6.7,1.45,3.5,5,,,,1.44,3.6,7,1.45,3.6,6.5
1,1,1,0,2.4,3.05,2.65,2.4,2.9,2.4,,,,2.6,3,2.5,2.7,2.9,2.45
3,2,1,1,2.45,3.1,2.6,2.1,2.9,2.9,,,,2.5,3,2.6,2.55,2.8,2.7
1,1,0,1,2.45,3.1,2.6,2.7,2.9,2.2,,,,2.75,3,2.3,2.8,3,2.3
4,3,0,1,1.9,3.1,3.8,1.8,3,3.5,,,,2,3.2,3.3,1.95,3.1,3.5
3,1,2,0,1.45,3.65,5.9,1.45,3.5,5,,,,1.44,3.6,7,1.45,3.6,6.5
0,2,0,0,1.8,3.1,4,1.65,3.1,4,,,,1.75,3.2,4.33,1.75,3.1,4.4
1,0,0,0,1.66,3.2,4.4,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.7,3.25,4.3
2,1,0,1,2.15,3,3.1,2.1,2.8,3,,,,2.2,3,3,2,3,3.45
1,0,1,0,1.75,3.2,4.1,1.7,3.1,3.8,,,,1.8,3.25,4,1.7,3.2,4.5
1,0,0,0,1.71,3,4.9,1.7,3.1,3.8,,,,1.62,3.3,5,1.7,3.15,4.6
0,5,0,2,1.95,3.2,3.4,1.9,2.9,3.2,,,,1.9,3.25,3.5,1.9,3.1,3.65
2,2,1,2,2,3,3.45,2.1,2.8,3,,,,2.1,3.2,3.1,2.25,2.8,3.1
5,3,1,2,3.1,3,2.15,2.9,2.9,2.1,,,,3,3,2.2,3.15,2.85,2.2
2,2,0,1,1.85,3.1,3.5,1.8,3,3.5,,,,1.83,3.25,3.75,1.83,3.2,3.75
0,2,0,1,1.5,3.3,6,1.5,3.2,5,,,,1.44,3.6,7,1.4,3.6,7.5
1,2,1,2,1.66,3.2,4.5,1.6,3.2,4.2,,,,1.75,3.4,4,1.61,3.5,4.5
3,0,0,0,2,3.15,3.1,2,2.8,3.1,,,,2.1,3.1,3.2,1.9,3.2,3.5
5,1,1,0,1.47,3.3,6.4,1.4,3.6,5.5,,,,1.53,3.5,5.5,1.57,3.5,5
0,1,0,1,1.8,3.15,3.75,1.85,2.8,3.5,,,,1.83,3.1,4,1.72,3.2,4.33
1,0,0,0,2.5,3.1,2.35,2.4,2.9,2.4,,,,2.63,3.1,2.4,2.7,3,2.37
1,4,1,1,2.2,3.1,2.75,2.1,2.9,2.9,,,,2.25,3.2,2.8,2.37,3.1,2.62
2,0,2,0,2.65,3,2.3,2.45,2.8,2.45,,,,2.8,3.1,2.3,2.8,2.9,2.37
0,2,0,0,1.5,3.55,5.1,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.53,3.6,5
1,0,1,0,2.35,3.15,2.65,2.3,2.8,2.6,,,,2.38,3.2,2.63,2.37,3.1,2.62
1,1,0,0,2.15,3.15,3,2.2,2.8,2.8,,,,2.25,3.1,2.88,2.25,3.1,2.8
0,1,0,0,1.85,3.3,3.5,1.85,2.9,3.4,,,,1.91,3.2,3.6,1.72,3.4,4
1,0,0,0,1.8,3.3,3.5,1.7,3.1,3.8,,,,1.73,3.25,4.33,1.8,3.3,3.75
3,0,2,0,1.35,3.85,6.5,1.45,3.5,5,,,,1.4,3.75,7.5,1.5,3.6,5.5
0,1,0,1,1.7,3.1,4.5,1.6,3.2,4.2,,,,1.62,3.5,4.75,1.61,3.5,4.5
0,1,0,1,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.2,3,3.1,2.1,3.2,3
1,1,1,1,1.7,3.4,4,1.8,2.9,3.6,,,,1.8,3.4,3.75,1.72,3.3,4
0,1,0,0,2.05,3.35,3,2,2.9,3,,,,2.1,3.1,3.2,2.1,3.2,3
2,1,1,0,1.5,3.5,6,1.5,3.4,4.7,,,,1.5,3.5,6,1.5,3.4,6
0,1,0,0,1.5,3.6,5.5,1.45,3.5,5,,,,1.44,3.6,7,1.44,3.5,7
1,3,1,1,2.1,3.3,2.95,2.2,2.8,2.8,,,,2.1,3.1,3.1,2.1,3.1,3.1
2,1,1,0,1.5,3.65,5.2,1.5,3.4,4.7,,,,1.5,3.5,6,1.5,3.4,6
0,2,0,0,1.85,3.5,3.4,1.65,3.1,4,,,,1.8,3.25,4,1.72,3.25,4.2
3,3,0,1,2,3.3,3.2,1.9,2.9,3.2,,,,2,3.1,3.4,2.1,3,3.2
3,2,2,0,2.1,3.3,2.95,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.25,3.1,2.8
2,1,0,1,2.3,3.35,2.6,2.2,2.8,2.8,,,,2.5,3,2.6,2.4,3,2.7
1,0,1,0,1.6,3.5,4.4,1.75,3.1,3.6,,,,1.73,3.4,4.2,1.66,3.3,4.5
1,1,0,0,2.55,3.25,2.25,2.4,2.9,2.4,,,,2.63,3.2,2.38,2.62,3.1,2.4
0,0,0,0,1.45,3.8,5.8,1.45,3.5,5,,,,1.44,3.75,6.5,1.5,3.6,5.5
2,2,2,1,1.8,3.25,3.75,1.7,3.1,3.8,,,,1.75,3.25,4.2,1.72,3.2,4.33
0,2,0,1,1.8,3.35,3.6,1.7,3.1,3.8,,,,1.83,3.25,3.75,1.85,3.25,3.65
0,1,0,1,2.2,3.15,2.7,2.2,2.8,2.8,,,,2.4,3,2.7,2.4,2.9,2.75
1,1,0,1,1.85,3.3,3.55,1.85,2.9,3.4,,,,1.75,3.4,4,1.8,3.25,3.8
1,1,1,0,1.85,3.2,3.6,1.9,2.8,3.3,,,,1.91,3.25,3.5,1.9,3.25,3.4
0,0,0,0,1.8,3.4,3.6,1.85,2.9,3.4,,,,1.9,3.25,3.5,1.9,3.25,3.4
2,1,2,0,,,,1.9,2.8,3.3,,,,,,,2,3.1,3.3
0,2,0,0,2,3.2,3.3,2.1,2.9,2.9,,,,2.2,3.1,3,2.3,3.1,2.75
2,0,0,0,1.55,3.3,5.2,1.6,3.2,4.2,,,,1.67,3.3,4.6,1.66,3.3,4.5
1,1,0,0,1.85,3.25,3.7,1.75,3.1,3.6,,,,1.91,3.1,3.75,1.85,3.25,3.6
2,2,0,0,1.8,3.2,4,1.7,3.1,3.8,,,,1.8,3.2,4,1.8,3.3,3.75
1,0,1,0,2.3,3.1,2.7,2.1,2.9,2.9,,,,2.25,3.1,2.8,2.2,3.2,2.8
2,1,1,1,1.85,3.15,3.9,1.8,2.9,3.6,,,,1.8,3.2,4,1.8,3.25,3.8
0,5,0,4,2.1,3.1,3.1,2.1,2.9,2.9,,,,2.1,3.1,3.1,2,3.1,3.3
0,2,0,1,2.05,3.2,3.1,2.1,2.9,2.9,,,,2.25,3.1,2.88,2.2,3.1,2.87
1,1,1,1,1.9,2.9,3.5,1.9,2.8,3.3,,,,1.91,3.2,3.6,1.9,3,3.75
2,1,2,1,1.75,3.2,3.8,1.6,3.2,4.2,,,,1.73,3.25,4.5,1.7,3.25,4.3
1,1,0,0,1.8,3,3.8,1.7,3.1,3.8,,,,1.7,3.25,4.5,1.72,3.2,4.33
1,1,1,0,1.61,3.5,4.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.5,3.4,6
1,0,0,0,1.9,2.9,3.5,1.9,2.9,3.2,,,,1.91,3.2,3.6,2,3.1,3.3
2,0,0,0,2.05,2.8,3.2,2,2.7,3.2,,,,2.1,3,3.25,1.83,3.2,3.75
2,3,2,1,3.6,3,1.95,3,2.9,2,,,,3.4,3.1,2,3.4,3,2
0,0,0,0,2.25,2.8,3,2.1,2.8,3,,,,2.25,3,3,2.2,3,3
0,1,0,0,1.65,3.2,4.5,1.7,3.1,3.8,,,,1.62,3.4,5,1.57,3.25,5.5
1,1,1,0,2.4,3.1,2.65,2.4,2.9,2.4,,,,2.4,3.2,2.6,2.5,3.1,2.5
0,0,0,0,1.6,3.25,5.25,1.6,3.2,4.2,,,,1.57,3.4,5.5,1.66,3.1,5
1,0,0,0,1.57,3.2,5.6,1.5,3.4,4.7,,,,1.53,3.4,5.8,1.53,3.4,5.5
2,2,1,1,1.8,3.15,4,1.7,3.1,3.8,,,,1.7,3.3,4.4,1.66,3.1,5
2,1,1,1,2.1,3,3.2,2.1,2.8,3,,,,2.05,3.2,3.2,2.1,3,3.2
1,2,0,1,1.6,3.25,5.1,1.65,3.1,4,,,,1.62,3.3,5.2,1.61,3.3,5
1,2,0,1,2.05,3,3.35,1.9,2.8,3.3,,,,2,3.1,3.4,1.9,3,3.75
2,0,1,0,2,3.1,3.35,1.9,2.9,3.2,,,,2,3.1,3.4,1.9,3.2,3.5
1,0,0,0,2.7,2.95,2.45,2.4,2.9,2.4,,,,2.6,3.2,2.4,2.62,3.1,2.4
0,2,0,1,1.75,3.25,4.2,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.8,3.1,4
1,0,0,0,2.8,3.25,2.2,2.4,2.8,2.5,,,,2.6,3,2.5,2.5,2.9,2.6
1,0,0,0,1.8,3.35,3.8,1.75,3.1,3.6,,,,1.73,3.25,4.2,1.66,3.3,4.5
0,3,0,1,2.05,3.05,3.3,1.9,2.8,3.3,,,,1.95,3.1,3.5,1.9,3.1,3.6
4,0,0,0,2.1,3.05,3.25,1.9,2.8,3.3,,,,2,3,3.5,1.9,3.1,3.6
0,1,0,1,,,,,,,,,,,,,,,
2,0,1,0,1.8,3.2,4,1.85,2.9,3.4,,,,1.75,3.2,4.2,1.75,3.15,4
4,1,1,0,2.1,3.05,3.15,1.9,2.8,3.3,,,,2.05,3.1,3.25,1.9,3.15,3.5
0,0,0,0,2.25,2.95,3,2,2.9,3,,,,2.2,3,3,2.15,3,3.1
1,0,1,0,2.5,2.8,2.7,2.2,2.9,2.7,,,,2.5,3,2.6,2.3,2.9,2.9
1,1,0,0,1.95,2.8,3.8,1.9,2.8,3.3,,,,2,3,3.5,1.95,3.15,3.4
1,1,1,0,2,3.1,3.35,1.8,2.9,3.6,,,,1.95,3.2,3.4,1.9,3.25,3.3
1,1,1,1,1.67,3.1,4.8,1.7,3.1,3.8,,,,1.67,3.25,4.75,1.72,3.2,4.33
1,1,1,1,1.6,3.4,4.8,1.5,3.4,4.7,,,,1.55,3.4,5.6,1.55,3.4,5.5
2,0,0,0,1.8,3.2,3.8,1.75,3.1,3.6,,,,1.75,3.4,4,1.3,3.3,3.75
1,0,1,0,2.05,2.8,3.6,2.2,2.8,2.8,,,,2.1,3.1,3.2,2.1,3,3
0,2,0,0,2.8,3,2.3,2.9,2.9,2.1,,,,3,3.1,2.2,2.8,3.2,2.2
4,1,2,1,1.85,3.1,4,1.8,2.8,3.8,,,,1.83,3.25,3.75,1.8,3.3,3.75
1,0,1,0,2,2.95,3.6,1.9,2.8,3.3,,,,1.9,3.1,3.75,1.9,3.1,3.6
0,0,0,0,1.85,3.1,4,1.85,2.8,3.6,,,,1.8,3.2,4,2,3,3.4
0,1,0,0,1.75,3.1,4.2,1.8,2.9,3.6,,,,1.73,3.2,4.33,1.66,3.3,4.5
2,0,2,0,2.2,3.1,2.8,2.1,2.9,2.9,,,,2.05,3.1,3.2,2.37,2.9,2.8
4,0,4,0,1.85,3,3.85,1.8,2.9,3.6,,,,1.8,3.2,4,1.8,3.25,3.8
2,0,1,0,2.8,3,2.3,2.8,2.8,2.2,,,,2.88,3,2.25,2.75,2.9,2.4
1,2,1,0,1.65,3.25,4.8,1.55,3.3,4.5,,,,1.57,3.3,5.5,1.57,3.25,5.5
3,0,1,0,1.55,3.4,5.8,1.55,3.2,4.8,,,,1.5,3.5,6,1.57,3.25,5.5
3,0,1,0,1.9,3.1,3.5,1.9,2.9,3.2,,,,1.9,3.1,3.6,1.83,3.3,3.6
4,3,2,1,2.25,3.05,2.95,2.2,2.8,2.8,,,,2.25,3,2.9,2.3,3.1,2.75
1,1,0,1,1.66,3.3,4.6,1.55,3.2,4.8,,,,1.67,3.25,4.6,1.65,3.35,4.5
0,1,0,0,2.05,3.15,3.25,2,2.7,3.2,,,,2,3.1,3.3,1.95,3.1,3.5
0,3,0,2,2.7,2.9,2.45,2.4,2.9,2.4,,,,2.63,2.9,2.5,2.5,3,2.55
0,1,0,1,2.05,3,3.4,2,2.7,3.2,,,,2.05,2.9,3.4,2,3.1,3.3
0,0,0,0,2.35,3.05,2.75,2.3,2.8,2.6,,,,2.3,3,2.8,2.37,3.1,2.62
0,2,0,0,2.1,3.1,3.2,2,2.8,3.1,,,,2,3,3.4,1.83,3.2,3.75
0,1,0,0,1.9,3.2,3.55,2,2.7,3.2,,,,2,3.1,3.3,1.95,3.2,3.35
0,1,0,1,1.4,3.55,6.6,1.4,3.6,5.5,,,,1.44,3.6,6.5,1.44,3.6,6.5
1,0,0,0,1.9,3.05,3.8,1.9,2.8,3.3,,,,1.8,3.1,4,1.72,3.25,4.2
