FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
2,0,2,0,2.03,3.05,3.3,2,2.9,3,2.1,3.2,3,2.1,3.2,3,2.1,3.1,3.2,2,3.2,3.2
1,1,0,0,1.92,3.05,3.65,1.8,2.9,3.6,1.8,3.25,3.75,1.85,3.2,3.75,1.91,3.2,3.6,1.9,3.2,3.5
2,0,2,0,2.55,2.95,2.55,2.4,2.7,2.6,2.5,3.2,2.5,2.6,3,2.5,2.6,2.88,2.6,2.62,2.9,2.5
1,0,0,0,2.2,2.95,3.05,2.1,2.9,2.9,2.25,3.2,2.75,2.25,3,2.88,2.25,3,3,2.1,3.2,3
0,1,0,0,1.45,3.65,6.3,1.4,3.6,5.5,1.44,3.6,6.5,1.36,3.75,8,1.4,4,6.5,1.4,3.75,7
1,1,0,1,2.5,2.95,2.6,2.3,2.8,2.6,2.5,3.2,2.5,2.6,3.1,2.4,2.6,3,2.5,2.5,2.9,2.62
0,0,0,0,1.65,3.3,4.65,1.6,3.2,4.2,1.61,3.25,5,1.53,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5
0,5,0,1,1.85,3.1,3.85,1.85,2.9,3.4,1.91,3.2,3.5,1.85,3.2,3.75,1.8,3.25,4,1.72,3.2,4.33
3,0,1,0,1.89,3.1,3.7,1.8,2.9,3.6,1.8,3.2,4,1.85,3.2,3.75,1.91,3.2,3.6,1.8,3.3,3.75
0,0,0,0,,,,2.2,2.8,2.8,2.5,3.2,2.5,2.2,3.1,2.88,2.25,3,3,2.1,3.2,3
1,1,0,1,,,,2.2,2.8,2.8,2.37,3.2,2.6,2.38,3.1,2.62,2.38,3,2.75,2.37,3.1,2.62
1,0,0,0,,,,2,2.9,3,1.8,3.25,3.75,1.91,3.2,3.5,1.91,3.1,3.75,1.9,3.2,3.5
3,1,0,0,,,,1.55,3.3,4.5,1.57,3.25,5.5,1.57,3.4,5.2,1.57,3.4,5.5,1.61,3.5,4.5
2,0,1,0,,,,1.55,3.3,4.5,1.5,3.4,6,1.53,3.4,5.5,1.57,3.4,5.5,1.5,3.6,5.5
2,1,2,1,,,,1.9,2.8,3.3,2,3,3.4,2.1,3.1,3.1,2,3.1,3.4,1.83,3.2,3.75
0,0,0,0,,,,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.6,6.5
1,2,0,1,,,,1.7,3.1,3.8,1.57,3.25,5.5,1.57,3.4,5.2,1.62,3.4,5,1.57,3.5,5
4,3,3,2,,,,2,2.9,3,2.25,3.2,2.75,2.1,3.1,3.1,2.1,3.1,3.2,2.2,3.1,2.87
0,0,0,0,,,,1.65,3.1,4,1.67,3.25,4.5,,,,1.67,3.2,5,1.72,3.25,4.2
2,0,0,0,,,,1.9,2.7,3.4,1.8,3.25,3.75,,,,1.91,3.2,3.6,1.9,3.2,3.5
3,0,1,0,,,,2,2.7,3.2,2.2,3,3,,,,2.1,3,3.25,2.1,3.1,3.1
1,0,0,0,,,,1.45,3.5,5,,,,,,,1.44,3.75,6.5,1.53,3.5,5.5
3,0,2,0,,,,2.3,2.8,2.6,2.5,2.87,2.62,,,,2.3,3.1,2.8,2.37,3,2.7
1,1,1,0,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.8,3.2,4,1.8,3.25,3.8
0,0,0,0,,,,2.2,2.8,2.8,2.5,2.87,2.62,,,,2.5,3,2.6,2.4,3.1,2.6
1,2,0,1,,,,2.5,2.7,2.5,2.5,3.25,2.4,,,,2.6,3,2.5,2.4,3.1,2.6
0,1,0,1,,,,2.4,2.8,2.5,2.5,3.2,2.5,,,,2.38,3,2.75,2.37,3,2.7
2,1,0,0,,,,1.6,3.2,4.2,1.67,3.2,5,,,,1.57,3.5,5,1.57,3.5,5
3,0,1,0,,,,1.45,3.5,5,1.5,3.4,6,,,,1.44,3.6,6.5,1.44,3.6,6.5
0,1,0,0,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.67,3.25,4.5,1.66,3.3,4.5
0,1,0,1,,,,2.5,2.7,2.5,2.5,3.2,2.5,,,,2.25,3,2.88,2.37,3.1,2.62
2,2,2,1,,,,2.3,2.8,2.6,2.37,3.2,2.6,,,,2.2,3,3,2.3,3.1,2.75
1,2,1,2,,,,1.6,3.2,4.2,1.5,3.4,6,,,,1.53,3.4,5.5,1.53,3.4,5.5
1,0,0,0,,,,2.4,2.7,2.6,2.4,3.25,2.5,,,,2.38,3,2.7,2.37,3.1,2.62
2,2,2,0,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.8,3.25,3.75,1.66,3.3,4.5
2,1,1,0,,,,1.7,3.1,3.8,,,,,,,1.73,3.2,4.33,1.61,3.3,5
1,0,1,0,,,,2.1,2.8,3,2.1,3.2,3,,,,2.1,3.1,3.1,2.25,3,2.87
1,1,1,0,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.8,3.25,3.75,1.8,3.1,4
1,0,1,0,,,,2.2,2.9,2.7,2.5,3.2,2.5,,,,2.3,3.1,2.75,2.4,3.1,2.6
2,0,2,0,,,,2.4,2.8,2.5,2.5,3.2,2.5,,,,2.4,3,2.7,2.4,3.1,2.6
0,0,0,0,,,,1.85,2.8,3.5,1.91,3.2,3.5,,,,2.1,3,3.2,2,3.1,3.3
3,0,0,0,,,,1.55,3.3,4.5,1.5,3.4,6,,,,1.62,3.25,5,1.66,3.3,4.5
2,0,0,0,,,,1.75,3.1,3.6,1.91,3.2,3.5,,,,1.8,3.25,3.75,1.72,3.25,4.2
0,2,0,1,,,,2.5,2.7,2.5,2.8,3.2,2.2,,,,2.62,2.88,2.5,2.5,3.1,2.5
1,1,0,0,,,,2,2.7,3.2,1.91,3.2,3.5,,,,2,3.1,3.3,2.1,3,3.2
1,0,0,0,,,,1.6,3.2,4.2,1.61,3.2,5.5,1.62,3.25,5,1.67,3.25,4.5,1.57,3.3,5.5
1,0,0,0,,,,1.6,3.2,4.2,1.61,3.2,5.5,1.67,3.25,4.6,1.67,3.25,4.5,1.57,3.5,5
0,0,0,0,,,,2.5,2.7,2.5,2.5,3.25,2.37,2.6,3,2.5,2.5,3.1,2.5,2.62,3.1,2.37
0,1,0,1,,,,2.1,2.8,3,2.1,3.2,3,2.2,3,3,2.1,3.1,3.1,2.1,3.2,3
2,0,1,0,,,,1.55,3.3,4.5,1.73,3.4,4,1.85,3.25,3.6,1.73,3.2,4.33,1.8,3.3,3.75
1,1,0,0,,,,1.8,2.9,3.6,1.73,3.2,4.33,1.85,3.25,3.6,1.8,3.25,3.75,1.72,3.25,4.2
2,2,0,1,,,,1.8,2.9,3.6,1.8,3.2,4,1.8,3.2,4,1.73,3.2,4.33,1.72,3.2,4.33
1,1,0,0,,,,1.7,3.1,3.8,1.73,3.2,4.33,1.8,3.1,4,1.8,3.25,3.75,1.66,3.3,4.5
2,0,1,0,,,,2.5,2.7,2.5,2.5,3.2,2.5,2.5,3,2.6,2.5,2.88,2.62,2.5,3.1,2.5
0,1,0,0,,,,2.2,2.8,2.8,2.37,3.25,2.5,2.2,3.1,2.88,2.25,3,2.88,2.2,3.1,2.87
0,2,0,0,,,,1.7,3.1,3.8,2,3.2,3.2,1.73,3.25,4.2,1.8,3.25,3.75,1.72,3.2,4.33
3,0,2,0,,,,1.6,3,4.5,1.61,3.25,5,1.62,3.4,4.75,1.73,3.2,4.33,1.57,3.5,5
1,1,0,0,,,,2.7,2.7,2.3,2.75,3,2.37,2.7,3.1,2.3,2.6,3.1,2.4,2.62,3.1,2.37
4,1,2,1,,,,1.55,3.3,4.5,1.61,3.25,5,1.6,3.4,5,1.57,3.5,5,1.61,3.3,5
0,0,0,0,,,,2.1,2.8,3,2.25,3.2,2.75,2.1,3.1,3.1,2.2,3,3,2.1,3.1,3.1
0,1,0,0,,,,2.3,2.6,2.8,2.25,3.2,2.75,2.1,3.1,3,2.3,3,2.8,2,3.1,3.3
0,0,0,0,,,,1.9,2.8,3.3,2,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.8,3.1,4
1,1,1,1,,,,1.9,3.1,3.75,2.25,3.2,2.75,1.909,3.2,3.5,1.909,3.25,3.4,,,
0,0,0,0,,,,1.45,3.5,5,1.44,3.4,7.5,1.5,3.4,6,,,,1.44,3.5,7
2,2,0,0,,,,1.55,3.3,4.5,1.57,3.25,5.5,1.5,3.4,6,,,,1.53,3.4,5.5
2,1,0,0,,,,1.65,3.1,4,1.73,3.2,4.33,1.73,3.2,4.33,,,,1.66,3.1,5
2,0,0,0,,,,2,2.7,3.2,2,3.2,3.2,2.1,3,3.2,,,,2,3,3.4
2,0,1,0,,,,2.7,2.7,2.3,2.75,3.2,2.25,2.75,3.1,2.3,,,,3.1,2.87,2.2
3,0,1,0,,,,2.1,2.8,3,2.4,3.25,2.5,2.25,3.1,2.8,,,,2.2,3,3
0,1,0,0,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.9,3.1,3.6,,,,1.83,3.2,3.75
0,2,0,0,,,,2.5,2.7,2.5,2.5,3.2,2.5,2.38,3,2.75,,,,2.37,3,2.7
3,0,1,0,,,,2,2.7,3.2,1.8,3.2,4,1.91,3.1,3.6,,,,1.9,3,3.75
1,0,1,0,,,,2.4,2.8,2.5,2.25,3.2,2.75,2.2,3,3,,,,2.37,2.87,2.8
1,0,1,0,,,,2.1,2.7,3.1,2.25,3.2,2.75,2.1,3,3.2,,,,2.25,2.87,3
1,1,1,1,,,,2.1,2.7,3.1,2.1,3,3.2,2,3,3.4,,,,1.9,2.87,4
4,0,3,0,,,,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,,,,1.44,3.5,7
1,3,0,2,,,,1.8,2.8,3.8,2.1,3,3.2,1.91,3.2,3.5,,,,1.9,2.87,4
0,0,0,0,,,,1.8,2.9,3.6,1.8,3.2,4,1.75,3.2,4.2,,,,1.9,3,3.75
1,0,1,0,,,,2,2.7,3.2,2.37,3,2.75,2.25,3,2.9,2.25,3,2.88,2.25,2.8,3.1
1,1,1,0,,,,2.3,2.7,2.7,2.62,3.2,2.37,2.6,3,2.5,2.5,2.88,2.62,2.62,2.87,2.5
2,2,0,2,,,,1.9,2.8,3.3,2,3.2,3.2,1.91,3.2,3.5,1.83,3.2,3.75,1.9,3,3.75
1,3,1,1,,,,1.65,3.3,4.4,,,,,,,1.67,3.25,4.5,1.72,3.1,4.5
1,0,0,0,,,,1.7,3.2,4.2,,,,,,,1.67,3.25,4.5,1.57,3.3,5.5
2,3,1,3,,,,2.5,2.7,2.8,,,,,,,2.5,2.88,2.62,2.5,2.9,2.62
0,2,0,1,,,,2.1,2.8,3.3,,,,,,,2.1,3,3.2,2,3,3.4
2,0,0,0,,,,1.6,3.4,4.6,,,,,,,1.62,3.25,5,1.61,3.3,5
0,0,0,0,,,,2.8,2.7,2.5,,,,,,,2.6,3,2.5,2.87,2.8,2.4
2,1,1,0,,,,2,2.9,3.4,,,,,,,2,3,3.4,1.9,3,3.75
4,1,2,0,,,,1.9,2.9,3.8,,,,,,,1.91,3.2,3.5,1.9,3.1,3.6
2,2,1,2,,,,2.1,2.8,3.3,,,,,,,2.25,3,2.88,2.1,2.87,3.3
1,2,0,0,1.85,3.1,4,1.85,3.1,3.6,1.8,3.25,3.75,,,,,,,1.8,3.1,4
2,1,1,0,2.3,3,2.9,2.5,2.8,2.7,2.4,3.25,2.5,,,,,,,2.37,2.87,2.8
2,0,1,0,1.5,3.45,6.25,1.5,3.5,5.4,1.44,3.4,7,,,,,,,1.5,3.3,6.5
1,1,0,1,1.55,3.45,5.55,1.55,3.4,5,1.57,3.25,5.5,,,,,,,1.57,3.3,5.5
0,0,0,0,2.45,2.9,2.75,2.3,2.8,2.9,2.5,2.87,2.62,,,,,,,2.3,2.8,3
2,2,0,0,2.4,3,2.75,2.2,2.9,3,2.5,3.2,2.5,,,,,,,2.3,3,2.8
1,0,0,0,1.6,3.3,5.3,1.5,3.5,5.4,1.61,3.25,5,,,,,,,1.57,3.3,5.5
1,2,0,0,2.6,2.8,2.7,2.6,2.8,2.6,3.2,3,2.1,,,,,,,2.62,2.75,2.62
4,2,1,2,1.85,3.2,3.8,1.8,3.1,3.8,1.8,3.2,4,,,,,,,1.8,3.1,4
2,0,2,0,1.77,3.15,4.25,1.8,3.1,3.8,1.73,3,4.5,1.8,3.1,4,,,,1.83,3,4
2,1,0,1,1.55,3.35,5.75,1.5,3.5,5.4,1.44,3.5,7,1.5,3.6,5.5,,,,1.53,3.25,6
2,0,2,0,1.5,3.5,6.1,1.55,3.4,5,1.61,3.25,5,1.53,3.4,5.5,,,,1.5,3.4,6
6,2,2,1,2.05,3,3.4,1.9,3,3.6,2.37,3,2.75,2.1,3,3.2,,,,2.1,2.87,3.3
2,1,0,0,2.38,2.95,2.8,2.2,2.8,3.1,2.5,3.2,2.5,2.4,3,2.7,,,,2.5,2.8,2.75
2,0,1,0,2.35,2.9,2.88,2.3,2.8,2.9,2.5,2.87,2.62,2.4,3,2.7,,,,2.5,2.8,2.75
1,0,1,0,1.62,3.3,5.1,1.5,3.5,5.4,1.44,3.6,6.5,1.62,3.3,5,,,,1.57,3.3,5.5
1,2,1,2,2.47,2.9,2.72,2.5,2.8,2.7,2.5,3.2,2.5,2.4,3.1,2.6,,,,2.37,3,2.7
0,1,0,0,1.85,3.1,3.95,2,2.9,3.4,1.8,3.2,4,1.8,3.25,3.8,,,,1.72,3.25,4.2
3,1,0,1,1.85,3.15,3.9,1.8,3.1,3.8,1.83,3.2,3.75,1.9,3.1,3.75,1.91,3,3.75,1.83,3,4
0,0,0,0,2.1,3,3.25,2,2.9,3.4,2.1,3.2,3,2.05,3,3.4,2.1,3.1,3.1,1.9,3,3.75
2,1,1,0,1.87,3.1,3.85,1.85,3,3.8,1.8,3.2,4,1.9,3.1,3.75,1.83,3,4,1.9,2.87,4
2,1,2,0,2.05,3.05,3.35,2.2,2.8,3.1,2.25,3.2,2.75,2.1,3.1,3.1,2.1,3,3.2,2,2.87,3.6
2,0,1,0,1.92,3.1,3.7,1.8,3,4,2.1,3,3.2,1.91,3,3.8,1.91,3,3.75,1.8,3.1,4
0,0,0,0,2,3,3.55,2.2,2.8,3.1,2.1,3,3.2,2,3.1,3.4,1.91,3.1,3.6,2,3,3.4
4,2,2,2,1.86,3.05,3.9,1.9,3,3.6,1.91,3,3.75,1.85,3.1,4,1.83,3,4,1.83,2.87,4.33
2,0,1,0,2.65,2.9,2.55,2.6,2.8,2.6,2.6,3.2,2.37,2.62,3,2.5,2.5,2.88,2.62,2.6,2.8,2.6
1,0,0,0,2.5,2.9,2.7,2.5,2.8,2.7,2.75,3,2.37,2.5,3,2.6,2.4,2.88,2.75,2.5,2.9,2.62
1,1,0,0,1.82,3.15,4,1.75,3.1,4,,,,1.9,3,3.75,,,,1.8,3,4.2
2,1,1,0,2.2,3.1,2.95,2.1,2.8,3.3,2.1,3,3.2,2.2,3,3,2.25,2.88,3,2.1,2.87,3.3
2,3,1,1,1.7,3.25,4.55,1.7,3.2,4.2,1.61,3.25,5,1.75,3.1,4.33,1.67,3.25,4.5,1.72,3.1,4.5
1,0,1,0,1.5,3.5,6.1,1.55,3.4,5,1.44,3.6,6.5,1.44,3.6,6.5,1.4,3.6,7.5,1.5,3.3,6.5
0,3,0,3,2.8,3,2.35,2.8,2.9,2.3,2.75,3.2,2.25,2.7,3,2.4,2.75,2.88,2.4,2.8,2.87,2.37
2,1,1,0,2.15,3,3.15,2,3,3.3,2.25,3.2,2.75,2.1,3,3.2,2.2,2.88,3.1,2.1,2.87,3.3
1,1,0,0,1.52,3.4,5.75,1.5,3.5,5.4,1.5,3.25,6.5,1.5,3.4,6,1.5,3.3,6.5,1.53,3.25,6
2,0,0,0,2.35,3.1,2.7,2.2,2.9,3,2.4,3.25,2.5,2.38,3.1,2.62,2.3,3.1,2.7,2.3,3.1,2.75
2,0,1,0,1.75,3.2,4.3,1.75,3.1,4,1.73,3.4,4,1.67,3.25,4.6,1.73,3.2,4.33,1.66,3.3,4.5
1,2,0,1,2.42,2.95,2.75,2.4,2.8,2.8,2.5,3.2,2.5,2.4,2.88,2.8,,,,2.37,2.9,2.8
2,2,1,1,1.8,3.1,4.2,1.8,3,4,1.73,3.2,4.33,1.8,3,4.2,,,,1.8,3,4.2
4,2,2,1,1.96,3,3.65,1.9,2.9,3.8,2.25,2.87,3,1.9,3,3.8,,,,1.9,3,3.75
1,0,0,0,2.28,2.95,2.95,2.3,2.8,2.9,2.25,3.2,2.75,2.25,3,2.88,,,,2.1,3,3.2
5,0,4,0,1.95,3.1,3.55,1.8,3,4,2.1,3,3.2,1.9,3,3.8,,,,1.8,3,4.2
1,1,0,1,2.35,3,2.8,2.3,2.8,2.9,2.5,3.2,2.5,2.38,3,2.7,,,,2.2,3,3
1,0,0,0,1.52,3.45,5.9,1.6,3.2,5,1.57,3.25,5.5,1.53,3.3,6,,,,1.57,3.3,5.5
3,0,2,0,1.78,3.1,4.3,1.75,3.2,4,2,3.2,3.2,1.73,3.1,4.5,,,,1.66,3.1,5
1,2,1,0,2.32,2.9,2.95,2.4,2.8,2.8,2.62,2.87,2.5,2.25,3,2.9,,,,2.25,2.8,3.1
2,0,1,0,1.58,3.35,5.45,1.6,3.2,5,1.57,3.25,5.5,1.53,3.3,6,1.57,3.25,5.5,1.61,3.3,5
7,0,3,0,1.5,3.45,6.25,1.5,3.5,5.4,1.5,3.4,6,1.5,3.3,6.5,1.44,3.5,7,1.5,3.3,6.5
1,2,1,0,2.4,3,2.75,2.3,2.9,2.8,2.4,3,2.62,2.4,2.88,2.8,2.38,3,2.7,2.5,2.9,2.62
2,2,1,1,2.25,2.95,3,2.1,2.9,3.2,2.37,2.87,2.8,2.25,2.88,3,2.3,2.88,2.9,2.25,3,2.87
3,0,1,0,,,,,,,,,,,,,,,,,,
0,0,0,0,1.72,3.15,4.6,1.75,3.2,4,1.8,3.2,4,1.8,3.1,4,1.73,3.1,4.5,1.66,3.1,5
1,2,0,1,2.2,2.95,3.1,2.2,2.8,3.1,2.25,3,2.87,2.2,3,3,2.2,3,3,2.2,3,3
1,1,1,1,1.62,3.3,5.1,1.7,3.2,4.2,1.61,3.25,5,1.57,3.4,5.25,1.62,3.25,5,1.57,3.5,5
0,0,0,0,1.75,3.1,4.5,1.8,3,4,1.61,3.25,5,1.73,3.1,4.5,1.73,3.1,4.5,1.72,3.1,4.5
2,0,0,0,1.72,3.25,4.4,1.75,3.2,4,1.8,3.2,4,1.67,3.3,4.6,1.73,3.2,4.33,1.66,3.1,5
2,0,0,0,2.25,3.1,2.85,2.3,2.9,2.8,2.25,3.2,2.75,2.5,3,2.6,2.38,3,2.7,2.25,3,2.87
1,0,0,0,2.75,2.9,2.45,2.6,2.8,2.6,2.6,3.2,2.37,2.7,3,2.38,2.8,2.88,2.38,2.7,3,2.37
3,2,1,1,1.57,3.45,5.25,1.6,3.2,5,1.57,3.25,5.5,1.5,3.5,6,1.5,3.4,6,1.53,3.25,6
1,2,0,0,1.8,3.15,4.1,1.8,3,4,1.8,3.2,4,1.75,3.1,4.33,1.8,3.1,4,1.66,3.3,4.5
0,0,0,0,1.95,3.1,3.55,1.8,3.1,3.8,2.1,3,3.2,1.91,3,3.75,2.1,3,3.2,1.9,3,3.75
1,2,1,1,1.6,3.3,5.3,1.65,3.2,4.6,1.57,3.25,5.5,1.57,3.3,5.5,1.62,3.25,5,1.57,3.5,5
1,0,0,0,1.85,3.1,3.95,1.85,3.1,3.6,1.83,3,4,1.8,3.1,4,1.83,3,4,1.8,3,4.2
0,2,0,0,2.6,2.85,2.65,2.5,3,2.5,2.5,3.2,2.5,2.5,3,2.6,2.5,2.88,2.62,2.5,2.9,2.62
0,0,0,0,1.75,3.2,4.3,1.75,3.1,4.2,1.67,3.25,4.5,1.73,3.1,4.5,1.73,3.1,4.5,1.72,3.1,4.5
3,0,0,0,1.6,3.4,5.1,1.7,3.2,4.2,1.57,3.25,5.5,1.57,3.4,5.2,1.57,3.4,5,1.57,3.5,5
3,0,0,0,1.85,3.2,3.8,1.9,3.1,3.5,1.91,3.25,3.4,1.85,3.1,3.8,1.83,3.1,3.75,1.83,3.2,3.75
2,4,1,2,2.9,3,2.3,2.9,2.8,2.3,3,3,2.2,2.9,2.9,2.3,2.8,2.9,2.38,2.87,3,2.25
0,0,0,0,1.95,3,3.7,1.9,3,3.6,2,3,3.4,2.05,2.88,3.5,1.9,2.9,3.75,2,2.87,3.6
1,1,1,0,2.1,3,3.25,2.1,2.9,3.2,2.1,3.2,3,2.1,3,3.2,2.2,3,2.9,2.1,3,3.2
2,1,1,1,2.8,3.1,2.3,2.7,2.9,2.4,3,3.2,2.1,3,2.9,2.25,2.8,3,2.25,2.87,3,2.25
1,2,1,1,2.35,3,2.8,2.3,2.8,2.9,2.37,2.87,2.8,2.38,2.88,2.8,2.4,2.88,2.75,2.37,2.87,2.8
1,2,1,0,1.9,3.1,3.75,2,2.9,3.4,1.91,3,3.75,1.8,3.1,4,1.83,3.2,3.75,1.9,3,3.75
3,1,1,0,1.75,3.15,4.4,1.75,3.2,4,1.8,3.2,4,1.73,3.1,4.5,1.67,3.1,5,1.72,3.1,4.5
1,0,0,0,2.15,3,3.15,2,2.9,3.4,2.2,3,3,2.1,3.2,3,2.25,2.88,3,2.2,3,3
0,2,0,2,2.45,2.9,2.75,2.4,2.8,2.8,2.25,3,3,2.4,2.88,2.75,2.3,2.8,3,2.3,2.8,3
0,2,0,1,2,3.1,3.4,2,3,3.3,2,3,3.4,2,3,3.4,2,3.2,3.2,2,3.2,3.2
2,1,1,1,1.55,3.45,5.5,1.55,3.4,5,1.61,3.25,5,1.57,3.4,5.2,1.57,3.25,5.5,1.61,3.3,5
2,4,1,0,2.68,3,2.45,2.8,2.9,2.3,2.75,3.2,2.25,2.7,3,2.38,2.88,2.9,2.3,2.62,3.1,2.37
1,1,0,0,2.62,2.9,2.57,2.5,2.9,2.6,2.5,3.2,2.5,2.62,3,2.5,2.5,2.9,2.6,2.4,3.1,2.6
2,0,1,0,2.42,2.9,2.7,2.6,2.7,2.7,2.5,2.87,2.62,2.4,3,2.7,2.5,2.88,2.62,2.2,3,3
1,2,1,0,1.67,3.25,4.8,1.7,3.2,4.2,1.61,3,6,1.67,3.25,4.6,1.67,3.1,5,1.72,3.1,4.5
0,1,0,0,2.27,3.1,2.83,2.3,2.8,2.9,2.37,3,2.75,2.38,2.9,2.8,2.25,2.88,3,2.37,2.8,2.87
2,2,2,0,1.7,3.2,4.65,1.65,3.3,4.4,1.8,3.2,4,1.67,3.25,4.6,1.73,3.25,4.3,1.66,3.3,4.5
1,0,0,0,1.45,3.7,6.35,1.45,3.8,5.4,1.5,3.6,5.5,1.44,3.5,7,1.44,3.6,6.5,1.44,3.5,7
2,0,0,0,1.7,3.3,4.5,1.65,3.3,4.4,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.66,3.3,4.5
1,2,0,2,2.7,2.9,2.5,2.8,2.9,2.3,2.62,2.87,2.5,2.62,2.88,2.5,2.62,2.88,2.5,2.6,2.8,2.6
0,1,0,1,2,3,3.55,2,3,3.3,1.91,3.2,3.5,2.1,3,3.2,2.1,3.1,3.1,2.1,3,3.2
2,2,1,0,1.4,3.75,7.5,1.35,3.8,7.5,1.4,3.75,7,1.4,3.6,7.5,1.36,4,7.5,1.4,3.6,7.5
2,2,0,1,2.2,3,3.05,2.1,2.8,3.3,2.1,3,3.2,2.2,3,3,2.1,3,3.2,2.2,3,3
0,0,0,0,1.4,3.75,7.5,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7
1,1,0,1,2.15,3,3.15,2.2,2.8,3.1,2.2,3,3,2.1,3,3.2,2,3.1,3.3,2,3.1,3.3
2,0,0,0,1.7,3.25,4.55,1.75,3.1,4.2,1.8,3.2,4,1.67,3.25,4.6,1.67,3.25,4.5,1.66,3.3,4.5
1,2,0,2,1.7,3.25,4.52,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.2,4.75,1.73,3.2,4.33,1.66,3.3,4.5
0,1,0,1,1.6,3.2,5.55,1.65,3.1,4.8,1.67,3.2,5,1.6,3.2,5.5,1.67,3.1,5,1.66,3.1,5
0,0,0,0,2.5,2.95,2.65,2.6,2.8,2.6,2.62,2.87,2.5,2.5,2.88,2.7,2.6,2.8,2.6,2.5,2.9,2.62
2,0,1,0,2.1,3,3.25,2.2,2.7,3.2,2.1,3,3.2,2.1,3.2,3,2,3.2,3.2,2.2,3.1,2.87
4,0,4,0,1.6,3.25,5.4,1.6,3.2,5,1.61,3.25,5,1.6,3.2,5.5,1.67,3.25,4.5,1.61,3.1,5.5
0,0,0,0,2.05,3,3.38,2.2,2.7,3.2,2.2,3,3,2.1,2.9,3.3,2.1,3,3.2,2,3,3.4
0,0,0,0,2.1,3,3.25,2,3,3.3,2.2,3.2,2.8,2.25,2.9,3,2.25,3,2.88,2.1,3,3.2
