FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,1,0,,,,1.9,2.8,3.3,,,,,,,1.91,3,3.75,1.9,3,3.75
2,2,2,0,,,,3,2.8,2.1,,,,,,,3.2,3,2.1,3.3,2.87,2.1
0,2,0,1,,,,1.45,3.5,5,,,,,,,1.4,3.75,7,1.44,3.75,6
4,1,2,0,,,,1.4,3.6,5.5,,,,,,,1.29,4.33,8.5,1.25,4.5,10
4,0,3,0,,,,1.2,4.7,9,,,,,,,1.2,5,11,1.2,5,11
1,1,0,0,,,,1.2,4.7,9,,,,,,,1.22,5,9,1.25,4.5,10
1,1,1,0,,,,2.8,2.8,2.2,,,,,,,2.8,2.88,2.38,2.6,2.8,2.6
2,2,0,2,,,,1.75,3.1,3.6,,,,,,,1.8,3.2,4,1.9,3,3.75
1,1,0,1,,,,3.8,2.9,1.75,,,,,,,4.33,3,1.8,4.5,3.1,1.72
0,0,0,0,,,,3.2,2.9,1.9,,,,3.25,3,2.1,3.2,3,2.1,3.6,2.87,2
1,1,0,0,,,,1.35,3.8,6.2,,,,1.3,4.33,8.5,1.29,4.33,8.5,1.25,4.5,10
0,2,0,1,,,,3.6,2.9,1.8,,,,3.6,3.1,1.95,3.75,3,1.91,3.75,3.2,1.83
2,0,1,0,,,,2.45,2.8,2.45,,,,2.4,2.9,2.8,2.38,2.8,2.88,2.37,2.9,2.8
5,2,3,1,,,,1.35,3.8,6.2,,,,1.4,3.75,7,1.4,3.75,7,1.36,3.75,8
2,2,1,2,,,,2.3,2.7,2.7,,,,2.38,3,2.75,2.38,2.88,2.8,2.4,2.9,2.75
1,2,1,0,,,,1.9,2.7,3.4,,,,1.91,3,3.75,1.91,3,3.75,1.9,3,3.75
1,3,1,1,,,,1.9,2.7,3.4,,,,2.2,2.9,3.1,2.1,3,3.2,2.1,2.87,3.3
0,1,0,0,,,,2.1,2.8,3,,,,2.25,2.9,3,2.2,3,3,2.2,2.8,3.2
3,2,2,2,,,,1.2,4.7,9,,,,1.22,5,10,1.2,5.5,9,1.2,5,11
1,0,0,0,,,,2.4,2.7,2.6,,,,2.5,3,2.6,2.5,2.88,2.62,2.4,2.87,2.8
1,1,0,1,,,,1.7,3.1,3.8,,,,1.73,3.2,4.33,1.8,3.1,4,1.72,3.1,4.5
3,1,2,1,,,,1.9,2.7,3.4,,,,2,3.2,3.3,2,3,3.4,2,3,3.4
2,1,0,0,,,,1.2,4.7,9,,,,1.2,5.25,10,1.22,5,9,1.22,5,9.5
0,0,0,0,,,,1.3,4,7,,,,1.29,4.33,8.5,1.29,4.5,8,1.3,4.2,8.5
2,0,1,0,,,,3.5,2.8,1.85,,,,4,3,1.85,4,3,1.83,4,2.87,1.9
1,2,0,1,,,,3,2.8,2.1,,,,3.25,3,2.1,3,3,2.2,3.25,2.9,2.1
1,1,0,1,,,,1.8,2.9,3.6,,,,1.91,3,3.75,1.91,3,3.75,1.9,2.87,4
0,0,0,0,,,,3.3,2.8,1.9,,,,3.75,3.2,1.85,4,3.1,1.8,4,2.87,1.9
1,0,1,0,,,,2.1,2.8,3,,,,2,3,3.5,2,3,3.4,2,2.9,3.6
4,2,2,1,,,,2.1,2.8,3,,,,2,3,3.5,2,3,3.4,1.9,3,3.75
2,0,1,0,,,,2,2.7,3.2,,,,1.85,3.2,3.75,1.83,3.2,3.75,1.83,3.2,3.75
1,0,0,0,,,,1.75,3.1,3.6,,,,1.7,3.2,4.5,1.62,3.25,5,1.61,3.1,5.5
1,2,1,1,,,,2,2.8,3.1,,,,2,3,3.5,2.1,3,3.2,2.1,2.75,3.5
2,1,1,1,,,,1.45,3.5,5,,,,1.4,3.75,7,1.36,4,7,1.4,3.6,7.5
0,1,0,0,,,,3,2.8,2.1,,,,3.4,3.1,2,3.2,3,2.1,3.4,2.8,2.1
0,1,0,0,,,,2.4,2.7,2.6,,,,2.38,3,2.75,2.38,2.88,2.8,2.37,2.8,2.87
0,2,0,1,,,,1.9,2.8,3.3,,,,1.91,3.1,3.75,1.91,3,3.75,1.83,3,4
3,3,1,3,,,,1.7,2.9,4.2,1.8,3.2,4,1.85,3,4,1.91,3,3.75,1.83,3,4
3,1,1,0,,,,1.5,3.2,5,1.44,3.6,6.5,1.44,3.6,6.5,1.44,3.6,6.5,1.5,3.6,5.5
