FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,2,2,1,4.5,3.2,1.727,5.35,3.25,1.65,5,3.2,1.7,4.2,3.1,1.75,4.5,3.25,1.667,5,3.1,1.72,4.5,3.2,1.7,1.79,1.9,1.95,1.85,2,1.8,0.75,1.94,1.9,0.75,1.95,1.95,0.75
2,2,1,1,1.167,6.5,15,1.15,6,13,1.15,6,15,1.15,6,12,1.167,5.5,12,1.16,6,13,1.16,5.5,12,1.6,2.15,1.61,2.25,1.8,2,-1.75,1.86,1.98,-1.75,1.85,2.05,-1.75
2,2,1,1,2,3,3.5,2,3.1,3.6,2.1,2.9,3.6,1.9,3,3.6,2.1,2.75,3.5,2.05,3,3.6,2.05,2.9,3.4,2,1.71,2.05,1.75,2.1,1.61,-0.5,2.02,1.82,-0.5,2.1,1.8,-0.5
0,3,0,2,4,3.1,1.833,4.5,3.1,1.8,4.1,3.25,1.8,3.8,3,1.85,4,3,1.833,4,3.2,1.85,4,3,1.83,1.85,1.85,1.85,1.95,1.81,1.8,0.5,2.04,1.8,0.5,2.1,1.8,0.5
1,0,1,0,2.375,2.875,2.875,2.3,2.9,3.1,2.25,2.9,3.15,2.2,2.9,3,2.25,2.875,3,2.3,2.9,3.1,2.3,2.9,2.9,1.95,1.75,2,1.8,2.05,1.77,-0.25,2.06,1.78,-0.25,2.125,1.775,-0.25
1,0,1,0,1.727,3.2,4.5,1.66,3.15,5.5,1.7,3.1,5.2,1.8,3,4,1.727,3.2,4.333,1.8,3.1,4.5,1.72,3.1,4.5,1.85,1.85,2,1.8,1.95,1.85,-0.75,1.96,1.88,-0.75,2.05,1.85,-0.75
0,0,0,0,1.533,3.4,6,1.55,3.25,6.5,1.55,3.4,6.1,1.55,3.4,5,1.444,3.5,7,1.5,3.4,7,1.5,3.4,6,1.75,1.95,1.8,2,1.8,2,-0.75,1.8,2.04,-0.75,1.85,2.05,-0.75
0,0,0,0,2.6,2.875,2.6,2.7,2.9,2.55,2.75,2.8,2.63,2.6,2.8,2.6,2.5,2.875,2.625,2.7,2.87,2.6,2.6,2.8,2.6,2,1.71,2.1,1.7,1.39,2.63,0.5,1.96,1.88,0,1.95,1.95,0
1,0,0,0,1.571,3.4,5.5,1.55,3.5,5.75,1.62,3.3,5.5,1.45,3.6,5.8,1.615,3.25,5,1.61,3.3,5.5,1.57,3.5,5,1.71,2,1.85,1.95,1.9,1.9,-0.75,1.96,1.88,-0.75,1.9,2,-0.75
0,1,0,1,2.1,3,3.75,2,3.05,3.5,2.05,3,3.6,2,2.9,3.4,2,3,3.4,2.05,3.1,3.4,2.1,3,3.2,1.85,1.85,2,1.8,2.05,1.64,-0.5,2.04,1.8,-0.5,2.05,1.85,-0.5
1,1,0,0,1.36,4.33,9,1.35,4,8,1.36,4.1,8.5,1.35,4,7,1.36,3.75,8,1.33,4.33,8.5,1.4,3.4,8.5,1.65,2.05,1.7,2.1,2.05,1.77,-1.25,2.08,1.76,-1.25,2.125,1.775,-1.25
4,1,1,1,2,3,3.5,1.95,3.25,3.55,2.05,3,3.6,2.1,2.8,3.3,2,2.8,3.75,2.1,3.2,3.25,2,2.87,3.6,1.9,1.79,2,1.8,1.85,1.95,-0.25,1.88,1.96,-0.25,1.8,2.1,-0.25
0,2,0,0,5.5,3.2,1.61,5.55,3.35,1.6,5.25,3.3,1.65,4.2,3.2,1.7,5,3.2,1.67,4.75,3.3,1.7,5,3.1,1.66,1.9,1.79,2,1.8,2,1.8,0.75,2.02,1.82,0.75,2.05,1.85,0.75
