FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
2,1,2,0,1.28,3.9,7.9,1.25,4.3,8,1.35,3.75,8,1.3,4.33,8.5,1.28,4.5,8
2,0,0,0,1.51,3.2,6.2,1.55,3.3,4.5,1.55,3.25,5.5,1.53,3.5,5.5,1.57,3.5,5
2,1,0,0,1.65,3.2,4.1,1.6,3.2,4.2,1.55,3.5,5,1.67,3.3,4.75,1.66,3.3,4.5
2,2,0,0,1.85,3.15,3.45,1.8,3,3.5,1.7,3.4,4,1.85,3.25,3.8,1.8,3.25,3.75
1,2,0,0,1.7,3.1,4.3,1.7,3.1,3.8,1.7,3.2,4.3,1.73,3.25,4.33,1.72,3.2,4.33
0,3,0,1,2.35,3.15,2.6,2.2,2.9,2.7,2.6,3.2,2.35,2.4,3.2,2.6,2.3,3.1,2.75
1,1,1,0,1.8,3.1,3.9,1.8,3,3.5,1.7,3.4,4,1.73,3.25,4.33,1.72,3.2,4.33
1,0,0,0,2,3.1,3.3,1.85,2.9,3.4,2.1,3.2,3,1.95,3.1,3.6,1.9,3.1,3.6
0,2,0,0,2.65,2.9,2.35,2.4,2.9,2.4,2.6,3.2,2.35,2.8,3,2.38,,,
1,5,0,3,2.25,3.1,2.75,2.1,2.9,2.9,2.4,3.25,2.5,2.3,3.1,2.8,2.25,3.1,2.8
3,1,1,1,3.2,3,2.05,2.7,2.9,2.2,3.2,3.2,2,3.5,3.25,1.9,3.4,3.25,1.9
3,3,1,1,3.2,3.25,1.95,3,2.9,2,3.75,3.2,1.85,3.4,3.2,1.92,3.2,3.2,2
0,3,0,1,2.7,3.1,2.2,2.7,2.9,2.2,3,3,2.2,2.88,3.2,2.2,2.62,3.1,2.37
4,0,1,0,1.5,3.4,5.55,1.5,3.4,4.7,1.55,3.5,5,1.4,4,7,1.57,3.5,5
2,0,1,0,1.66,3.2,4.7,1.6,3.2,4.2,1.65,3.25,4.5,1.67,3.4,4.5,1.72,3.4,4
0,1,0,0,1.47,3.6,5.7,1.45,3.5,5,1.4,3.75,7,1.4,4,6.5,1.5,3.6,5.5
4,1,3,0,1.6,3.3,4.9,1.55,3.3,4.5,1.55,3.25,5.5,1.45,3.5,6,1.57,3.5,5
1,2,0,0,1.51,3.5,5.5,1.45,3.5,5,1.35,3.75,8,1.45,3.5,6,,,
2,2,0,1,1.7,3.4,3.95,1.6,3.2,4.2,1.65,3.4,4.3,1.55,3.4,4.5,1.72,3.4,4
0,0,0,0,2.2,3.15,2.85,2.1,2.9,2.9,2.25,3.2,2.75,2.05,3.3,3,2.2,3.2,2.8
3,1,1,0,1.25,4.55,8,1.25,4.3,8,1.3,4.3,8,1.25,5,9,1.28,4.5,8
1,1,0,1,2.3,3.15,2.65,2.3,2.9,2.5,2.75,3.2,2.25,2.4,3.1,2.63,2.3,3.25,2.62
4,1,2,0,1.4,3.7,6.3,1.4,3.6,5.5,1.45,3.5,7,1.44,3.75,6.5,1.44,3.5,7
1,1,1,0,2.3,3.15,2.6,2.4,2.9,2.4,3,3.2,2.1,2.63,3.2,2.38,2.87,3.1,2.2
2,2,1,2,1.7,3.4,3.9,1.7,3.1,3.8,1.8,3.2,4,1.7,3.3,4.5,1.72,3.4,4
1,0,1,0,1.55,3.55,4.8,1.5,3.4,4.7,1.55,3.5,5,1.53,3.4,6,1.57,3.5,5
0,1,0,0,1.8,3.45,3.55,1.7,3.1,3.8,1.8,3.2,4,1.85,3.25,3.75,1.8,3.3,3.75
0,3,0,0,2.8,3.35,2.1,3,2.9,2,3.2,3.2,2,3,3.1,2.2,3.1,3.1,2.1
