FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
3,2,2,1,1.25,5.5,13,1.2,5.75,10.5,1.25,5.5,11,1.25,5,12,1.25,4.5,10,1.22,5.5,10,1.2,5,11,1.2,6,15,1.25,5,10,1.25,5,11,31,1.26,1.24,6.6,5.65,15,11.75,28,1.52,1.48,2.9,2.53,19,0,9,1.92,11,8.69
1,0,0,0,1.91,3.4,4.2,1.85,3.35,3.8,1.85,3.4,4.1,1.9,3.3,3.9,1.8,3.2,4,1.8,3.25,4.2,1.8,3.25,3.8,1.8,3.5,4.5,1.8,3.3,4,1.8,3.3,4.2,31,1.97,1.89,3.52,3.36,4.52,4.1,28,2.08,1.97,1.91,1.79,18,0,1.38,1.36,3.2,3.01
0,0,0,0,2.1,3.3,3.5,2.15,3.25,3.05,2.1,3.3,3.3,1.9,3.3,3.9,2.1,3.2,3,2.1,3.2,3.2,2.05,3.2,3.1,2.2,3.2,3.4,2.1,3.2,3.2,2.2,3.25,3.1,32,2.22,2.13,3.41,3.27,3.69,3.36,28,2.16,2.02,1.83,1.74,19,0,1.62,1.54,2.54,2.41
1,0,0,0,2.1,3.3,3.5,2.2,3.25,2.95,2.2,3.25,3.2,2.15,3.25,3.25,2.2,3.2,2.8,2.1,3.2,3.2,2.15,3.2,2.9,2.25,3.25,3.2,2.1,3.2,3.2,2.2,3.25,3,32,2.33,2.19,3.35,3.25,3.5,3.22,29,2.15,2.02,1.81,1.74,19,0,1.66,1.58,2.47,2.3
3,0,1,0,3.4,3.4,2.1,3.3,3.35,2,3.4,3.25,2.1,3.2,3.2,2.2,3,3.2,2.1,3.2,3.2,2.1,3.1,3.2,2.05,3.4,3.4,2.1,3.2,3.2,2.1,3.1,3.25,2.15,31,3.73,3.37,3.64,3.35,2.3,2.1,28,1.85,1.8,2.13,1.96,18,0,2.6,2.45,1.58,1.51
2,0,0,0,1.91,3.4,4.33,1.75,3.45,4.15,1.91,3.2,4.2,1.8,3.4,4.3,1.67,3.4,4.33,1.75,3.4,4.2,1.73,3.4,4,1.8,3.4,4.75,1.73,3.4,4.5,1.7,3.5,4.5,32,1.95,1.82,3.53,3.4,5,4.36,29,2.01,1.88,2,1.86,19,0,1.38,1.32,3.64,3.2
1,1,1,1,2.88,3.2,2.5,2.75,3.2,2.35,2.8,3.25,2.45,2.7,3.2,2.5,2.62,3.25,2.3,2.75,3.2,2.35,2.5,3.25,2.4,3,3.4,2.3,2.7,3.2,2.4,2.88,3.25,2.3,32,3,2.82,3.42,3.24,2.6,2.44,29,2.13,2.02,1.8,1.74,19,0,2.1,2.03,1.87,1.78
1,4,1,3,2.15,3.3,3.4,2.05,3.25,3.25,2,3.3,3.6,2.1,3.25,3.4,1.91,3.2,3.5,2,3.2,3.5,2,3.2,3.2,2.05,3.25,3.75,1.9,3.25,3.6,2,3.25,3.5,32,2.25,2.09,3.3,3.24,3.75,3.49,29,2.21,2.08,1.75,1.69,19,0,1.62,1.5,2.63,2.51
2,0,0,0,2.25,3.3,3.2,2.25,3.2,2.9,2.2,3.2,3.2,2.15,3.25,3.25,2.2,3.2,2.8,2.3,3.2,2.8,2.2,3.2,2.8,2.1,3.33,3.5,2.2,3.2,3,2.3,3.3,2.8,31,2.45,2.27,3.52,3.28,3.5,3.07,28,2,1.86,2.01,1.89,18,0,1.68,1.63,2.35,2.22
3,0,2,0,1.17,8,13,1.12,7.5,13,1.15,7,15,1.17,6,15,1.14,6,13,1.15,6,15,1.12,6,15,1.14,7.5,19,1.14,6.5,15,1.14,6.5,15,30,1.17,1.15,9.05,7.11,19,15.16,27,1.43,1.37,3.2,2.87,19,0,1.03,1.02,15,11.98
1,1,1,1,1.44,4.33,7,1.4,4,7.25,1.45,4,7.5,1.4,4.5,7,1.44,3.75,6,1.45,3.75,7,1.44,3.75,6,1.5,4,7,1.4,4,7,1.5,3.75,6.5,34,1.52,1.46,4.52,4.05,7.55,7.05,30,1.72,1.63,2.37,2.19,20,0,5,1.44,5.98,4.82
0,3,0,1,6,3.8,1.57,6.5,3.55,1.5,5.5,3.7,1.6,5.4,3.7,1.6,5,3.5,1.57,5.2,3.75,1.55,5,3.6,1.53,5.5,4.2,1.57,5.5,3.5,1.57,5,3.6,1.62,34,6.75,5.95,4.27,3.76,1.62,1.57,30,1.63,1.56,2.52,2.32,21,0,4.81,4.25,1.25,1.19
0,2,0,0,6.5,4.2,1.5,6.2,4,1.45,6.75,4,1.47,6,3.7,1.55,7,4,1.36,6.75,3.75,1.45,6,3.75,1.44,7,4.5,1.44,6.5,3.8,1.44,6.5,3.75,1.5,34,7.6,6.79,4.52,3.99,1.53,1.49,30,1.63,1.53,2.5,2.39,20,0,5.47,5.06,1.18,1.14
4,1,2,1,1.57,3.8,6,1.45,3.9,6.5,1.53,3.75,6.5,1.45,4,7,1.57,3.5,5,1.5,3.75,6,1.44,3.75,6,1.57,3.5,7.5,1.57,3.5,5.5,1.57,3.6,5.5,35,1.62,1.53,4.04,3.78,7.55,6.45,31,1.83,1.71,2.18,2.05,21,0,1.2,1.16,5.25,4.69
1,0,0,0,1.83,3.5,4.33,1.75,3.3,4.4,1.83,3.4,4.25,1.85,3.4,4,1.83,3.2,3.75,1.8,3.25,4,1.8,3.3,3.75,1.75,3.6,4.75,1.8,3.3,4,1.8,3.25,4.33,34,1.93,1.85,3.65,3.39,4.8,4.26,29,1.97,1.86,1.98,1.88,18,0,1.4,1.35,3.25,3.01
1,0,1,0,2.38,3.25,3,2.25,3.2,2.9,2.35,3.25,2.9,2.2,3.3,3.1,2.2,3.25,2.75,2.3,3.2,2.8,2.25,3.2,2.75,2.3,3.4,3,2.3,3.2,2.8,2.25,3.25,2.88,33,2.45,2.34,3.42,3.25,3.25,2.96,28,2.05,1.96,1.94,1.79,17,0,1.73,1.67,2.21,2.11
2,1,0,0,2.38,3.25,3,2.25,3.2,2.9,2.45,3.25,2.8,2.3,3.2,3,2.1,3.2,3,2.4,3.1,2.75,2.3,3.2,2.62,2.3,3.4,3,2.38,3.25,2.62,2.38,3.25,2.75,34,2.55,2.4,3.4,3.22,3.4,2.92,29,2.29,2.09,1.77,1.69,19,0,1.84,1.75,2.15,2.04
2,4,1,3,3.4,3.4,2.1,3.45,3.2,2,3.4,3.25,2.1,3.6,3.3,2,3,3.2,2.1,3.1,3.2,2.15,3.1,3.3,2,3.2,3.25,2.25,3.2,3.2,2.1,3.2,3.25,2.1,34,3.64,3.39,3.55,3.31,2.25,2.12,29,2,1.88,1.97,1.86,18,0,2.64,2.42,1.56,1.52
1,1,0,0,1.57,3.8,6,1.5,3.7,6,1.53,3.75,6.5,1.55,3.7,6,1.5,3.5,6,1.5,3.75,6,1.5,3.6,5.5,1.53,3.8,7,1.5,3.75,6,1.57,3.6,5.5,34,1.59,1.54,4.24,3.8,7,6.41,29,1.85,1.76,2.15,1.99,19,0,1.2,1.16,5.2,4.72
0,1,0,1,2.75,3.2,2.63,2.65,3.2,2.45,2.6,3.25,2.6,2.6,3.2,2.6,2.6,3.2,2.38,2.7,3.1,2.45,2.5,3.1,2.5,2.6,3.2,2.75,2.7,3.2,2.38,2.6,3.2,2.5,34,2.88,2.68,3.37,3.21,2.75,2.58,29,2.2,2.07,1.8,1.7,18,0,2.04,1.93,1.94,1.85
5,2,4,1,1.33,5,8.5,1.35,4.5,7.25,1.33,4.75,8.5,1.35,4.7,7.8,1.33,4.33,7,1.25,5.5,8.5,1.29,4.5,8,1.36,4.75,9,1.33,4.33,8.5,1.33,4.5,8,35,1.35,1.32,6.08,4.9,10.35,9.09,30,1.5,1.42,2.9,2.69,21,0,1.1,1.08,8,7.01
2,3,1,2,1.95,3.4,3.8,1.9,3.25,3.75,1.95,3.35,3.75,1.9,3.3,3.9,1.83,3.2,3.75,1.9,3.25,3.75,1.91,3.2,3.5,1.91,3.4,4.1,1.9,3.3,3.6,1.95,3.3,3.6,35,2.04,1.93,3.48,3.33,4.25,3.89,30,2.23,2.08,1.76,1.71,20,0,1.45,1.4,2.98,2.78
1,2,0,1,2.05,3.3,3.6,2.05,3.25,3.25,2,3.3,3.6,2,3.3,3.6,1.8,3.3,3.75,2,3.2,3.5,2,3.2,3.2,2.05,3.4,3.6,2,3.2,3.4,2,3.25,3.5,35,2.19,2.07,3.55,3.3,3.8,3.48,30,2.02,1.93,1.91,1.82,21,0,1.59,1.48,2.63,2.53
4,0,1,0,2,3.4,3.6,1.9,3.25,3.75,1.95,3.35,3.75,1.85,3.4,4,1.91,3.2,3.5,1.85,3.25,4,1.95,3.2,3.4,1.91,3.4,4.1,1.9,3.3,3.6,1.83,3.3,4,35,2.05,1.94,3.58,3.33,4.15,3.86,30,2.04,1.94,1.91,1.82,21,0,1.45,1.4,3,2.79
0,2,0,1,3.25,3.25,2.25,3.15,3.25,2.1,3.2,3.2,2.2,3,3.2,2.3,3,3.2,2.1,3.1,3.2,2.15,2.9,3.2,2.2,3.6,3.4,2.05,2.9,3.2,2.25,2.8,3.3,2.3,35,3.6,3.23,3.4,3.26,2.3,2.18,30,2.15,2.03,1.8,1.74,21,0,2.55,2.31,1.67,1.57
1,0,0,0,2.5,3.25,2.8,2.35,3.2,2.75,2.5,3.2,2.75,2.4,3.2,2.85,2.38,3.2,2.6,2.25,3.2,2.9,2.4,3.1,2.6,2.5,3.4,2.75,2.4,3.2,2.6,2.3,3.3,2.8,35,2.65,2.45,3.4,3.23,3.1,2.81,29,2.2,2.03,1.8,1.74,20,0,1.9,1.79,2.1,1.99
3,2,2,0,2.63,3.25,2.63,2.6,3.25,2.45,2.6,3.25,2.6,2.55,3.3,2.55,2.4,3.25,2.5,2.5,3.1,2.65,2.5,3.1,2.5,2.75,3.4,2.5,2.6,3.2,2.4,2.6,3.25,2.5,35,2.9,2.66,3.4,3.22,2.74,2.59,29,2.11,2.02,1.82,1.74,20,0,2.01,1.91,1.94,1.86
5,0,1,0,1.13,8,21,1.12,7.5,13,1.12,8,16,1.12,7.5,20,1.1,7,15,1.08,8.5,17,1.11,6.5,15,1.08,10,25,1.12,7,15,1.12,7,17,35,1.14,1.11,10.15,7.99,25,18.86,29,1.37,1.34,3.46,3.09,18,-2.25,1.88,1.83,2.09,2.05
2,2,1,1,1.29,5.25,10,1.25,5.5,8.5,1.3,5,9,1.27,5,10,1.3,4.33,8,1.28,4.75,9,1.29,4.5,8,1.3,5,11,1.3,4.5,9,1.3,4.75,9,34,1.33,1.3,5.72,4.99,11.61,9.76,28,1.55,1.51,2.64,2.45,19,0,1.08,1.06,8.45,7.71
1,2,1,1,2.1,3.3,3.5,2,3.2,3.45,2.1,3.2,3.5,2,3.3,3.6,1.8,3.3,3.75,2,3.2,3.5,1.91,3.2,3.5,1.95,3.5,3.8,2,3.2,3.4,1.91,3.3,3.75,35,2.18,2.05,3.54,3.28,3.8,3.53,29,2,1.87,2,1.88,20,0,1.6,1.48,2.75,2.52
1,4,0,3,10,5,1.3,8.5,5.4,1.25,9.5,5,1.3,8.5,4.5,1.35,10,5,1.29,10,5,1.25,9,5,1.33,11,5.25,1.29,9,5,1.3,8.5,4.5,1.33,35,12.5,9.94,5.54,5.01,1.35,1.3,30,1.57,1.53,2.54,2.4,22,0,8.5,7.5,1.1,1.07
2,0,2,0,1.44,4.2,7.5,1.38,4.3,6.8,1.45,4,7,1.45,4,7,1.44,4,8,1.4,3.8,8,1.44,4.33,7,1.4,4.5,8,1.44,3.75,7,1.44,3.8,7,34,1.5,1.45,4.73,4.13,8,7.08,30,1.78,1.71,2.2,2.07,22,0,1.16,1.13,6,5.31
2,2,1,1,1.44,4.33,7,1.4,4.2,6.75,1.45,4.1,7,1.5,3.9,6.5,1.44,4.33,7,1.4,4,7.25,1.5,4,7,1.4,4.5,8,1.44,3.8,6.5,1.44,3.75,7.5,34,1.48,1.44,4.72,4.16,8.25,7.18,28,1.68,1.64,2.36,2.18,18,0,1.14,1.12,6.5,5.49
