FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
1,2,0,1,4.0,3.25,1.9,3.65,3.2,1.95,4.4,3.5,2.04,3.6,3.2,1.9,3.5,3.2,1.9,3.5,3.2,1.9,3.5,3.2,2.0,43,4.0,3.67,3.4,3.23,2.1,1.95,39,2.3,2.14,1.7,1.63,26,0.5,1.95,1.85,2.07,1.95
1,3,0,3,2.5,3.2,2.75,2.4,3.2,2.7,2.4,3.25,2.8,2.2,3.1,3.0,2.37,3.0,2.75,2.37,3.0,2.75,2.3,3.25,2.9,45,2.6,2.41,3.25,3.18,3.05,2.8,40,2.33,2.1,1.75,1.65,26,0.0,1.83,1.75,2.18,2.04
2,2,1,1,2.8,3.25,2.4,2.95,3.15,2.25,2.8,3.25,2.4,2.7,3.1,2.4,2.6,3.2,2.37,2.6,3.2,2.37,2.7,3.25,2.4,43,3.25,2.85,3.3,3.19,2.55,2.38,39,2.35,2.13,1.9,1.63,25,0.0,2.26,2.09,1.76,1.71
2,1,1,0,1.66,3.4,5.5,1.65,3.4,5.0,1.68,3.5,5.0,1.65,3.5,4.5,1.61,3.5,4.5,1.61,3.5,4.5,1.7,3.4,5.0,44,1.75,1.66,3.65,3.45,6.0,5.25,40,2.2,2.0,1.83,1.73,26,-0.75,1.97,1.94,2.02,1.94
1,2,1,0,2.37,3.25,2.87,2.35,3.15,2.8,2.4,3.25,2.8,2.3,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.5,3.25,2.65,43,2.7,2.41,3.25,3.18,2.95,2.81,39,2.3,2.08,1.75,1.67,26,0.0,1.9,1.77,2.1,1.97
1,0,0,0,3.4,3.25,2.1,3.2,3.2,2.1,3.4,3.25,2.1,3.0,3.1,2.2,2.87,3.0,2.25,2.87,3.0,2.25,3.0,3.2,2.25,41,3.5,3.18,3.33,3.21,2.25,2.18,39,2.15,2.04,1.83,1.7,26,0.25,2.06,2.09,1.82,1.79
0,2,0,1,2.0,3.2,3.75,1.95,3.2,3.6,2.1,3.2,3.5,2.0,3.2,3.3,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.25,3.6,44,2.2,2.05,3.35,3.2,3.9,3.52,38,2.3,2.09,1.73,1.65,27,-0.25,1.9,1.87,2.07,2.0
2,1,0,1,1.33,4.5,10.0,1.3,4.75,8.25,1.33,4.5,10.0,1.35,4.2,7.5,1.33,3.75,9.0,1.33,3.75,9.0,1.3,4.5,9.5,43,1.37,1.32,5.0,4.49,11.0,9.4,37,1.98,1.81,2.05,1.93,25,-1.25,1.9,1.86,2.07,2.03
3,2,2,2,1.2,6.0,13.0,1.15,5.75,17.0,1.2,6.0,13.0,1.2,5.2,11.0,1.2,5.0,11.0,1.2,5.0,11.0,1.15,6.0,17.0,43,1.26,1.19,7.0,5.74,17.0,13.52,37,1.82,1.72,2.23,1.99,24,-1.5,1.91,1.85,2.07,2.0
0,0,0,0,1.22,5.5,13.0,1.2,5.5,12.0,1.25,5.0,13.0,1.2,5.2,11.0,1.25,4.5,10.0,1.25,4.5,10.0,1.22,5.5,12.0,43,1.27,1.23,6.0,5.26,16.2,12.24,37,1.75,1.68,2.25,2.07,24,-1.75,2.06,2.01,1.92,1.87
1,3,1,3,1.8,3.4,4.33,1.8,3.2,4.3,1.85,3.4,4.25,1.8,3.2,4.0,1.8,3.2,4.0,1.8,3.2,4.0,1.73,3.4,4.5,42,1.91,1.82,3.45,3.3,4.9,4.34,37,2.2,2.04,1.8,1.7,24,-0.5,1.92,1.88,2.05,1.99
2,2,1,0,2.3,3.25,3.0,2.2,3.2,3.0,2.4,3.25,2.8,2.2,3.1,3.0,2.2,3.25,2.75,2.2,3.25,2.75,2.25,3.25,3.0,41,2.58,2.36,3.35,3.21,3.1,2.86,37,2.35,2.14,1.75,1.63,20,-0.25,2.1,2.06,1.89,1.83
2,1,2,1,2.2,3.25,3.2,2.1,3.2,3.2,2.25,3.2,3.1,2.1,3.1,3.2,2.1,3.2,3.0,2.1,3.2,3.0,2.25,3.25,3.0,42,2.35,2.24,3.35,3.22,3.35,3.04,38,2.2,2.07,1.8,1.67,21,-0.25,2.01,1.97,1.98,1.9
1,0,1,0,1.61,3.6,5.5,1.6,3.5,5.25,1.65,3.5,5.25,1.6,3.5,5.0,1.53,3.5,5.5,1.53,3.5,5.5,1.55,3.6,6.0,42,1.7,1.62,3.75,3.5,6.5,5.42,38,2.2,2.02,1.8,1.72,22,-0.75,1.82,1.8,2.18,2.09
1,1,0,1,5.5,3.6,1.61,5.5,3.4,1.6,5.75,3.6,1.6,4.3,3.4,1.7,6.0,3.4,1.5,6.0,3.4,1.5,5.5,3.5,1.6,42,6.0,5.57,3.75,3.51,1.72,1.61,38,2.05,1.87,1.95,1.85,22,0.75,2.09,2.03,1.9,1.86
1,2,1,0,6.5,3.75,1.53,6.0,3.75,1.5,6.25,3.6,1.55,4.8,3.6,1.6,5.5,3.5,1.53,5.5,3.5,1.53,6.5,3.6,1.53,41,7.0,6.17,3.85,3.61,1.61,1.55,37,2.11,1.94,1.85,1.79,22,1.0,1.83,1.78,2.15,2.08
1,0,0,0,2.3,3.25,3.0,2.3,3.15,2.9,2.3,3.2,3.0,2.3,3.1,2.8,2.37,3.2,2.6,2.37,3.2,2.6,2.35,3.2,2.9,42,2.45,2.33,3.3,3.2,3.3,2.91,38,2.2,2.09,1.75,1.65,22,-0.25,2.06,2.02,1.9,1.86
0,1,0,0,2.37,3.25,2.87,2.3,3.2,2.85,2.35,3.2,2.9,2.4,3.1,2.7,2.38,3.0,2.75,2.38,3.0,2.75,2.3,3.25,2.9,48,2.55,2.38,3.33,3.21,3.1,2.85,43,2.21,2.07,1.8,1.69,29,0.0,1.75,1.7,2.29,2.08
