FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
2,3,0,2,3.25,3.0,2.3,3.05,2.85,2.4,2.9,3.0,2.35,3.0,2.8,2.4,2.8,2.87,2.37,2.8,2.87,2.4,2.9,3.0,2.3,39,3.25,2.98,3.15,2.96,2.5,2.38,24,2.0,1.88,1.9,1.81,19,0.0,2.22,2.1,1.73,1.69
2,0,1,0,1.44,3.75,8.5,1.44,3.7,7.5,1.45,3.7,7.0,1.45,3.6,7.0,1.5,3.25,6.5,1.44,3.25,8.0,1.45,3.6,6.5,39,1.5,1.45,4.0,3.69,9.9,7.61,24,1.96,1.83,1.95,1.89,17,-1.0,1.84,1.79,2.11,2.05
3,1,3,0,1.83,3.0,5.0,1.8,3.0,4.75,1.8,3.0,4.7,1.85,3.0,4.2,1.8,3.0,4.33,1.9,3.0,3.75,1.85,2.9,4.35,40,1.91,1.83,3.1,3.02,5.6,4.62,24,2.25,2.12,1.67,1.62,17,-0.5,1.98,1.94,1.97,1.94
0,1,0,0,1.72,3.1,5.5,1.75,3.1,4.9,1.73,3.1,5.0,1.8,3.0,4.4,1.66,3.1,5.0,1.8,3.0,4.2,1.7,3.0,5.0,29,1.87,1.76,3.1,3.03,6.5,5.06,22,2.2,2.01,1.8,1.7,13,-0.5,1.88,1.81,2.15,2.06
1,2,1,0,1.72,3.1,5.5,1.7,3.2,5.05,1.73,3.1,5.0,1.75,3.1,4.5,1.72,2.87,5.0,1.72,3.1,4.5,1.75,2.9,5.0,40,1.85,1.74,3.25,3.08,6.0,5.05,24,2.1,1.97,1.83,1.73,17,-0.5,1.86,1.81,2.15,2.06
1,0,0,0,2.8,3.0,2.6,2.95,2.85,2.45,3.0,2.85,2.4,2.7,2.9,2.6,2.75,2.8,2.5,2.62,2.9,2.5,2.7,2.8,2.5,30,3.1,2.83,3.05,2.9,2.65,2.5,22,2.22,2.1,1.7,1.64,14,0.0,2.13,1.96,1.9,1.82
2,1,1,0,1.44,3.75,8.5,1.4,3.8,8.25,1.4,3.75,8.5,1.45,3.6,7.0,1.44,3.6,6.5,1.4,3.6,7.5,1.35,3.75,8.5,40,1.5,1.42,4.0,3.75,9.0,7.99,24,1.87,1.78,2.07,1.94,18,-1.0,1.85,1.78,2.16,2.06
4,3,3,1,1.44,3.75,8.5,1.4,3.7,8.75,1.45,3.6,7.5,1.5,3.5,6.3,1.44,3.6,6.5,1.5,3.4,6.0,1.5,3.5,6.0,40,1.5,1.45,4.0,3.65,9.25,7.52,22,2.08,1.94,1.9,1.79,17,-1.0,1.95,1.89,2.0,1.95
1,2,1,1,1.57,3.4,7.0,1.55,3.3,6.7,1.55,3.3,6.5,1.6,3.4,5.2,1.61,3.0,6.0,1.6,3.0,6.0,1.55,3.1,6.0,40,1.67,1.58,3.5,3.32,7.1,6.1,23,2.16,2.01,1.8,1.73,16,-1.0,2.21,2.14,1.74,1.72
1,1,0,0,2.0,3.2,3.75,1.85,3.1,4.3,1.9,3.1,4.0,2.0,2.9,3.7,1.9,3.0,3.75,1.95,3.0,3.6,1.9,3.1,3.75,40,2.05,1.93,3.25,3.1,4.65,3.94,23,2.15,2.04,1.75,1.68,18,-0.5,2.1,2.02,1.92,1.85
1,1,0,0,1.28,4.75,11.0,1.25,5.0,10.0,1.27,4.75,10.0,1.3,4.4,8.5,1.25,4.5,10.0,1.25,4.5,10.0,1.25,4.5,9.5,42,1.31,1.26,5.5,4.77,14.0,10.53,27,1.75,1.67,2.1,2.01,15,-1.5,2.0,1.96,1.91,1.89
2,1,0,0,2.25,3.1,3.2,2.3,3.15,2.9,2.3,3.05,3.0,2.3,3.1,2.8,2.1,3.0,3.2,2.3,3.0,2.8,2.25,2.9,3.0,42,2.4,2.26,3.2,3.01,3.55,3.1,27,2.1,1.96,1.8,1.72,17,-0.25,2.05,2.01,1.98,1.86
1,1,0,0,2.25,3.0,3.3,2.25,2.85,3.3,2.2,3.0,3.2,2.2,2.9,3.2,2.1,3.0,3.2,2.1,3.0,3.2,2.2,3.0,3.0,42,2.4,2.23,3.1,2.96,3.5,3.22,27,2.25,2.08,1.7,1.63,17,-0.25,2.0,1.96,2.0,1.91
0,0,0,0,2.25,3.0,3.3,2.33,2.85,3.15,2.3,2.9,3.1,2.2,2.8,3.3,2.2,3.0,3.0,2.25,2.87,3.0,2.25,2.9,3.0,42,2.4,2.26,3.1,2.93,3.6,3.19,27,2.15,2.02,1.8,1.67,17,0.0,1.75,1.62,2.4,2.18
1,1,0,1,2.2,3.0,3.4,2.15,2.95,3.35,2.15,3.0,3.3,2.2,2.9,3.2,2.1,3.0,3.2,2.2,2.87,3.1,2.1,3.0,3.2,42,2.4,2.19,3.1,2.98,3.55,3.27,27,2.1,1.99,1.8,1.69,17,-0.25,1.98,1.91,2.05,1.96
1,2,0,2,2.0,3.1,3.8,2.15,3.0,3.35,2.1,3.0,3.4,2.1,2.9,3.4,2.0,3.0,3.4,2.0,3.0,3.4,2.0,3.0,3.4,41,2.2,2.07,3.2,3.01,3.9,3.53,28,1.87,1.8,2.01,1.89,17,-0.25,1.8,1.78,2.14,2.09
1,0,0,0,3.25,3.0,2.3,3.25,2.9,2.25,3.0,3.0,2.3,3.0,2.9,2.3,2.8,2.88,2.38,2.9,2.9,2.3,2.8,3.0,2.3,42,3.5,3.1,3.05,2.96,2.45,2.29,28,2.15,1.99,1.85,1.72,17,0.25,1.93,1.9,2.0,1.97
0,2,0,1,6.0,3.8,1.53,6.5,3.35,1.55,6.0,3.5,1.55,5.0,3.5,1.6,5.5,3.25,1.57,6.0,3.4,1.5,5.5,3.3,1.55,42,7.0,6.19,3.8,3.51,1.6,1.54,28,1.99,1.88,1.92,1.82,15,1.0,2.05,1.94,2.0,1.91
1,3,0,0,4.0,3.25,1.9,4.2,3.2,1.83,4.0,3.2,1.85,3.8,3.1,1.9,3.75,3.0,1.91,3.75,3.0,1.9,4.0,3.2,1.8,41,4.65,3.98,3.37,3.2,1.95,1.87,28,2.03,1.92,1.86,1.78,16,0.5,2.05,2.01,1.9,1.86
2,0,1,0,2.0,3.1,4.0,2.0,3.1,3.65,2.05,3.05,3.5,2.1,3.0,3.3,2.0,3.0,3.4,1.9,3.0,3.75,2.0,2.9,3.6,42,2.17,2.02,3.25,3.05,4.0,3.64,27,2.25,2.1,1.7,1.62,17,0.0,1.55,1.47,2.55,2.46
0,0,0,0,2.0,3.0,4.0,1.9,2.95,4.3,1.95,3.0,4.0,2.0,2.9,3.7,1.9,3.0,3.75,2.0,3.0,3.4,1.95,2.9,3.75,39,2.1,1.99,3.1,2.98,4.6,3.88,26,2.15,2.02,1.75,1.68,16,-0.5,2.05,2.0,1.9,1.87
2,2,1,1,2.25,2.87,3.5,2.2,2.8,3.5,2.2,2.9,3.3,2.2,3.0,3.1,2.2,2.8,3.2,2.25,3.0,2.87,2.2,2.9,3.1,39,2.3,2.21,3.05,2.91,3.85,3.36,26,2.2,2.04,1.75,1.67,15,-0.25,1.95,1.92,2.0,1.94
0,1,0,0,2.5,2.87,3.0,2.45,2.9,2.9,2.4,2.95,2.9,2.3,3.0,2.9,2.25,3.0,2.87,2.37,3.0,2.7,2.3,2.9,2.9,39,2.55,2.42,3.0,2.92,3.15,2.93,26,2.1,1.93,1.86,1.76,16,0.0,1.77,1.72,2.1,2.03
1,0,1,0,1.5,3.75,7.0,1.46,3.6,7.5,1.5,3.4,7.0,1.5,3.6,6.0,1.53,3.25,6.0,1.53,3.5,5.5,1.5,3.4,6.0,39,1.55,1.5,4.0,3.59,8.0,6.66,27,1.93,1.81,1.96,1.9,15,-1.0,1.85,1.81,2.15,2.01
2,0,1,0,2.1,3.0,3.75,1.95,2.9,4.2,2.0,3.0,3.75,2.0,3.0,3.6,1.8,3.0,4.33,1.9,3.0,3.75,1.85,3.0,4.0,39,2.15,2.01,3.15,3.0,4.4,3.79,26,2.1,2.04,1.72,1.68,15,-0.5,2.17,2.13,1.78,1.75
1,0,0,0,1.16,6.0,19.0,1.13,6.15,19.0,1.15,6.0,15.0,1.17,5.4,13.0,1.14,6.0,12.0,1.14,5.5,15.0,1.14,5.5,13.0,38,1.18,1.15,7.38,6.08,26.1,16.29,26,1.7,1.62,2.3,2.12,13,-1.75,1.92,1.81,2.15,2.06
5,3,1,1,1.57,3.4,7.0,1.55,3.35,6.5,1.55,3.3,6.5,1.55,3.3,6.0,1.53,3.25,6.0,1.4,3.6,7.5,1.53,3.5,5.5,39,1.6,1.54,3.7,3.45,7.56,6.38,27,1.9,1.82,1.99,1.88,15,-1.0,2.1,2.04,1.85,1.79
0,1,0,1,2.6,2.87,2.87,2.5,2.9,2.85,2.55,2.95,2.7,2.6,3.0,2.6,2.37,2.8,2.87,2.5,2.9,2.62,2.5,2.9,2.65,39,2.65,2.55,3.05,2.92,2.95,2.76,27,2.0,1.89,1.9,1.81,16,0.0,1.9,1.81,2.06,1.99
3,3,1,3,2.1,3.0,3.75,2.15,2.95,3.4,2.05,3.0,3.6,2.0,3.0,3.6,2.0,3.0,3.5,2.05,3.0,3.3,2.0,3.0,3.4,39,2.17,2.06,3.2,3.01,3.95,3.59,26,2.15,2.01,1.8,1.7,16,-0.25,1.89,1.84,2.13,2.02
1,2,1,2,2.0,3.0,4.0,1.85,3.0,4.5,1.91,3.05,4.0,2.0,2.9,3.7,1.9,3.0,3.75,1.9,3.1,3.6,1.9,2.9,4.0,39,2.0,1.94,3.1,3.0,4.5,4.03,26,2.2,2.04,1.71,1.67,15,-0.5,2.05,1.98,1.95,1.89
2,2,0,1,2.3,2.87,3.4,2.25,2.8,3.4,2.15,2.95,3.3,2.2,2.9,3.2,2.25,2.75,3.2,2.25,2.87,3.0,2.25,2.8,3.1,38,2.4,2.25,3.05,2.86,3.65,3.32,24,2.2,2.05,1.7,1.65,15,0.0,1.65,1.58,2.55,2.25
