FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,0,0,0,1.53,3.5,5.75,1.6,3.55,4.85,1.6,3.5,4.75,1.6,3.4,4.6,1.57,3.75,4.5,1.57,3.75,4.5,1.5,3.5,6.0,15,1.6,1.58,3.65,3.55,6.0,5.2,11,1.65,1.6,2.25,2.18,6,-1.0,2.08,2.04,1.82,1.81
4,0,2,0,1.2,5.5,11.0,1.25,4.75,9.75,1.25,4.75,9.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0,1.17,5.5,12.0,17,1.25,1.19,6.1,5.54,13.5,11.16,12,1.41,1.37,2.93,2.77,4,-2.0,1.97,1.94,1.95,1.93
0,2,0,1,4.5,3.5,1.65,3.8,3.4,1.8,4.0,3.35,1.75,3.5,3.2,1.85,3.75,3.25,1.8,3.75,3.25,1.8,4.5,3.25,1.7,16,4.75,4.16,3.6,3.42,1.85,1.74,12,1.66,1.58,2.35,2.23,7,0.75,1.9,1.84,2.05,2.03
0,3,0,1,2.3,3.2,2.7,2.4,3.3,2.55,2.3,3.25,2.6,2.2,3.2,2.8,2.37,3.25,2.5,2.37,3.25,2.5,2.35,3.2,2.6,16,2.4,2.32,3.4,3.28,2.88,2.67,12,1.8,1.69,2.1,2.05,5,0.0,1.76,1.72,2.07,2.04
1,1,1,0,2.3,3.2,2.7,2.4,3.3,2.55,2.4,3.1,2.6,2.4,3.2,2.4,2.37,3.2,2.6,2.37,3.2,2.6,2.35,3.2,2.6,16,2.45,2.39,3.35,3.24,2.75,2.6,12,2.16,1.91,1.95,1.81,5,0.0,1.83,1.76,2.11,2.06
1,8,0,2,5.0,3.6,1.57,5.95,3.65,1.5,5.25,3.5,1.55,4.8,3.5,1.55,5.5,3.6,1.5,5.5,3.6,1.5,6.0,3.5,1.5,15,6.5,6.01,4.1,3.75,1.53,1.48,12,1.52,1.48,2.65,2.46,7,1.5,1.65,1.5,2.24,2.18
0,2,0,0,7.0,4.0,1.4,6.0,3.6,1.5,5.25,3.5,1.55,4.6,3.4,1.6,5.5,3.6,1.5,5.5,3.6,1.5,7.0,3.75,1.4,16,7.0,6.0,4.25,3.73,1.55,1.49,12,1.65,1.6,2.3,2.19,7,1.0,2.2,2.16,1.78,1.77
1,2,1,0,2.37,3.2,2.6,2.1,3.3,3.0,2.2,3.2,2.8,2.2,3.2,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2.35,3.2,2.6,15,2.45,2.31,3.3,3.23,2.9,2.73,12,1.7,1.61,2.32,2.17,7,0.0,1.85,1.79,2.07,2.0
0,3,0,1,3.1,3.3,2.0,2.85,3.3,2.2,2.9,3.2,2.15,2.9,3.2,2.1,3.0,3.2,2.1,3.0,3.2,2.1,3.0,3.25,2.1,16,3.1,2.94,3.4,3.28,2.25,2.15,12,1.63,1.58,2.3,2.22,7,0.25,1.96,1.92,1.96,1.95
2,1,1,0,1.61,3.75,5.25,1.53,3.65,5.4,1.7,3.25,4.6,1.5,3.7,5.0,1.57,3.5,5.0,1.57,3.5,5.0,1.6,3.5,4.7,20,1.65,1.58,3.75,3.57,5.75,5.19,15,1.8,1.7,2.12,2.01,8,-0.5,1.65,1.64,2.33,2.1
5,0,2,0,1.2,5.5,10.0,1.2,5.25,11.5,1.22,5.2,10.0,1.22,4.8,9.5,1.22,5.0,10.0,1.22,5.0,10.0,1.2,5.5,10.0,21,1.25,1.21,6.0,5.37,12.5,10.72,15,1.55,1.5,2.65,2.36,7,0.0,1.04,1.04,10.0,9.0
1,0,1,0,4.75,4.0,1.61,4.55,3.5,1.65,4.25,3.5,1.7,4.2,3.2,1.7,4.5,3.3,1.66,4.5,3.3,1.66,4.35,3.5,1.65,21,5.0,4.59,3.75,3.51,1.71,1.64,15,1.57,1.55,2.35,2.2,8,1.0,1.73,1.73,2.23,2.17
3,1,1,1,2.0,3.3,3.2,2.25,3.2,2.8,2.25,3.25,2.8,2.2,3.1,2.8,2.2,3.25,2.75,2.2,3.25,2.75,2.25,3.3,2.7,20,2.25,2.18,3.4,3.24,3.15,2.92,15,1.75,1.68,2.24,2.02,8,-0.5,2.25,2.24,1.67,1.56
2,2,2,1,1.95,3.4,3.3,2.1,3.2,3.1,2.1,3.25,3.0,2.0,3.2,3.1,2.1,3.2,3.0,2.1,3.2,3.0,2.0,3.3,3.2,20,2.2,2.03,3.5,3.29,3.6,3.19,15,1.75,1.69,2.11,2.0,8,-0.5,2.14,2.1,1.82,1.68
4,1,2,1,1.3,4.5,8.0,1.4,4.0,6.65,1.36,4.25,7.0,1.37,3.9,7.0,1.33,4.0,8.0,1.33,4.0,8.0,1.3,4.35,8.5,21,1.4,1.35,4.5,4.28,8.15,7.46,15,1.55,1.46,2.65,2.46,7,-1.5,2.1,1.95,1.8,1.65
5,0,1,0,1.28,4.5,9.5,1.3,4.5,8.5,1.3,4.5,8.0,1.25,4.5,9.0,1.28,4.5,8.0,1.28,4.5,8.0,1.35,4.35,6.5,21,1.33,1.31,5.0,4.49,9.0,8.12,15,1.5,1.44,2.75,2.52,7,-1.5,1.82,1.78,2.11,1.88
0,2,0,0,1.25,4.75,10.0,1.35,4.4,6.95,1.36,4.25,7.0,1.35,4.0,7.0,1.36,4.0,7.0,1.36,4.0,7.0,1.36,4.0,7.0,20,1.38,1.33,4.75,4.33,9.0,7.75,15,1.57,1.52,2.65,2.31,7,-1.5,1.9,1.88,2.04,1.8
2,2,1,1,1.5,3.8,6.0,1.6,3.5,5.0,1.6,3.6,4.75,1.6,3.4,4.6,1.61,3.5,4.5,1.61,3.5,4.5,1.55,3.5,5.0,20,1.62,1.58,3.75,3.58,5.55,5.07,15,1.65,1.61,2.2,2.11,7,-1.5,2.4,2.4,1.33,1.33
3,0,2,0,1.16,6.0,12.0,1.16,6.0,12.0,1.2,5.5,10.0,1.2,5.0,10.0,1.16,5.0,13.0,1.16,5.0,13.0,1.1,7.5,13.0,27,1.2,1.15,7.26,6.21,19.0,14.05,23,1.4,1.35,3.39,2.88,12,-2.75,2.04,2.01,1.92,1.89
2,0,2,0,1.14,7.0,16.0,1.2,5.35,10.75,1.25,5.0,9.0,1.22,4.8,9.5,1.2,5.0,11.0,1.2,5.0,11.0,1.2,5.0,12.0,25,1.25,1.19,7.0,5.66,18.67,12.39,21,1.97,1.9,1.99,1.93,12,-2.0,1.88,1.84,2.1,2.04
3,3,1,1,1.5,3.75,5.5,1.55,3.65,5.15,1.55,3.6,5.25,1.5,3.7,5.0,1.57,3.5,5.0,1.57,3.5,5.0,1.45,3.75,6.5,25,1.57,1.54,3.84,3.63,6.5,5.71,21,1.67,1.62,2.25,2.14,15,-1.0,2.05,2.0,1.9,1.86
4,1,0,0,1.83,3.4,3.6,1.85,3.3,3.75,1.85,3.25,3.75,1.9,3.2,3.4,1.8,3.3,3.75,1.8,3.3,3.75,1.85,3.5,3.5,25,1.96,1.87,3.48,3.32,4.0,3.77,21,1.76,1.67,2.16,2.07,15,-0.5,2.0,1.97,1.96,1.92
0,0,0,0,3.6,3.6,1.9,3.65,3.4,1.85,3.5,3.2,1.95,3.4,3.2,1.9,3.5,3.2,1.9,3.5,3.2,1.9,3.5,3.25,1.9,25,3.95,3.57,3.6,3.33,2.0,1.92,20,1.74,1.65,2.21,2.11,14,0.5,1.93,1.89,2.03,1.98
2,2,1,1,1.28,5.0,10.0,1.25,4.85,9.5,1.3,4.5,8.0,1.3,4.2,8.0,1.28,4.5,8.0,1.28,4.5,8.0,1.25,4.5,10.0,26,1.32,1.28,5.5,4.85,10.37,8.96,21,1.45,1.43,2.78,2.58,14,-1.5,1.83,1.79,2.14,2.0
2,2,1,0,1.53,3.6,5.75,1.6,3.55,4.85,1.6,3.5,5.0,1.55,3.5,4.8,1.57,3.5,5.0,1.57,3.5,5.0,1.57,3.5,5.0,24,1.65,1.59,3.75,3.56,7.0,5.3,21,1.62,1.58,2.35,2.21,15,-0.75,1.8,1.77,2.19,2.12
