FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
2,1,1,1,1.72,3.5,4.75,1.75,3.45,4.2,1.93,3.5,5.0,1.7,3.4,4.3,1.61,3.25,5.0,,,,1.65,3.25,5.0,43,1.91,1.75,3.5,3.34,5.09,4.56,33,2.0,1.88,1.95,1.85,23,-0.5,1.92,1.87,2.05,1.98
4,1,0,1,1.4,4.0,9.0,1.4,4.0,7.25,1.45,3.75,8.0,1.4,3.7,7.5,1.4,3.75,7.0,,,,1.45,3.4,7.5,44,1.48,1.42,4.2,3.86,9.55,7.82,33,2.0,1.87,1.95,1.85,23,-1.0,1.9,1.86,2.08,1.99
0,0,0,0,2.05,3.2,3.6,1.9,3.2,3.8,2.1,3.1,3.4,2.1,2.9,3.4,2.1,3.0,3.2,,,,2.0,3.2,3.4,44,2.15,2.06,3.35,3.18,3.85,3.45,32,2.3,2.16,1.7,1.61,23,-0.25,1.85,1.81,2.12,2.05
0,1,0,0,1.83,3.25,4.5,1.7,3.3,4.8,1.9,3.1,4.25,1.7,3.3,4.5,1.72,3.2,4.33,,,,1.84,3.1,4.0,43,2.07,1.82,3.45,3.24,4.7,4.33,33,2.15,2.01,1.82,1.72,23,-0.5,2.11,2.0,1.92,1.87
0,3,0,2,1.72,3.4,5.0,1.55,3.65,5.5,1.7,3.4,5.0,1.6,3.5,5.0,1.61,3.25,5.0,,,,1.65,3.25,5.0,44,1.81,1.66,3.65,3.42,5.75,5.14,32,2.23,2.06,1.75,1.68,22,-0.5,1.83,1.77,2.14,2.08
3,0,1,0,1.9,3.1,4.33,1.8,3.2,4.3,1.85,3.2,4.25,1.85,3.1,4.0,1.83,3.2,3.75,,,,1.8,3.2,4.0,44,1.94,1.85,3.45,3.23,4.8,4.16,32,2.28,2.12,1.75,1.63,22,-0.5,1.95,1.92,2.01,1.95
2,1,1,1,3.4,3.2,2.15,3.45,3.2,2.0,3.4,3.2,2.1,3.1,3.0,2.2,3.0,3.0,2.2,,,,3.2,3.1,2.1,42,3.55,3.24,3.3,3.17,2.27,2.15,30,2.35,2.16,1.7,1.61,22,0.25,2.03,1.97,1.94,1.89
1,1,1,1,2.2,3.2,3.25,2.2,3.2,3.0,2.2,3.1,3.2,2.2,3.0,3.1,2.25,3.1,2.8,,,,2.25,3.1,2.9,44,2.3,2.2,3.3,3.15,3.5,3.15,32,2.35,2.21,1.7,1.58,23,-0.25,2.01,1.95,1.97,1.92
0,0,0,0,7.5,4.0,1.44,6.5,3.85,1.45,7.0,3.6,1.5,6.0,3.6,1.5,6.0,3.5,1.5,,,,7.5,3.4,1.45,43,7.95,6.77,4.26,3.75,1.55,1.48,32,2.0,1.86,1.95,1.86,23,1.0,2.17,2.05,1.85,1.78
0,3,0,1,1.72,3.4,5.0,1.65,3.4,5.0,1.75,3.3,4.75,1.75,3.2,4.3,1.72,3.2,4.33,,,,1.7,3.3,4.5,44,1.8,1.73,3.6,3.32,5.15,4.74,32,2.2,2.05,1.75,1.69,22,-0.75,2.15,2.09,1.85,1.78
0,0,0,0,2.2,3.2,3.25,2.0,3.25,3.4,2.1,3.2,3.4,2.1,3.1,3.2,2.25,3.2,2.75,,,,2.0,3.2,3.3,45,2.48,2.2,3.3,3.17,3.4,3.15,36,2.27,2.13,1.75,1.63,24,-0.25,2.11,2.03,1.88,1.84
1,1,0,0,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.3,4.75,1.75,3.2,4.3,1.8,3.2,4.0,,,,1.7,3.25,4.5,46,1.8,1.73,3.65,3.34,5.45,4.74,38,2.22,2.07,1.77,1.68,24,-0.75,2.05,2.01,1.91,1.86
1,2,0,0,3.2,3.1,2.25,3.45,3.2,2.0,3.4,3.2,2.1,3.2,3.1,2.1,3.0,3.2,2.1,,,,3.0,3.1,2.2,44,3.4,3.16,3.3,3.19,2.35,2.18,34,2.25,2.07,1.7,1.67,24,0.25,1.9,1.84,2.09,2.03
1,1,0,1,1.72,3.4,5.0,1.65,3.5,4.75,1.75,3.3,4.75,1.65,3.4,4.7,1.66,3.2,5.0,,,,1.6,3.3,5.0,44,1.85,1.71,3.5,3.35,5.55,4.85,34,2.14,2.0,1.83,1.75,23,-0.5,1.9,1.81,2.1,2.01
3,1,2,0,1.16,6.5,15.0,1.2,6.0,10.0,1.22,5.75,11.0,1.22,4.8,11.0,1.22,5.0,10.0,,,,1.22,5.0,10.0,46,1.26,1.21,6.75,5.6,16.0,12.11,38,1.72,1.65,2.35,2.11,22,-1.75,1.95,1.91,2.02,1.96
2,2,0,2,2.05,3.25,3.6,2.2,3.2,3.0,2.15,3.25,3.25,2.1,3.0,3.3,2.0,3.2,3.2,,,,2.0,3.2,3.3,46,2.15,2.07,3.35,3.21,3.9,3.37,37,2.3,2.15,1.7,1.63,24,-0.25,1.82,1.79,2.19,2.1
