FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
1,0,0,0,2.35,3.15,2.65,2.4,2.9,2.4,2.4,3.25,2.5,2.4,3.1,2.6,2.5,3.0,2.6,2.37,3.25,2.5
2,0,1,0,1.33,4.1,7.4,1.4,3.6,5.5,1.33,4.33,7.0,1.33,4.2,7.5,,,,1.36,3.75,8.0
3,0,0,0,2.2,3.1,2.85,2.1,2.9,2.9,2.2,3.25,2.75,2.1,3.2,3.0,2.25,3.0,3.0,2.1,3.2,3.0
2,1,1,0,1.47,3.8,5.8,1.55,3.3,4.5,1.5,3.4,6.0,1.5,3.4,6.0,1.57,3.6,5.0,1.5,3.6,5.5
1,0,1,0,3.55,3.3,1.9,3.0,2.9,2.0,3.5,3.2,1.91,3.4,3.3,1.91,3.5,3.25,1.91,3.7,3.3,1.8
0,4,0,0,2.2,3.2,2.85,2.1,2.9,2.9,2.0,3.4,3.0,2.1,3.2,3.0,2.25,3.0,3.0,2.0,3.3,3.1
0,0,0,0,1.95,3.2,3.5,1.9,2.9,3.2,1.91,3.25,3.4,2.0,3.0,3.4,1.91,3.25,3.5,2.1,3.2,3.0
0,0,0,0,3.7,3.2,1.85,3.5,3.0,1.8,3.5,3.5,1.8,3.6,3.3,1.8,3.25,3.5,1.91,3.75,3.25,1.8
3,0,3,0,,,,1.7,3.1,3.8,1.5,3.4,6.0,1.57,3.5,5.0,1.67,3.4,4.5,1.61,3.5,4.5
2,0,0,0,,,,1.9,2.9,3.2,1.8,3.25,3.75,1.67,3.3,4.5,1.8,3.4,3.75,1.66,3.4,4.33
2,0,1,0,,,,1.8,3.0,3.5,1.91,3.25,3.4,1.67,3.4,4.5,1.73,3.25,4.33,,,
0,3,0,1,,,,2.9,2.9,2.1,2.8,3.2,2.2,2.9,3.3,2.1,3.25,3.0,2.1,2.8,3.2,2.2
