FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
2,2,2,1,,,,,,,,,,,,,,,,,,,1.72,3.2,4.33,1.75,1.98,,
1,1,0,0,3.0,3.2,2.1,3.29,3.21,2.2,3.1,3.0,2.1,3.0,3.4,2.0,2.88,3.2,2.2,3.0,3.1,2.2,3.3,3.1,2.0,1.7,1.96,,
0,0,0,0,4.0,3.5,1.7269999999999999,4.2,3.5,1.86,4.0,3.2,1.75,3.5,3.4,1.8330000000000002,3.6,3.2,1.91,4.333,3.25,1.7269999999999999,3.8,3.2,1.83,1.82,1.94,,
1,3,0,2,1.909,3.25,3.4,1.95,3.23,3.7,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.2,3.6,1.909,3.25,3.6,1.83,3.0,4.0,1.72,1.92,,
1,0,0,0,1.571,3.5,5.0,1.68,3.46,5.37,1.6,3.4,4.6,1.571,3.5,5.0,1.53,3.5,5.5,1.571,3.5,5.5,1.57,3.25,5.5,1.65,1.95,,
1,1,1,0,2.1,3.2,3.0,2.05,3.21,3.21,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.0,2.05,3.2,3.2,2.1,3.0,3.2,1.8,1.91,,
3,0,1,0,2.625,3.2,2.3,2.63,3.16,2.6,2.5,3.0,2.5,2.6,3.2,2.375,,,,2.6,3.1,2.5,2.5,3.1,2.5,1.82,1.95,,
2,1,0,1,1.6669999999999998,3.4,4.333,1.92,3.3,3.8,1.8,3.1,3.8,1.7269999999999999,3.4,4.0,1.73,3.25,4.33,1.7269999999999999,3.3,4.5,1.66,3.3,4.5,1.7,2.1,,
0,2,0,1,1.7269999999999999,3.2,4.333,1.76,3.31,4.61,1.75,3.2,4.0,1.7269999999999999,3.4,4.0,1.66,3.4,4.5,1.7269999999999999,3.3,4.5,1.66,3.3,4.5,1.69,1.95,,
6,2,3,0,1.222,5.0,9.0,1.24,5.15,10.75,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.222,5.0,11.0,1.22,5.0,9.5,1.57,2.12,,
5,0,3,0,1.8330000000000002,3.2,3.75,1.9,3.3,3.85,1.9,3.1,3.5,1.8,3.2,4.0,1.8,3.2,4.0,1.909,3.2,3.75,1.8,3.3,3.75,1.67,1.97,,
1,3,1,2,2.1,3.2,3.0,1.95,3.3,3.15,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.2,3.2,2.0,3.1,3.3,1.67,1.97,,
2,0,1,0,1.8330000000000002,3.2,3.75,1.7,3.36,4.01,1.75,3.2,4.0,1.6669999999999998,3.25,4.5,1.73,3.25,4.33,1.8,3.25,4.2,1.72,3.25,4.2,1.77,1.87,,
1,1,0,1,1.615,3.5,4.5,1.5,3.4,5.25,1.55,3.5,4.8,1.571,3.5,5.0,1.53,3.5,5.5,1.615,3.5,5.0,1.57,3.5,5.0,1.67,1.98,,
1,3,1,0,2.25,3.2,2.75,2.3,3.15,2.87,2.1,3.0,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.1,2.875,2.1,3.0,3.2,1.77,1.87,,
1,1,1,0,2.1,3.0,3.2,2.16,3.18,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.2,3.3,2.1,3.1,3.2,2.1,3.0,3.2,1.77,1.87,,
2,1,1,1,2.1,3.0,3.2,2.1,3.2,3.31,2.2,3.0,2.9,1.909,3.25,3.4,2.0,3.2,3.3,2.1,3.2,3.25,2.1,3.0,3.2,1.6,2.07,,
1,0,0,0,1.8330000000000002,3.2,3.75,1.8,3.3,3.96,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.8,3.2,4.333,1.8,3.1,4.0,1.72,1.93,,
1,0,1,0,2.3,3.2,2.625,2.41,3.2,2.9,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.8,2.4,3.1,2.6,1.67,1.95,,
0,4,0,2,2.2,3.0,3.0,2.21,3.25,3.25,2.1,3.0,3.1,2.2,3.0,3.0,2.0,3.25,3.25,2.2,3.1,3.1,2.25,3.0,2.87,1.75,1.85,,
3,1,1,0,1.5,3.4,6.0,1.49,3.7,6.8,1.5,3.7,5.0,1.5,3.4,6.0,1.5,3.5,6.0,1.5,3.5,6.5,1.44,3.6,6.5,1.65,1.95,,
0,3,0,1,3.5,3.2,1.909,3.6,3.3,1.93,3.5,3.1,1.9,3.5,3.2,1.909,3.5,3.25,1.91,3.6,3.3,1.909,3.6,3.1,1.9,1.77,1.9,,
2,4,1,3,1.444,3.6,6.5,1.41,4.35,7.5,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.5,1.444,3.75,7.0,1.36,4.0,7.0,1.55,2.25,,
3,0,2,0,2.375,3.1,2.625,2.29,3.2,2.85,2.2,3.0,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.9,2.3,3.0,2.8,1.7,1.9,,
3,0,1,0,2.2,3.2,2.8,2.12,3.21,3.25,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.1,3.2,3.2,2.0,3.1,3.3,1.65,1.97,,
3,1,2,0,2.0,3.2,3.2,2.06,3.25,3.6,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.25,3.0,2.0,3.2,3.4,2.0,3.2,3.2,1.74,1.95,,
0,0,0,0,2.0,3.2,3.2,2.0,3.2,3.6,1.9,3.1,3.5,1.909,3.2,3.5,1.91,3.25,3.5,2.0,3.2,3.4,1.83,3.2,3.75,1.65,2.05,,
3,1,1,1,1.444,3.6,6.5,1.45,3.75,6.75,1.5,3.7,5.0,1.444,3.6,6.5,1.44,3.6,7.0,1.444,3.6,7.5,1.44,3.5,7.0,1.54,2.22,,
0,0,0,0,2.875,3.0,2.25,3.31,3.04,2.38,2.9,3.0,2.2,2.625,3.4,2.25,2.88,3.1,2.2,3.0,3.1,2.25,2.75,3.1,2.3,1.69,1.98,,
1,2,0,1,1.5,3.4,6.0,1.57,3.6,6.25,1.55,3.5,4.8,1.571,3.5,5.0,1.53,3.5,5.5,1.5330000000000001,3.5,6.0,1.57,3.3,5.5,1.63,2.1,,
4,1,1,0,1.615,3.25,5.0,1.64,3.4,5.4,1.55,3.5,4.8,1.5330000000000001,3.5,5.5,1.62,3.4,5.0,1.615,3.5,5.0,1.61,3.3,5.0,1.67,1.97,,
1,3,1,1,1.7269999999999999,3.2,4.333,1.83,3.4,4.25,1.8,3.1,3.8,1.8,3.2,4.0,1.83,3.25,3.75,1.7269999999999999,3.25,4.5,1.83,3.0,4.0,1.68,2.0,,
1,3,0,2,2.625,3.1,2.375,2.7,3.1,2.45,2.7,3.0,2.3,2.5,3.25,2.4,2.7,3.1,2.38,2.7,3.1,2.4,2.6,3.1,2.4,1.7,1.96,,
1,1,0,0,1.571,3.25,5.5,1.61,3.5,5.25,1.5,3.7,5.0,1.571,3.5,5.0,1.62,3.4,5.0,1.5330000000000001,3.75,5.5,1.57,3.3,5.5,1.67,2.05,,
1,1,1,0,2.5,3.1,2.5,2.54,3.05,2.73,2.5,3.0,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.3,3.25,2.7,2.5,3.1,2.5,1.7,1.95,,
2,1,0,0,2.0,3.2,3.2,1.96,3.3,3.5,2.0,3.1,3.2,1.909,3.2,3.5,2.0,3.0,3.5,1.95,3.1,3.6,2.0,3.1,3.3,1.82,1.95,,
0,1,0,0,2.625,3.1,2.375,2.7,3.3,2.45,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.8,1.9,,
0,1,0,0,2.5,3.1,2.5,2.6,3.2,2.53,2.4,3.0,2.6,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2.05,,
1,1,0,0,1.909,3.0,3.75,1.9,3.33,3.9,1.85,3.1,3.6,1.8330000000000002,3.4,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3.0,3.75,1.85,1.8,,
