FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
1,0,0,0,1.9,3.25,3.5,2.0,3.25,3.4,2.1,3.3,3.35,2.2,3.0,2.9,1.909,3.25,3.4,2.0,3.2,3.3,2.0,3.3,3.1,1.65,2.05,1.7,2.1,1.5,2.4,0,1.96,1.88,-0.25,1.95,1.95,-0.25
1,2,1,1,1.57,3.4,5.5,1.55,3.7,5.4,1.6,3.65,5.5,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.61,3.5,4.5,1.65,2.05,1.75,2.05,2.15,1.65,-1,1.8,2.04,-0.75,1.85,2.05,-0.75
0,0,0,0,2.1,3.25,3.0,2.0,3.25,3.4,2.05,3.25,3.5,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.1,2.0,3.3,3.1,1.65,2.05,1.65,2.15,1.5,2.4,0,1.86,1.98,-0.25,1.9,2.0,-0.25
0,2,0,1,3.25,3.25,2.0,3.75,3.4,1.85,3.65,3.25,2.0,3.6,3.2,1.9,3.75,3.2,1.8330000000000002,3.3,3.2,2.0,3.1,3.3,2.0,1.65,2.05,1.8,2.0,2.05,1.7,0.25,1.94,1.9,0.5,1.9,2.0,0.5
2,2,2,0,1.83,3.25,3.75,1.7,3.5,4.4,1.85,3.3,4.25,1.75,3.2,4.0,1.8330000000000002,3.2,3.75,1.8,3.25,4.0,1.8,3.3,3.75,1.71,2.0,1.6,2.2,1.55,2.3,-0.25,1.88,1.96,-0.5,1.875,2.025,-0.5
1,3,0,1,1.72,3.25,4.33,1.75,3.4,4.2,1.9,3.3,4.0,1.85,3.1,3.6,1.8,3.25,3.75,1.85,3.25,3.75,1.8,3.3,3.75,1.71,2.0,1.75,2.05,1.65,2.15,-0.25,1.92,1.92,-0.5,1.9,2.0,-0.5
2,1,0,1,1.5,3.5,6.0,1.45,4.0,6.2,1.6,3.5,6.0,1.55,3.5,4.8,1.5330000000000001,3.4,5.5,1.5,3.6,6.0,1.44,3.75,6.0,1.6,2.15,1.55,2.25,2.3,1.55,-1.25,2.02,1.82,-1.0,2.0,1.9,-1.0
0,0,0,0,2.25,3.25,2.75,2.4,3.3,2.6,2.35,3.2,2.95,2.3,3.0,2.7,2.25,3.2,2.75,2.38,3.1,2.7,2.2,3.25,2.75,1.71,2.0,1.65,2.15,1.68,2.1,0,2.02,1.82,-0.25,2.025,1.875,-0.25
4,2,2,0,1.4,3.75,7.5,1.4,4.2,6.7,1.41,4.25,7.25,1.5,3.7,5.0,1.4,3.75,7.0,1.4,3.75,7.5,1.44,3.75,6.0,1.65,2.05,1.7,2.1,1.7,2.05,-1,1.96,1.88,-1.25,2.05,1.85,-1.25
1,1,0,1,1.4,4.0,9.0,1.3,4.7,8.2,1.43,4.0,7.75,1.4,3.9,6.0,1.36,3.75,8.0,1.4,4.0,7.5,1.36,4.0,7.0,1.55,2.25,1.45,2.4,1.7,2.05,-1,1.76,2.08,-1.25,1.75,2.15,-1.25
0,4,0,0,2.8,3.25,2.2,3.4,3.25,2.0,3.2,3.3,2.15,2.9,3.0,2.2,2.75,3.25,2.2,3.0,3.2,2.2,2.9,3.2,2.15,1.6,2.15,1.75,2.05,1.95,1.9,0.25,1.94,1.9,0.25,1.875,2.025,0.25
2,1,0,1,2.6,3.2,2.4,2.5,3.3,2.5,2.65,3.3,2.5,2.5,3.0,2.5,2.6,3.2,2.38,2.6,3.2,2.5,2.5,3.25,2.4,1.55,2.25,1.75,2.05,2.2,1.6,-0.25,1.98,1.86,0.0,2.025,1.875,0.0
2,3,2,3,2.5,3.2,2.5,2.5,3.3,2.5,2.45,3.3,2.7,2.3,3.0,2.7,2.4,3.25,2.5,2.6,3.2,2.5,2.4,3.1,2.6,1.79,1.9,1.9,1.9,2.3,1.55,-0.25,1.96,1.88,0.0,1.95,1.95,0.0
1,1,1,1,2.8,3.25,2.2,3.2,3.3,2.05,3.25,3.15,2.2,2.9,3.0,2.2,2.8,3.2,2.2,2.88,3.2,2.25,2.62,3.2,2.3,1.79,1.9,1.85,1.95,1.95,1.9,0.25,2.0,1.84,0.25,1.95,1.95,0.25
2,1,1,1,1.53,3.5,5.5,1.5,3.7,6.0,1.51,3.8,6.45,1.5,3.7,5.0,1.5,3.4,6.0,1.53,3.6,6.0,1.5,3.4,6.0,1.65,2.05,1.7,2.1,2.2,1.6,-1.25,1.8,2.04,-1.0,1.9,2.0,-1.0
2,2,1,0,2.37,3.2,2.62,2.5,3.3,2.5,2.45,3.2,2.8,2.2,3.0,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.3,3.1,2.75,1.6,2.15,1.8,2.0,2.2,1.6,-0.25,1.9,1.94,0.0,1.85,2.05,0.0
0,1,0,0,1.61,3.4,5.0,1.65,3.6,4.7,1.65,3.5,5.3,1.65,3.3,4.4,1.62,3.5,4.5,1.62,3.4,5.5,1.61,3.3,5.0,1.55,2.25,1.6,2.2,2.1,1.65,-1,1.96,1.88,-1.0,1.775,2.125,-0.75
