FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
3,0,1,0,1.3,5.0,9.5,1.35,4.2,8.0,1.36,4.25,9.0,1.35,4.0,7.5,1.33,4.0,8.0,1.33,5.0,8.0,1.33,4.0,8.0,1.29,4.5,9.5,1.35,4.0,8.0,66,1.4,1.31,5.0,4.37,10.35,8.59,36,1.63,1.52,2.45,2.26,18,-1.5,2.06,1.94,1.96,1.88
1,1,1,1,2.75,3.25,2.25,2.85,3.35,2.2,3.0,3.35,2.25,2.7,3.0,2.3,3.0,3.2,2.1,3.0,3.2,2.25,2.87,3.25,2.15,2.88,3.3,2.2,2.7,3.25,2.25,68,3.35,2.96,3.35,3.22,2.35,2.16,41,1.96,1.81,1.95,1.86,26,0.25,2.05,1.98,1.95,1.87
1,0,0,0,2.1,3.25,3.0,1.95,3.3,3.5,2.05,3.25,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.3,3.6,1.95,3.25,3.3,2.0,3.25,3.4,1.85,3.3,3.6,67,2.15,1.99,3.45,3.24,3.8,3.34,41,1.85,1.67,2.2,2.03,26,-0.25,1.9,1.84,2.09,2.01
3,0,2,0,1.57,3.4,5.5,1.55,3.7,5.35,1.6,3.65,5.5,1.55,3.5,4.8,1.53,3.4,5.5,1.5,4.0,5.5,1.57,3.5,5.0,1.53,3.75,5.5,1.55,3.5,5.0,66,1.65,1.51,4.1,3.65,7.2,5.71,41,1.75,1.59,2.45,2.17,25,-1.0,2.04,1.93,1.97,1.9
2,2,0,0,2.4,3.2,2.6,2.5,3.15,2.6,2.6,3.15,2.65,2.5,3.0,2.5,2.5,3.25,2.4,2.7,3.2,2.5,2.4,3.25,2.5,2.75,3.3,2.3,2.4,3.2,2.5,68,2.9,2.57,3.45,3.18,2.7,2.46,42,1.98,1.83,1.95,1.86,25,0.0,2.1,2.01,1.87,1.81
5,2,3,2,1.44,3.75,6.5,1.4,4.0,7.2,1.45,4.0,7.25,1.4,3.9,6.0,1.4,3.75,7.0,1.36,4.33,7.5,1.4,3.75,7.0,1.36,4.0,8.5,1.45,3.75,6.0,69,1.5,1.37,4.6,4.02,9.5,7.5,42,1.65,1.53,2.45,2.26,25,-1.25,1.92,1.85,2.07,1.99
2,2,1,0,2.37,3.2,2.62,2.5,3.35,2.5,2.45,3.25,2.75,2.4,3.0,2.6,2.37,3.2,2.6,2.4,3.2,2.7,2.3,3.2,2.62,2.38,3.25,2.62,2.4,3.2,2.5,67,2.6,2.41,3.5,3.21,2.85,2.62,42,1.77,1.66,2.2,2.05,26,0.0,1.84,1.79,2.15,2.04
1,4,1,1,2.75,3.25,2.25,2.7,3.35,2.3,2.75,3.35,2.4,2.7,3.0,2.3,2.75,3.2,2.25,2.75,3.2,2.38,2.62,3.2,2.3,2.75,3.3,2.3,2.6,3.25,2.3,57,3.0,2.75,3.4,3.22,2.4,2.29,34,1.8,1.63,2.2,2.07,14,0.0,2.2,2.06,1.8,1.74
2,1,0,1,1.5,3.5,6.0,1.5,3.8,5.8,1.57,3.6,6.0,1.5,3.7,5.0,1.5,3.4,6.0,1.5,4.0,6.0,1.44,3.75,6.0,1.44,3.75,7.0,1.55,3.5,5.0,58,1.6,1.5,4.0,3.65,7.2,5.85,35,1.7,1.58,2.4,2.16,14,-1.0,1.9,1.83,2.1,1.99
0,2,0,0,3.0,3.25,2.1,3.15,3.4,2.05,3.0,3.35,2.25,2.9,3.0,2.2,2.8,3.2,2.2,3.0,3.25,2.2,2.9,3.2,2.15,3.0,3.4,2.1,2.7,3.25,2.25,52,3.6,3.09,3.5,3.29,2.25,2.09,33,1.7,1.61,2.3,2.14,17,0.5,1.79,1.73,2.16,2.1
