FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
4,0,2,0,2.0,3.0,3.2,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.1
4,2,1,0,1.47,3.4,5.2,1.6,3.2,4.2,1.5,3.4,6.0,1.5,3.6,6.0,1.44,3.6,6.5
1,3,1,1,2.15,3.0,3.0,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.62
2,2,1,2,2.0,3.1,3.2,1.8,3.0,3.5,2.2,3.25,2.75,2.05,3.2,3.2,2.0,3.2,3.2
2,0,2,0,1.65,3.3,4.3,1.55,3.3,4.5,1.55,3.5,5.0,1.57,3.6,5.0,1.61,3.5,4.5
0,0,0,0,2.15,3.1,2.9,2.3,2.9,2.5,2.35,3.2,2.6,2.25,3.25,2.75,2.4,3.25,2.5
1,0,0,0,1.25,4.1,7.2,1.25,4.3,8.0,1.35,4.0,8.0,1.36,4.0,8.0,1.33,4.0,8.0
1,0,0,0,2.85,3.25,2.1,2.9,2.9,2.1,4.3,3.2,1.7,3.3,3.1,2.05,3.75,3.0,1.9
3,1,2,1,1.45,3.6,7.0,1.5,3.4,4.7,1.45,3.6,6.5,1.5,3.5,6.5,1.44,3.6,6.5
2,0,1,0,1.38,3.5,7.0,1.45,3.5,5.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.0
2,0,1,0,2.0,3.2,3.0,2.1,2.9,2.9,2.1,3.2,3.0,2.2,3.0,3.1,2.1,3.0,3.2
2,0,1,0,4.8,3.3,1.61,3.8,3.2,1.65,4.5,3.5,1.6,5.25,3.75,1.5,5.0,3.5,1.57
1,1,1,1,7.0,3.8,1.35,4.7,3.4,1.5,6.0,3.75,1.45,7.0,3.75,1.4,7.0,3.8,1.4
1,1,0,1,2.15,3.05,3.1,2.1,2.9,2.9,2.25,3.4,2.65,2.05,3.25,3.0,2.2,3.2,2.8
3,0,0,0,1.71,3.4,4.0,1.6,3.2,4.2,1.8,3.25,3.75,2.0,3.1,3.2,1.9,3.0,3.7
