FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
0,0,0,0,1.7269999999999999,3.25,4.333,1.6,3.4,4.5,1.8,3.1,3.8,1.615,3.25,5.0,1.83,3.4,3.75,1.7269999999999999,3.2,5.0,1.66,3.3,4.5,1.82,1.82,,
2,3,2,1,2.8,3.25,2.2,2.96,3.15,2.25,2.9,3.0,2.2,2.8,3.2,2.2,2.75,3.25,2.25,3.0,3.25,2.2,2.75,3.1,2.3,1.87,1.77,,
2,2,1,0,2.25,3.25,2.75,2.39,3.11,2.81,2.3,3.0,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.1,2.8,2.3,3.1,2.75,1.92,1.72,,
4,1,3,1,1.7269999999999999,3.25,4.333,1.83,3.26,4.05,1.8,3.1,3.8,1.8330000000000002,3.2,3.75,1.91,3.25,3.5,1.8,3.2,4.333,1.72,3.2,4.33,1.82,1.82,,
3,0,2,0,1.6669999999999998,3.4,4.5,1.73,3.45,4.6,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.7269999999999999,3.4,4.5,1.66,3.3,4.5,1.72,1.92,,
1,0,0,0,1.2,5.0,12.0,1.24,5.2,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,13.0,1.2,5.5,13.0,1.2,5.0,11.0,1.52,2.22,,
0,0,0,0,2.25,3.25,2.75,2.36,3.27,2.79,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,3.0,2.62,3.1,2.37,1.97,1.67,,
2,0,2,0,1.222,5.0,10.0,1.2,4.8,13.2,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,10.0,1.25,5.0,11.0,1.22,5.0,9.5,1.57,2.13,,
0,1,0,0,3.0,3.25,2.1,3.01,3.26,2.15,2.9,3.0,2.2,3.0,3.2,2.1,2.88,3.25,2.2,3.4,3.1,2.1,3.2,3.0,2.1,1.87,1.77,,
4,0,0,0,1.571,3.4,5.5,1.66,3.55,4.75,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,6.0,1.6669999999999998,3.4,5.0,1.57,3.5,5.0,1.65,1.95,,
2,2,2,1,2.75,3.25,2.25,2.79,3.26,2.45,2.5,3.0,2.5,2.75,3.2,2.25,2.75,3.25,2.25,2.875,3.1,2.375,2.7,3.0,2.37,1.65,1.97,,
0,1,0,1,2.625,3.2,2.375,2.6,3.25,2.52,2.6,3.0,2.4,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.5,2.5,3.1,2.5,1.87,1.75,,
1,2,1,1,2.1,3.25,3.0,2.26,3.2,3.1,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,3.0,2.1,3.1,3.1,1.85,1.85,,
3,0,1,0,1.3330000000000002,4.333,7.5,1.36,4.4,9.2,1.3,4.2,8.0,1.364,3.75,8.0,1.29,4.5,8.5,1.3330000000000002,4.333,9.0,1.28,4.33,8.5,1.74,1.9,,
1,0,1,0,2.5,3.2,2.5,2.83,3.25,2.4,2.7,3.0,2.3,2.75,3.25,2.2,2.75,3.25,2.25,2.7,3.25,2.4,2.62,3.25,2.3,1.77,1.97,,
2,2,1,0,2.0,3.25,3.25,2.07,3.2,3.55,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.05,3.1,3.5,1.83,3.2,3.75,1.92,1.8,,
0,1,0,1,2.1,3.0,3.25,2.08,3.15,3.35,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.25,2.1,3.2,3.25,2.1,3.1,3.1,1.97,1.8,,
1,0,1,0,1.8330000000000002,3.25,3.75,1.98,3.2,3.9,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.95,3.2,3.75,1.8,3.1,4.0,1.75,1.85,,
1,3,0,1,3.75,3.25,1.8330000000000002,4.1,3.35,1.86,3.5,3.1,1.9,4.0,3.2,1.8,4.5,3.4,1.67,3.8,3.25,1.909,4.2,3.25,1.72,1.85,1.75,,
2,2,1,0,4.0,3.5,1.7269999999999999,4.85,3.5,1.75,4.2,3.2,1.7,4.0,3.4,1.7269999999999999,4.33,3.25,1.73,4.75,3.3,1.7269999999999999,4.33,3.2,1.72,1.75,1.87,,
5,2,3,0,1.17,5.5,13.0,1.15,6.5,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.18,6.0,13.0,1.17,5.5,13.0,1.16,5.5,12.0,,,,
0,1,0,1,2.4,3.2,2.6,2.5,3.25,2.5,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.2,2.62,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8,,
1,0,0,0,2.2,3.25,2.8,2.25,3.2,2.85,2.1,3.0,3.1,2.2,3.25,2.75,2.25,3.25,2.9,2.25,3.25,2.75,2.2,3.2,2.8,1.8,1.9,,
2,2,1,1,3.0,3.25,2.1,3.0,3.25,2.15,2.8,2.9,2.3,3.4,3.25,1.91,3.0,3.25,2.2,3.25,3.25,2.0,3.0,3.2,2.1,1.9,1.8,,
1,1,0,0,1.67,3.4,4.5,1.65,3.3,5.0,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,1.85,1.75,,
0,1,0,0,1.5,3.4,6.5,1.4,3.8,7.5,1.4,3.9,6.0,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,7.0,1.36,3.75,8.0,1.92,1.85,,
1,1,0,0,3.0,3.25,2.1,3.0,3.25,2.15,3.2,3.1,2.0,2.75,3.25,2.2,3.0,3.25,2.2,3.0,3.25,2.1,3.2,3.2,2.0,1.85,1.79,,
2,1,1,0,4.0,3.25,1.8,4.2,3.42,1.91,3.5,3.1,1.9,4.333,3.4,1.6669999999999998,4.0,3.2,1.8,4.0,3.25,1.85,4.0,3.1,1.8,1.85,1.75,,
3,1,2,1,1.7269999999999999,3.25,4.333,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.8,3.2,4.0,1.85,3.25,4.0,1.72,3.2,4.33,1.75,1.86,,
1,0,0,0,2.2,3.25,2.8,2.22,3.0,3.2,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.2,2.8,1.85,1.75,,
1,1,0,1,5.0,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.6669999999999998,5.0,3.5,1.57,5.5,3.4,1.615,5.5,3.4,1.53,1.65,1.95,,
2,1,1,1,1.6669999999999998,3.4,4.5,1.63,3.45,5.0,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.615,3.4,5.5,1.57,3.3,5.5,1.85,1.85,,
1,0,0,0,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.87,3.1,2.2,1.85,1.75,,
0,2,0,2,1.7269999999999999,3.5,4.0,1.73,3.4,4.2,1.7,3.2,4.2,1.6669999999999998,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.72,3.2,4.33,1.85,1.85,,
1,0,0,0,2.5,3.0,2.625,2.53,3.15,2.7,2.4,3.0,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.5,3.1,2.5,1.9,1.9,,
1,1,1,0,3.0,3.0,2.25,2.88,3.25,2.4,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.87,3.0,2.25,1.75,1.91,,
2,2,0,0,1.615,3.4,5.0,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.6669999999999998,3.4,5.0,1.66,3.3,4.5,1.75,1.91,,
