FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,1,1,0,1.4,3.8,8.0,1.44,4.0,7.0,1.35,4.0,7.0,1.3330000000000002,4.0,8.0,1.4,3.75,7.5,1.4,3.75,7.5,1.28,4.5,8.0,1.75,1.95,1.7,2.1,1.9,1.9,-1.25,1.9,1.95,-1.25,1.975,1.925,-1.25
1,0,1,0,2.375,3.25,2.75,2.35,3.25,2.8,2.5,3.0,2.5,2.2,3.2,2.8,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.2,2.8,1.85,1.85,1.95,1.85,2.05,1.75,-0.25,1.75,2.1,0.0,2.1,1.8,-0.25
5,1,2,0,1.615,3.4,5.5,1.68,3.4,5.0,1.7,3.2,4.2,1.615,3.5,4.5,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0,1.85,1.85,1.9,1.9,1.95,1.85,-0.75,2.0,1.85,-0.75,1.95,1.95,-0.75
3,2,1,1,2.3,3.25,2.8,2.4,3.25,2.7,2.1,3.1,3.0,2.375,3.2,2.6,2.2,3.25,2.8,2.2,3.2,2.87,2.3,3.2,2.62,1.95,1.75,2.1,1.7,1.8,2.0,0.0,1.85,2.0,0.0,2.1,1.8,-0.25
2,2,2,0,2.5,3.2,2.6,2.5,3.25,2.6,2.2,3.1,2.8,2.5,3.2,2.5,2.38,3.2,2.63,2.4,3.2,2.6,2.3,3.2,2.62,1.95,1.75,2.0,1.8,1.85,1.95,0.0,1.85,2.0,0.0,1.85,2.05,0.0
4,0,1,0,1.286,4.5,10.0,1.3,4.8,9.0,1.3,4.2,8.0,1.25,4.5,10.0,1.25,5.0,8.5,1.25,5.0,9.0,1.22,5.0,9.5,1.65,2.1,1.66,2.2,1.95,1.85,-1.75,1.95,1.9,-1.75,2.05,1.85,-1.75
2,1,1,0,2.375,3.25,2.75,2.4,3.25,2.7,2.4,3.0,2.6,2.375,3.2,2.6,2.38,3.3,2.8,2.25,3.2,2.8,2.3,3.2,2.62,1.9,1.8,1.9,1.9,2.05,1.75,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25
0,3,0,2,2.25,3.4,2.75,2.38,3.25,2.75,2.1,3.1,3.0,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.2,2.75,2.37,3.3,2.5,1.9,1.8,1.85,1.95,2.05,1.75,-0.25,2.05,1.8,-0.25,1.8,2.1,0.0
2,2,1,1,2.75,3.25,2.375,2.85,3.25,2.3,2.7,3.0,2.3,2.8,3.2,2.2,2.9,3.4,2.25,2.62,3.2,2.37,3.0,3.2,2.1,1.8,1.9,1.8,2.0,1.8,2.0,0.25,1.8,2.05,0.25,1.825,2.075,0.25
1,2,0,1,2.25,3.25,2.875,2.25,3.25,3.25,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.3,3.0,2.2,3.2,2.87,2.3,3.0,2.8,1.9,1.8,1.9,1.9,2.05,1.85,-0.25,2.05,1.8,-0.25,2.1,1.8,-0.25
2,2,2,0,2.5,3.3,2.5,2.5,3.25,2.6,2.4,3.0,2.6,2.5,3.25,2.4,2.5,3.2,2.5,2.4,3.2,2.6,2.5,3.1,2.5,1.85,1.85,2.0,1.8,1.9,1.9,0.0,1.95,1.9,0.0,1.95,1.95,0.0
2,1,2,1,1.25,5.0,10.0,1.26,5.0,10.0,1.25,4.5,9.0,1.25,4.5,10.0,1.22,5.0,10.0,1.25,5.0,9.0,1.22,5.0,9.5,1.6,2.15,1.75,2.05,1.75,2.05,-1.5,1.75,2.1,-1.5,1.775,2.125,-1.5
3,1,3,0,1.8,3.4,4.0,1.85,3.3,4.0,1.8,3.1,3.8,1.7269999999999999,3.4,4.0,1.67,3.4,4.5,1.72,3.25,4.33,1.72,3.4,4.0,1.9,1.79,2.1,1.7,1.8,2.0,-0.5,1.8,2.05,-0.5,1.85,2.05,-0.5
1,1,0,1,1.6669999999999998,3.6,4.5,1.67,3.4,5.0,1.65,3.3,4.4,1.615,3.5,4.5,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.4,4.33,1.85,1.85,1.9,1.9,1.8,2.0,-0.75,1.8,2.05,-0.75,1.825,2.075,-0.75
1,2,1,0,3.0,3.2,2.2,3.1,3.4,2.1,3.1,3.0,2.1,2.75,3.25,2.2,3.0,3.4,2.2,3.0,3.25,2.1,2.87,3.1,2.2,1.65,2.05,1.7,2.1,2.3,1.6,0.0,2.1,1.75,0.25,2.025,1.875,0.25
0,0,0,0,1.909,3.25,3.75,2.0,3.2,3.6,1.9,3.1,3.5,2.0,3.2,3.2,1.91,3.25,3.5,1.9,3.2,3.6,1.9,3.2,3.5,2.0,1.71,2.1,1.7,1.95,1.85,-0.5,2.0,1.85,-0.5,2.0,1.9,-0.5
