FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH
2,0,2,0,1.9,3.1,4.33,1.9,3.25,4.0,2.0,3.25,3.5,1.85,3.1,3.6,1.73,3.2,4.33,1.91,3.25,3.75,1.8,3.1,4.0,1.91,1.79,2.05,1.75,1.7,2.05,-0.25,2.02,1.82,-0.5,2.0,1.9,-0.5
1,1,0,1,1.8,3.1,5.0,1.8,3.25,4.5,1.77,3.3,4.75,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.4,4.33,1.9,2.87,4.0,1.85,1.85,2.0,1.8,1.77,1.95,-0.5,1.8,2.04,-0.5,1.85,2.05,-0.5
4,1,2,0,2.25,3.2,3.1,2.1,3.2,3.3,2.25,3.2,3.1,2.2,3.0,2.9,2.2,3.0,3.0,2.25,3.2,2.88,2.15,3.2,2.9,1.86,1.85,2.0,1.8,2.0,1.85,-0.25,2.04,1.8,-0.25,2.0,1.9,-0.25
1,1,1,0,2.1,3.25,3.4,2.1,3.2,3.3,2.1,3.25,3.25,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.4,2.05,3.1,3.2,1.85,1.85,1.9,1.9,1.85,2.0,-0.25,1.78,2.06,-0.25,1.85,2.05,-0.25
2,2,0,1,2.3,3.25,3.0,2.4,3.2,2.7,2.35,3.15,2.95,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3.0,2.7,1.9,1.79,2.0,1.8,,,,1.94,1.9,-0.25,1.8,2.1,0.0
1,1,1,0,2.1,3.25,3.4,2.1,3.2,3.3,2.15,3.2,3.2,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.25,3.2,2.0,3.1,3.3,1.9,1.79,1.95,1.85,1.9,1.95,-0.25,1.8,2.04,-0.25,1.825,2.075,-0.25
1,1,1,1,2.4,3.2,2.87,2.25,3.2,3.0,2.45,3.2,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.3,3.2,2.8,2.3,3.2,2.62,1.95,1.75,2.0,1.8,1.85,2.0,0.0,2.08,1.76,-0.25,1.8,2.1,0.0
1,1,0,1,3.1,3.2,2.25,3.0,3.2,2.25,2.75,3.2,2.4,2.7,3.0,2.3,2.75,3.2,2.25,3.0,3.2,2.2,2.75,3.1,2.3,1.85,1.85,1.9,1.9,1.95,1.9,0.25,2.04,1.8,0.25,1.975,1.925,0.25
1,0,1,0,2.1,3.25,3.4,2.15,3.1,3.2,2.1,3.25,3.35,2.0,3.1,3.2,2.1,3.2,3.0,2.1,3.25,3.2,2.0,3.2,3.2,1.9,1.79,1.95,1.85,1.6,2.2,0.0,2.0,1.84,-0.5,1.85,2.05,-0.25
1,4,0,2,6.0,3.4,1.61,5.0,3.4,1.7,4.75,3.3,1.77,4.0,3.2,1.75,5.0,3.25,1.62,5.0,3.3,1.67,5.5,3.1,1.61,1.75,1.95,1.9,1.9,1.95,1.9,0.75,1.96,1.88,0.75,2.05,1.85,0.75
