FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,1,0,0,2.1,3.4,4.0,1.95,3.25,3.6,2.0,3.2,3.1,1.9,3.4,4.0,2.09,3.46,3.8,2.1,3.3,3.5,2.05,3.4,3.5,2.05,3.4,3.6,43,2.14,2.05,3.5,3.33,4.0,3.57,39,2.16,2.07,1.81,1.73,20,-0.5,2.17,2.07,1.86,1.79
3,2,1,1,2.5,3.4,3.0,2.4,3.2,2.7,2.4,3.1,2.5,2.45,3.4,2.75,2.45,3.41,3.04,2.5,3.2,2.8,2.4,3.25,2.88,2.5,3.4,3.0,42,2.5,2.37,3.51,3.29,3.18,2.95,38,2.03,1.96,1.92,1.82,19,-0.25,2.08,2.03,1.89,1.83
2,2,1,2,2.7,3.4,2.8,2.45,3.2,2.65,2.45,3.1,2.45,2.5,3.3,2.75,2.61,3.39,2.85,2.7,3.1,2.7,2.63,3.2,2.63,2.62,3.4,2.8,42,2.7,2.59,3.4,3.21,2.85,2.69,38,2.1,2.0,1.88,1.78,22,0.0,1.95,1.87,2.03,1.96
2,1,0,0,2.0,3.5,4.2,1.85,3.25,4.0,1.85,3.2,3.5,1.9,3.5,4.0,1.96,3.61,4.11,2.0,3.2,4.0,1.91,3.4,4.0,2.0,3.5,4.0,40,2.01,1.94,3.61,3.39,4.21,3.89,38,1.99,1.89,1.96,1.88,18,-0.5,1.98,1.94,1.96,1.91
1,2,0,1,2.0,3.6,4.0,1.95,3.2,3.6,1.9,3.2,3.4,1.95,3.5,3.75,1.98,3.56,4.11,2.0,3.2,4.0,1.95,3.4,3.75,2.0,3.6,4.0,42,2.05,1.96,3.62,3.37,4.11,3.81,38,2.03,1.95,1.95,1.83,19,-0.5,2.05,1.96,1.94,1.88
4,2,1,2,1.73,3.8,5.5,1.65,3.4,5.0,1.65,3.4,4.2,1.72,3.5,4.5,1.68,3.95,5.4,1.73,3.5,5.0,1.67,3.6,5.25,1.73,3.8,5.4,43,1.75,1.68,3.99,3.67,5.6,5.01,39,1.91,1.84,2.07,1.94,19,-0.75,1.95,1.88,2.02,1.96
1,1,1,0,2.7,3.4,2.8,2.45,3.2,2.65,2.4,3.1,2.5,2.5,3.3,2.75,2.77,3.38,2.68,2.7,3.1,2.7,2.6,3.2,2.63,2.75,3.4,2.7,43,2.77,2.61,3.4,3.22,2.8,2.66,38,2.09,1.98,1.87,1.8,19,0.0,1.99,1.89,2.02,1.92
1,1,0,0,1.57,4.2,6.5,1.6,3.6,5.0,1.55,3.5,4.8,1.61,3.75,5.5,1.56,4.25,6.57,1.62,3.6,6.0,1.57,3.8,6.0,1.6,4.2,6.25,41,1.62,1.57,4.33,3.88,7.0,5.91,39,1.88,1.8,2.13,1.98,20,-1.0,2.05,1.96,1.95,1.88
0,1,0,0,3.0,3.4,2.5,2.75,3.2,2.35,2.5,3.1,2.4,3.0,3.4,2.3,2.91,3.5,2.49,3.1,3.1,2.4,3.0,3.2,2.4,2.9,3.4,2.45,40,3.1,2.91,3.5,3.24,2.55,2.4,37,1.88,1.82,2.04,1.95,17,0.25,1.83,1.8,2.14,2.07
1,2,1,1,2.0,3.5,4.2,1.95,3.2,3.6,1.9,3.2,3.4,2.0,3.4,3.75,2.02,3.47,4.07,2.0,3.2,4.0,1.95,3.4,3.8,2.0,3.5,4.0,42,2.05,1.97,3.51,3.34,4.33,3.88,40,2.16,2.06,1.82,1.74,20,-0.5,2.01,1.97,1.92,1.88
