FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
1,2,1,0,2.8,3.4,2.4,2.6,3.25,2.4,2.65,3.05,2.35,2.75,3.1,2.4,2.96,3.41,2.51,3.0,3.1,2.5,2.88,3.3,2.5,42,3.0,2.8,3.42,3.18,2.51,2.43,41,2.11,2.02,1.81,1.75,22,0.0,2.13,2.04,1.84,1.78
0,1,0,0,3.5,3.6,2.0,3.25,3.4,1.95,3.35,3.3,1.9,3.5,3.3,1.95,3.89,3.63,2.01,3.8,3.3,2.0,3.8,3.6,1.95,42,3.92,3.59,3.63,3.41,2.05,1.96,41,1.97,1.88,1.97,1.87,23,0.5,1.93,1.87,2.02,1.96
2,1,2,1,2.0,3.6,3.5,1.87,3.4,3.6,1.95,3.2,3.3,2.0,3.25,3.5,2.1,3.56,3.67,2.1,3.3,3.5,2.0,3.5,3.75,42,2.1,2.0,3.6,3.37,3.8,3.49,41,2.02,1.92,1.91,1.83,23,-0.5,2.1,2.01,1.87,1.82
3,1,1,1,2.88,3.6,2.3,2.65,3.4,2.3,2.75,3.15,2.25,2.8,3.25,2.3,3.01,3.49,2.43,3.1,3.1,2.4,2.9,3.5,2.4,42,3.1,2.86,3.6,3.28,2.45,2.34,41,2.0,1.92,1.93,1.84,23,0.25,1.86,1.79,2.11,2.04
3,1,3,1,2.88,3.6,2.3,2.8,3.3,2.2,2.8,3.05,2.25,2.8,3.1,2.3,2.96,3.41,2.51,3.1,3.1,2.4,3.0,3.3,2.45,42,3.1,2.88,3.6,3.23,2.51,2.35,41,2.11,2.02,1.82,1.74,23,0.25,1.84,1.77,2.16,2.07
1,0,1,0,2.1,3.5,3.3,2.05,3.2,3.2,2.0,3.15,3.2,2.0,3.3,3.4,2.06,3.58,3.77,2.1,3.3,3.5,2.05,3.5,3.6,42,2.1,2.04,3.58,3.33,3.77,3.44,41,2.03,1.93,1.9,1.82,22,-0.25,1.85,1.78,2.14,2.04
2,2,0,1,4.0,3.6,1.85,3.9,3.4,1.8,3.9,3.2,1.75,4.0,3.4,1.8,4.42,3.68,1.88,4.2,3.3,1.91,4.5,3.6,1.83,42,4.5,4.07,3.68,3.42,1.91,1.83,41,2.11,2.02,1.82,1.74,23,0.5,2.06,1.98,1.91,1.84
1,1,0,1,2.63,3.3,2.6,2.5,3.25,2.5,2.55,3.05,2.45,2.7,3.1,2.4,2.78,3.43,2.64,2.7,3.1,2.7,2.7,3.4,2.6,42,2.78,2.65,3.43,3.19,2.7,2.55,41,2.05,1.97,1.86,1.79,22,0.0,2.01,1.94,1.95,1.88
0,4,0,1,3.8,3.5,1.95,3.25,3.3,2.0,3.4,3.25,1.9,3.4,3.3,1.95,3.89,3.66,2.0,3.5,3.3,2.1,3.75,3.6,2.0,42,3.89,3.6,3.66,3.37,2.1,1.96,41,1.92,1.83,2.0,1.92,18,0.25,2.21,2.13,1.8,1.72
1,0,0,0,2.1,3.4,3.4,2.05,3.2,3.2,2.0,3.05,3.35,2.0,3.1,3.5,2.13,3.4,3.76,2.1,3.3,3.6,2.1,3.3,3.75,42,2.2,2.06,3.41,3.23,3.77,3.47,36,2.28,2.16,1.75,1.64,22,-0.25,1.84,1.79,2.11,2.04
