FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
3,0,0,0,2.0,3.25,3.5,2.0,3.25,3.3,2.0,3.2,3.1,2.0,3.2,3.2,2.15,3.61,3.47,1.95,3.4,3.2,2.05,3.3,3.5,2.2,3.5,3.25,28,2.2,2.07,3.61,3.26,3.5,3.31,21,1.85,1.75,2.11,2.03,8.0,-0.25,1.88,1.81,2.08,2.04
1,0,1,0,2.0,3.4,3.3,2.0,3.25,3.3,2.0,3.2,3.1,2.0,3.3,3.1,2.05,3.65,3.74,2.1,3.3,3.2,2.05,3.3,3.5,2.1,3.6,3.4,29,2.12,2.03,3.65,3.3,3.74,3.38,18,1.84,1.74,2.1,2.01,11.0,-0.5,2.13,2.07,1.85,1.8
8,0,4,0,1.57,3.8,5.0,1.44,4.25,5.5,1.55,3.5,4.8,1.44,3.75,6.0,1.59,4.17,6.22,1.5,4.0,5.5,1.53,4.0,5.5,1.62,3.9,5.75,29,1.62,1.53,4.17,3.81,6.5,5.63,22,1.85,1.75,2.14,2.03,8.0,-0.75,1.75,1.72,2.21,2.15
1,1,0,0,1.44,4.2,6.0,1.45,4.2,5.5,1.45,3.8,5.4,1.4,4.2,6.0,,,,,,,1.44,4.33,6.25,1.53,4.1,6.5,18,1.53,1.46,4.33,4.12,6.5,5.98,14,1.85,1.8,2.0,1.93,1.0,-1.5,2.52,2.52,1.5,1.5
1,1,0,1,1.91,3.5,3.5,1.83,3.3,3.8,1.9,3.2,3.4,1.8,3.3,3.75,2.06,3.64,3.71,1.83,3.5,3.75,2.0,3.5,3.6,2.05,3.5,3.6,27,2.06,1.96,3.64,3.34,3.8,3.55,18,1.85,1.75,2.1,2.01,11.0,-0.5,2.06,2.0,1.89,1.85
3,1,1,1,1.57,3.75,5.25,1.62,3.6,4.6,1.55,3.5,4.8,1.57,3.5,5.0,1.63,4.13,5.74,1.62,3.75,4.8,1.62,3.6,6.0,1.62,4.0,5.5,27,1.63,1.57,4.13,3.66,6.1,5.51,18,1.85,1.75,2.13,2.0,11.0,-0.75,1.82,1.78,2.14,2.09
0,1,0,1,1.91,3.5,3.5,1.78,3.4,3.9,1.9,3.2,3.4,1.8,3.3,3.75,1.99,3.67,3.92,1.8,3.5,4.0,1.95,3.5,3.75,2.05,3.5,3.6,27,2.05,1.95,3.67,3.35,3.92,3.61,25,1.9,1.8,2.05,1.98,12.0,-0.5,2.02,1.98,1.92,1.88
0,1,0,1,2.4,3.4,2.63,2.25,3.25,2.8,2.3,3.1,2.6,2.25,3.3,2.62,2.38,3.54,3.05,2.5,3.25,2.6,2.38,3.3,2.88,2.5,3.4,2.8,29,2.5,2.34,3.54,3.24,3.05,2.81,18,1.85,1.75,2.1,2.0,10.0,0.0,1.76,1.73,2.23,2.16
1,0,1,0,3.4,3.5,1.95,3.6,3.25,1.9,3.4,3.2,1.9,3.4,3.25,1.9,3.88,3.71,1.99,3.4,3.5,1.91,3.8,3.4,1.95,3.7,3.6,2.0,29,4.0,3.66,3.71,3.35,2.0,1.93,18,1.8,1.69,2.2,2.09,11.0,0.5,1.94,1.91,1.99,1.95
0,0,0,0,2.05,3.4,3.25,2.15,3.2,3.0,2.1,3.1,3.0,2.2,3.25,2.75,2.2,3.65,3.31,2.1,3.4,3.1,2.1,3.4,3.3,2.2,3.6,3.2,29,2.2,2.11,3.65,3.26,3.4,3.22,18,1.83,1.7,2.17,2.07,12.0,-0.25,1.92,1.88,2.02,1.98
2,1,1,1,1.57,3.8,5.25,1.5,4.0,5.25,1.55,3.5,4.8,1.5,3.6,5.5,1.62,4.18,5.77,1.5,4.0,5.5,1.57,4.0,5.5,1.62,4.0,5.5,27,1.62,1.54,4.18,3.76,6.5,5.56,16,1.75,1.67,2.2,2.13,10.0,-1.0,2.11,2.05,1.87,1.84
