FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,2,0,1,2.63,3.0,2.88,2.6,2.95,2.8,2.5,3.0,2.8,2.5,3.0,2.7,2.6,3.0,2.6,2.6,3.0,2.6,2.6,3.0,2.88,2.63,3.0,2.88,2.63,3.1,3.0,2.6,3.0,2.75,34,2.75,2.61,3.12,3.0,2.99,2.81,22,2.6,2.48,1.55,1.5,17,0.0,1.87,1.83,2.07,2.01
2,2,2,2,2.3,3.0,3.4,2.15,3.1,3.4,2.2,3.0,3.3,2.1,3.1,3.3,2.2,3.0,3.2,2.2,3.0,3.2,2.3,3.0,3.4,2.15,3.2,3.5,2.4,3.1,3.4,2.25,3.1,3.2,33,2.41,2.25,3.2,3.06,3.5,3.33,21,2.4,2.27,1.62,1.58,18,-0.25,2.05,1.97,1.93,1.89
1,0,1,0,2.3,3.0,3.4,2.25,3.0,3.3,2.15,3.0,3.4,2.1,3.0,3.4,2.2,3.0,3.2,2.2,3.1,3.1,2.38,3.0,3.2,2.2,3.2,3.4,2.3,3.2,3.6,2.25,3.1,3.2,34,2.34,2.23,3.2,3.07,3.6,3.35,22,2.29,2.21,1.67,1.61,18,-0.25,1.98,1.94,1.96,1.92
2,2,1,0,1.53,3.8,6.75,1.5,3.9,6.25,1.5,3.75,6.5,1.45,3.9,6.5,1.57,3.5,5.5,1.5,3.6,6.5,1.57,4.0,5.5,1.53,3.9,6.5,1.57,4.0,7.0,1.53,3.75,6.0,34,1.57,1.53,4.05,3.75,7.5,6.51,33,2.09,2.0,1.87,1.78,18,-1.0,2.04,1.99,1.92,1.87
3,1,1,1,2.1,3.1,3.8,2.1,3.0,3.7,2.15,3.0,3.4,2.25,3.0,3.05,2.1,3.0,3.4,2.1,3.0,3.4,2.25,3.1,3.4,2.1,3.2,3.6,2.2,3.2,3.8,2.2,3.1,3.25,34,2.22,2.15,3.3,3.06,3.8,3.54,22,2.7,2.55,1.5,1.47,18,-0.25,1.9,1.84,2.1,2.03
1,1,0,0,3.5,3.1,2.2,3.4,3.2,2.1,3.4,3.1,2.1,3.3,3.1,2.1,3.4,3.0,2.1,3.2,3.1,2.15,3.4,3.1,2.25,3.6,3.2,2.1,3.6,3.2,2.25,3.4,3.1,2.15,34,3.71,3.43,3.3,3.12,2.25,2.17,24,2.25,2.17,1.7,1.63,18,0.25,2.01,1.97,1.93,1.89
1,3,1,2,4.0,3.2,2.0,3.7,3.25,2.0,3.75,3.1,2.0,3.3,3.1,2.1,3.6,3.1,2.0,3.6,3.2,1.95,3.75,3.2,2.05,4.2,3.2,1.95,4.0,3.4,2.05,3.75,3.2,2.0,34,4.3,3.9,3.4,3.21,2.05,1.99,24,2.25,2.15,1.7,1.64,19,0.5,1.93,1.88,2.03,1.97
0,1,0,1,1.53,3.8,6.75,1.57,3.7,5.75,1.55,3.6,6.0,1.6,3.5,5.2,1.53,3.5,6.0,1.5,3.6,6.5,1.62,3.75,5.5,1.57,3.6,6.5,1.57,4.0,7.0,1.6,3.8,5.25,34,1.6,1.54,4.02,3.76,7.5,6.42,28,2.18,2.09,1.76,1.71,18,-1.0,2.02,1.97,1.93,1.89
1,2,0,2,1.91,3.25,4.33,1.88,3.25,4.1,1.85,3.2,4.25,1.75,3.25,4.5,1.91,3.0,4.0,1.85,3.2,4.0,1.83,3.5,4.33,1.83,3.25,4.75,1.85,3.2,4.5,1.91,3.3,4.0,33,1.97,1.89,3.4,3.25,4.75,4.22,21,2.38,2.23,1.65,1.6,18,-0.5,1.97,1.91,1.99,1.94
1,5,1,2,2.88,3.0,2.63,2.95,2.95,2.5,2.9,3.0,2.4,2.75,3.1,2.4,2.9,2.88,2.4,2.7,3.0,2.5,2.9,3.1,2.5,3.0,3.0,2.5,2.75,3.0,2.63,2.88,3.1,2.4,34,3.1,2.85,3.12,3.03,2.73,2.54,22,2.5,2.41,1.62,1.52,17,0.0,2.05,2.0,1.92,1.83
1,1,0,0,2.4,3.2,3.0,2.4,3.0,3.0,2.4,3.0,3.0,2.4,3.2,2.7,2.38,3.0,2.8,2.3,3.1,2.9,2.5,3.0,3.0,2.38,3.0,3.25,2.5,3.2,3.2,2.4,3.1,2.88,38,2.51,2.42,3.3,3.07,3.25,3.01,26,2.3,2.21,1.66,1.6,18,-0.25,2.11,2.07,1.85,1.8
1,1,0,0,1.3,5.0,11.0,1.26,5.25,10.5,1.27,5.0,10.0,1.25,5.0,10.0,1.22,5.0,10.0,1.25,5.0,10.0,1.3,5.0,11.0,1.25,5.5,12.0,1.3,5.4,12.0,1.29,5.0,10.0,38,1.32,1.28,5.53,5.06,13.0,10.97,32,1.87,1.78,2.1,2.0,21,-1.5,1.98,1.94,1.94,1.9
1,1,0,0,2.7,3.1,2.7,2.65,3.1,2.65,2.6,3.1,2.6,2.5,3.2,2.6,2.6,3.0,2.5,2.7,3.0,2.5,2.7,3.1,2.7,2.7,3.2,2.63,2.75,3.2,2.75,2.7,3.1,2.6,38,2.82,2.69,3.2,3.06,2.86,2.67,25,2.3,2.19,1.67,1.61,19,0.0,1.94,1.9,2.0,1.93
1,2,0,1,2.0,3.2,4.0,1.95,3.25,3.9,2.0,3.1,3.75,1.85,3.4,3.8,1.91,3.2,3.6,1.9,3.2,3.8,2.0,3.2,4.0,1.91,3.25,4.33,2.0,3.3,4.2,2.0,3.2,3.75,38,2.05,1.98,3.45,3.22,4.38,3.92,29,2.22,2.11,1.8,1.68,20,-0.5,2.05,2.0,1.92,1.85
1,0,0,0,2.0,3.2,4.0,1.95,3.2,3.9,2.0,3.1,3.75,1.9,3.3,3.7,1.91,3.2,3.6,2.0,3.1,3.6,2.0,3.2,4.0,2.1,3.2,3.6,2.05,3.3,4.33,2.0,3.2,3.75,37,2.1,1.99,3.4,3.21,4.33,3.87,25,2.35,2.23,1.67,1.59,19,-0.5,2.1,2.01,1.89,1.84
2,0,0,0,1.6,3.5,6.5,1.57,3.6,6.0,1.6,3.5,5.5,1.6,3.5,5.2,1.62,3.4,5.0,1.6,3.4,5.5,1.6,3.5,6.5,1.67,3.4,6.0,1.62,3.75,7.0,1.57,3.6,6.0,38,1.67,1.6,3.83,3.57,7.07,6.02,26,2.38,2.19,1.66,1.61,18,-0.75,1.82,1.78,2.15,2.09
0,0,0,0,1.91,3.3,4.2,1.91,3.25,4.0,1.9,3.2,4.0,1.85,3.3,3.9,2.0,3.2,3.3,1.95,3.1,3.75,2.0,3.2,4.0,1.91,3.2,4.33,1.95,3.3,4.5,1.95,3.25,3.8,38,2.02,1.94,3.4,3.25,4.6,4.03,26,2.3,2.19,1.66,1.61,19,-0.5,1.98,1.93,1.97,1.91
2,2,0,2,3.6,3.2,2.1,3.6,3.2,2.05,3.4,3.1,2.1,3.1,3.3,2.1,3.1,3.0,2.2,3.3,3.0,2.15,3.75,3.1,2.1,3.9,3.0,2.1,4.0,3.25,2.1,3.4,3.1,2.15,38,4.0,3.57,3.3,3.14,2.2,2.12,26,2.3,2.16,1.7,1.62,19,0.25,2.11,2.05,1.86,1.81
1,0,0,0,2.2,3.2,3.4,2.15,3.1,3.4,2.1,3.1,3.4,2.2,3.1,3.1,2.1,3.2,3.1,2.1,3.1,3.3,2.25,3.0,3.5,2.15,3.2,3.5,2.2,3.2,3.75,2.2,3.1,3.25,37,2.26,2.18,3.3,3.11,3.79,3.42,24,2.35,2.24,1.65,1.58,19,-0.25,1.9,1.86,2.05,2.0
0,1,0,0,1.62,3.6,6.0,1.6,3.75,5.25,1.6,3.5,5.5,1.55,3.7,5.4,1.57,3.4,5.5,1.55,3.6,5.5,1.6,3.5,6.5,1.62,3.6,6.0,1.62,3.8,7.0,1.6,3.6,5.5,38,1.64,1.59,3.9,3.63,6.9,5.93,35,2.05,1.95,1.9,1.82,20,-1.0,2.11,2.06,1.83,1.8
1,1,1,0,2.38,3.1,3.1,2.4,3.1,3.0,2.3,3.1,3.0,2.2,3.1,3.1,2.38,3.0,2.88,2.3,3.0,3.0,2.3,3.2,3.1,2.4,3.2,3.0,2.4,3.25,3.25,2.4,3.1,2.88,35,2.43,2.34,3.24,3.06,3.37,3.07,23,2.3,2.2,1.7,1.6,19,-0.25,2.04,2.0,1.91,1.86
1,1,1,0,1.83,3.25,4.75,1.83,3.5,4.6,1.8,3.25,4.5,1.85,3.3,3.9,1.8,3.2,4.2,1.8,3.25,4.2,1.8,3.3,4.8,1.8,3.4,4.75,1.85,3.4,5.0,1.83,3.25,4.33,36,1.87,1.81,3.46,3.25,5.11,4.56,24,2.25,2.17,1.67,1.62,20,-0.5,1.88,1.84,2.08,2.01
1,1,1,0,3.75,3.25,2.05,3.6,3.25,2.05,3.6,3.2,2.0,3.7,3.3,1.9,3.75,3.2,1.91,3.5,3.2,2.0,4.2,3.3,1.91,4.0,3.2,2.0,3.8,3.4,2.1,3.75,3.2,2.0,36,4.0,3.69,3.46,3.22,2.1,2.01,29,2.25,2.14,1.72,1.67,18,0.5,1.89,1.83,2.08,2.02
1,2,0,0,3.6,3.25,2.1,3.4,3.3,2.2,3.5,3.1,2.1,3.4,3.2,2.0,3.4,3.0,2.1,3.3,3.1,2.1,3.8,3.2,2.05,3.6,3.25,2.1,3.8,3.25,2.15,3.25,3.1,2.2,36,3.91,3.5,3.3,3.14,2.2,2.11,27,2.23,2.09,1.72,1.67,19,0.25,2.11,2.04,1.85,1.82
2,0,1,0,2.8,3.1,2.63,2.95,3.1,2.45,2.9,3.0,2.45,2.6,3.0,2.6,2.88,2.9,2.4,2.7,3.1,2.45,3.0,3.2,2.4,2.9,3.1,2.5,2.88,3.12,2.75,3.0,3.0,2.4,36,3.0,2.81,3.21,3.01,2.71,2.55,23,2.35,2.25,1.65,1.56,18,0.0,2.02,1.97,1.93,1.87
1,1,1,0,2.6,3.0,2.88,2.6,3.0,2.85,2.6,3.0,2.7,2.3,3.1,2.9,2.5,3.0,2.7,2.6,3.0,2.6,2.62,3.1,2.75,2.6,3.1,2.88,2.75,3.12,2.88,2.6,3.0,2.75,36,2.76,2.58,3.12,2.97,2.97,2.8,23,2.55,2.46,1.55,1.49,18,0.0,1.9,1.83,2.07,2.01
0,0,0,0,1.53,3.75,7.0,1.55,3.9,6.0,1.53,3.75,6.0,1.5,3.8,5.7,1.5,3.5,6.5,1.5,3.75,6.0,1.5,4.0,7.0,1.53,3.9,7.0,1.5,4.0,6.5,1.53,3.75,6.0,35,1.56,1.52,4.18,3.74,7.5,6.46,32,1.98,1.9,1.98,1.88,18,-1.0,1.96,1.92,2.0,1.93
4,0,1,0,2.6,3.0,2.9,2.4,3.1,3.2,2.45,3.0,2.9,2.3,3.2,2.8,2.4,2.9,2.88,2.4,3.0,2.85,2.4,3.3,2.9,2.5,3.1,3.0,2.5,3.1,2.88,2.4,3.1,2.88,36,2.7,2.49,3.22,3.03,3.1,2.87,23,2.5,2.35,1.62,1.53,18,0.0,1.86,1.8,2.11,2.04
1,2,0,0,2.25,3.1,3.4,2.2,3.1,3.4,2.25,3.1,3.1,2.2,3.1,3.1,2.2,3.0,3.2,2.2,3.0,3.2,2.3,3.2,3.2,2.25,3.1,3.4,2.15,3.1,3.6,2.2,3.2,3.2,36,2.25,2.17,3.25,3.09,3.8,3.39,24,2.25,2.18,1.67,1.61,19,-0.25,1.9,1.85,2.08,2.01
2,1,1,1,1.5,4.0,7.0,1.5,3.8,7.25,1.42,4.0,7.5,1.5,3.8,5.7,1.4,4.0,7.0,1.4,4.0,7.5,1.5,4.0,7.0,1.44,4.2,7.5,1.44,4.2,7.0,1.44,4.0,7.5,36,1.51,1.46,4.35,3.91,8.0,7.26,33,1.95,1.89,1.96,1.88,19,-1.0,1.88,1.84,2.06,2.01
4,1,1,0,1.8,3.3,4.75,1.78,3.25,5.0,1.8,3.25,4.5,1.75,3.3,4.4,1.73,3.2,4.33,1.75,3.25,4.5,1.83,3.1,5.0,1.91,3.25,4.33,1.85,3.4,5.0,1.8,3.3,4.5,44,1.91,1.81,3.42,3.26,5.5,4.65,32,2.5,2.3,1.61,1.54,24,-0.5,1.87,1.82,2.11,2.02
0,1,0,0,1.91,3.25,4.33,1.88,3.1,4.6,1.9,3.2,4.2,2.0,3.2,3.4,1.8,3.2,4.0,1.9,3.2,3.8,2.0,3.1,4.2,1.91,3.3,4.2,2.05,3.25,4.4,1.91,3.3,4.0,43,2.05,1.94,3.3,3.19,4.6,4.1,31,2.45,2.26,1.62,1.57,24,-0.5,2.05,1.97,1.93,1.87
2,1,0,1,1.91,3.2,4.33,1.91,3.2,4.25,1.85,3.2,4.33,1.85,3.4,3.8,1.83,3.0,4.0,1.85,3.2,4.0,2.0,3.1,4.2,1.95,3.2,4.2,2.0,3.3,4.5,1.91,3.3,3.8,44,2.0,1.92,3.31,3.18,5.0,4.2,31,2.5,2.3,1.65,1.55,24,-0.5,2.0,1.94,1.94,1.89
2,1,0,0,1.5,4.0,7.0,1.62,3.8,5.75,1.57,3.6,6.0,1.45,3.9,6.5,1.5,3.5,6.0,1.5,3.6,6.5,1.57,3.5,7.0,1.57,3.8,6.0,1.57,3.8,6.0,1.57,3.6,6.0,44,1.62,1.56,4.0,3.63,7.07,6.41,42,2.14,2.03,1.83,1.75,24,-1.0,2.09,2.01,1.88,1.83
0,0,0,0,2.2,3.1,3.6,2.2,3.0,3.5,2.15,3.1,3.4,2.1,3.1,3.3,2.1,2.88,3.3,2.1,3.1,3.3,2.3,3.0,3.4,2.25,3.1,3.4,2.25,3.1,3.8,2.25,3.1,3.2,44,2.3,2.21,3.2,3.04,3.9,3.44,31,2.5,2.39,1.57,1.51,22,-0.25,1.94,1.9,2.0,1.95
1,2,1,0,2.6,3.0,2.9,2.65,2.95,3.0,2.6,3.0,2.75,2.6,3.0,2.6,2.5,3.0,2.6,2.5,3.0,2.7,2.7,3.1,2.7,2.7,3.1,2.7,2.62,3.0,3.0,2.5,3.1,2.8,44,2.78,2.58,3.2,3.02,3.0,2.82,32,2.3,2.21,1.67,1.59,21,0.0,1.9,1.83,2.07,2.0
3,2,1,0,2.25,3.2,3.25,2.25,3.1,3.5,2.3,3.0,3.2,2.3,3.2,2.8,2.25,2.88,3.0,2.25,3.0,3.1,2.2,3.2,3.4,2.3,3.2,3.2,2.3,3.1,3.25,2.25,3.1,3.2,43,2.35,2.27,3.32,3.09,3.5,3.22,39,2.11,2.02,1.81,1.76,21,-0.25,2.02,1.95,1.96,1.9
