FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
1,1,1,0,4.75,3.5,1.75,5.0,3.6,1.7,4.1,3.4,1.85,4.75,3.5,1.75,5.31,3.64,1.79,4.5,3.8,1.73,4.8,3.4,1.73,5.0,3.7,1.8,28,5.6,4.68,3.85,3.46,1.85,1.78,26,2.2,2.1,1.82,1.71,15.0,0.5,2.13,2.07,1.85,1.78
0,2,0,0,3.0,3.0,2.5,3.2,3.1,2.35,2.9,3.15,2.4,3.0,3.2,2.37,3.21,3.17,2.51,3.0,3.0,2.5,3.0,3.13,2.38,3.2,3.12,2.5,33,3.35,3.03,3.25,3.09,2.51,2.4,22,2.45,2.25,1.67,1.58,17.0,0.0,2.26,2.17,1.74,1.7
1,1,1,0,2.15,3.1,3.6,2.2,3.1,3.5,2.2,3.15,3.25,2.15,3.2,3.5,2.2,3.24,3.81,2.3,3.0,3.4,2.1,3.13,3.5,2.25,3.2,3.6,33,2.3,2.17,3.25,3.12,3.81,3.48,22,2.4,2.19,1.73,1.59,16.0,-0.5,2.25,2.17,1.75,1.71
1,0,1,0,1.62,3.6,6.0,1.65,3.6,5.5,1.75,3.4,4.65,1.7,3.6,5.0,1.65,3.83,6.41,1.7,3.2,6.0,1.62,3.5,5.8,1.7,3.7,5.75,33,1.75,1.64,3.9,3.61,6.41,5.57,31,2.18,2.09,1.85,1.72,19.0,-1.0,2.21,2.12,1.83,1.75
4,0,1,0,1.73,3.5,5.0,1.75,3.6,4.6,1.75,3.4,4.65,1.8,3.5,4.5,1.76,3.76,5.18,1.83,3.3,4.8,1.73,3.4,5.0,1.8,3.7,5.0,33,1.83,1.74,3.76,3.5,5.6,4.78,31,2.1,2.02,1.86,1.78,18.0,-0.5,1.8,1.75,2.19,2.12
2,0,1,0,2.25,3.1,3.4,2.35,3.1,3.2,2.3,3.1,3.1,2.3,3.2,3.1,2.28,3.29,3.54,2.4,3.1,3.1,2.2,3.13,3.25,2.3,3.25,3.4,33,2.4,2.25,3.3,3.16,3.65,3.24,26,2.25,2.17,1.8,1.66,17.0,-0.25,1.98,1.92,1.99,1.94
2,1,1,1,1.7,3.4,5.5,1.72,3.5,5.0,1.85,3.4,4.1,1.8,3.5,4.5,1.75,3.59,5.72,1.83,3.25,4.8,1.73,3.3,5.0,1.8,3.5,5.0,33,1.85,1.75,3.6,3.41,5.72,4.89,29,2.3,2.14,1.8,1.7,18.0,-0.5,1.8,1.73,2.21,2.15
3,0,1,0,2.5,3.1,2.9,2.55,3.1,2.85,2.5,3.1,2.8,2.5,3.2,2.87,2.62,3.2,3.02,2.62,3.1,2.8,2.5,3.13,2.8,2.62,3.2,3.0,33,2.64,2.51,3.2,3.11,3.02,2.86,22,2.45,2.25,1.69,1.57,17.0,0.0,1.84,1.8,2.11,2.04
0,1,0,1,3.4,3.2,2.2,3.4,3.1,2.25,2.9,3.15,2.4,3.0,3.4,2.25,3.4,3.14,2.42,3.2,3.0,2.4,3.13,3.13,2.25,3.3,3.2,2.4,33,3.55,3.19,3.28,3.15,2.42,2.28,22,2.38,2.26,1.69,1.57,15.0,0.5,1.66,1.63,2.39,2.31
1,3,0,3,3.4,3.2,2.2,3.4,3.2,2.2,3.25,3.15,2.2,3.5,3.25,2.1,3.89,3.25,2.18,3.5,3.0,2.25,3.5,3.13,2.1,3.75,3.25,2.2,33,3.9,3.43,3.25,3.17,2.25,2.17,22,2.38,2.25,1.7,1.59,17.0,0.5,1.78,1.75,2.19,2.12
