FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
2,1,2,1,1.5,4.2,7.0,1.5,3.8,7.0,1.5,4.0,6.1,1.44,4.33,7.5,1.48,4.52,8.27,1.5,4.0,7.0,1.45,4.5,8.0,40,1.51,1.46,4.52,4.27,8.27,7.39,38,1.94,1.84,2.01,1.94,25,-1.25,2.12,2.04,1.86,1.8
1,1,0,0,5.5,3.75,1.67,5.0,3.6,1.7,4.5,3.5,1.75,5.25,3.75,1.67,5.35,3.87,1.74,5.0,3.5,1.73,5.5,3.7,1.75,41,6.0,5.18,4.0,3.7,1.75,1.69,39,1.98,1.89,1.98,1.9,26,0.75,2.01,1.95,1.94,1.88
1,3,1,0,2.15,3.25,3.6,2.2,3.1,3.4,2.3,3.2,3.0,2.1,3.2,3.75,2.2,3.28,3.83,2.2,3.1,3.5,2.2,3.13,4.0,41,2.3,2.15,3.4,3.19,4.0,3.57,36,2.5,2.35,1.63,1.57,26,-0.25,1.91,1.85,2.07,1.99
2,0,1,0,2.15,3.4,3.5,2.2,3.1,3.4,2.3,3.3,2.9,2.15,3.4,3.4,2.19,3.44,3.66,2.2,3.1,3.5,2.15,3.4,3.75,41,2.3,2.14,3.5,3.33,3.8,3.46,39,1.99,1.91,1.97,1.88,26,-0.25,1.88,1.83,2.08,2.01
1,2,1,0,3.5,3.25,2.2,3.4,3.1,2.2,2.9,3.3,2.3,3.4,3.2,2.2,3.79,3.32,2.2,3.4,3.1,2.25,3.75,3.13,2.25,41,3.79,3.51,3.4,3.2,2.3,2.17,36,2.48,2.34,1.62,1.57,26,0.25,2.07,1.98,1.9,1.86
1,0,0,0,1.45,4.33,7.5,1.5,4.0,6.5,1.5,4.0,6.1,1.44,4.33,7.5,1.5,4.39,8.01,1.5,4.0,7.0,1.45,4.4,8.0,41,1.53,1.47,4.5,4.22,8.01,7.27,39,1.9,1.81,2.04,1.97,26,-1.25,2.15,2.08,1.83,1.78
0,1,0,0,1.29,5.5,11.0,1.3,5.0,10.0,1.3,5.0,9.0,1.29,5.25,11.0,1.31,5.72,12.11,1.3,5.0,11.0,1.25,5.75,13.0,41,1.31,1.27,6.0,5.49,13.0,11.62,38,1.81,1.73,2.16,2.07,27,-1.5,1.92,1.85,2.05,1.99
1,0,0,0,2.2,3.4,3.3,2.25,3.1,3.3,2.3,3.3,2.9,2.25,3.3,3.2,2.22,3.41,3.61,2.25,3.1,3.4,2.25,3.25,3.7,41,2.3,2.19,3.45,3.28,3.7,3.37,37,2.2,2.08,1.79,1.73,26,-0.25,1.93,1.88,2.04,1.96
5,2,5,1,1.8,3.5,4.75,1.75,3.3,5.0,1.8,3.5,4.2,1.73,3.6,5.0,1.83,3.6,5.1,1.8,3.3,5.0,1.8,3.5,5.5,41,1.83,1.78,3.65,3.47,5.5,4.82,38,2.19,2.12,1.77,1.7,26,-0.75,2.09,2.01,1.88,1.83
2,1,1,1,4.33,3.75,1.8,4.5,3.4,1.8,4.0,3.45,1.85,4.5,3.5,1.8,5.11,3.69,1.81,4.5,3.4,1.83,5.2,3.6,1.8,41,5.2,4.6,3.8,3.56,1.85,1.79,39,2.05,1.96,1.92,1.84,26,0.75,1.89,1.83,2.08,2.01
0,1,0,0,2.25,3.3,3.3,2.3,3.0,3.3,2.3,3.2,3.0,2.25,3.25,3.25,2.25,3.38,3.59,2.25,3.0,3.5,2.3,3.2,3.6,36,2.38,2.21,3.38,3.21,3.59,3.35,34,2.33,2.22,1.7,1.63,23,-0.25,1.94,1.89,2.01,1.95
2,1,1,1,1.5,4.2,7.0,1.5,4.1,6.25,1.45,4.0,7.0,1.44,4.33,7.5,1.52,4.43,7.31,1.53,4.0,6.5,1.5,4.3,8.0,36,1.57,1.49,4.43,4.12,8.0,6.81,35,1.96,1.85,2.0,1.92,24,-1.0,1.93,1.86,2.03,1.98
2,0,1,0,1.75,3.5,5.25,1.75,3.4,5.0,1.8,3.5,4.2,1.75,3.5,5.0,1.77,3.7,5.43,1.8,3.3,5.0,1.75,3.6,5.5,36,1.8,1.74,3.7,3.5,5.5,4.99,34,2.26,2.16,1.72,1.67,22,-0.75,2.02,1.96,1.94,1.88
1,2,0,1,4.5,3.5,1.85,4.2,3.4,1.85,4.5,3.5,1.75,5.25,3.6,1.7,4.87,3.62,1.85,4.75,3.6,1.75,5.0,3.5,1.85,36,5.25,4.6,3.75,3.47,1.85,1.8,34,2.12,2.02,1.85,1.76,24,0.5,2.1,2.03,1.86,1.81
4,0,3,0,3.4,3.3,2.2,3.25,3.2,2.2,3.1,3.2,2.25,3.6,3.25,2.1,3.65,3.31,2.25,3.6,3.0,2.25,3.8,3.13,2.25,35,3.8,3.44,3.35,3.19,2.25,2.17,32,2.35,2.23,1.7,1.62,22,0.5,1.75,1.7,2.25,2.18
2,0,0,0,2.0,3.5,3.8,2.05,3.3,3.6,2.0,3.3,3.6,1.95,3.5,3.8,2.05,3.55,3.99,2.1,3.1,3.8,2.05,3.4,4.2,36,2.1,2.02,3.55,3.39,4.2,3.7,35,2.02,1.95,1.91,1.83,24,-0.5,2.08,2.01,1.89,1.83
2,2,2,0,1.44,4.5,7.5,1.5,4.1,6.25,1.55,3.9,5.6,1.44,4.33,7.0,1.48,4.58,7.84,1.5,4.0,7.0,1.44,4.5,9.0,36,1.55,1.45,4.58,4.34,9.0,7.15,34,1.77,1.7,2.23,2.11,22,-1.25,2.07,2.0,1.89,1.84
2,1,0,0,2.6,3.2,2.8,2.65,3.3,2.85,2.6,3.2,2.6,2.6,3.2,2.8,2.69,3.27,2.92,2.7,2.9,2.9,2.7,3.1,3.0,36,2.75,2.61,3.27,3.11,3.0,2.8,32,2.4,2.29,1.65,1.6,23,0.0,1.91,1.85,2.05,1.98
3,1,0,1,2.5,3.2,3.0,2.6,3.0,2.85,2.6,3.2,2.6,2.62,3.2,2.75,2.56,3.35,3.02,2.62,3.0,2.88,2.63,3.2,3.0,36,2.7,2.53,3.35,3.16,3.02,2.84,34,2.31,2.17,1.71,1.66,23,0.0,1.86,1.81,2.14,2.02
0,1,0,1,2.15,3.3,3.6,2.15,3.2,3.4,2.1,3.3,3.3,2.05,3.3,3.75,2.17,3.4,3.77,2.2,3.1,3.5,2.2,3.2,3.9,36,2.25,2.12,3.4,3.23,3.9,3.53,32,2.31,2.19,1.73,1.64,23,-0.25,1.88,1.83,2.08,2.01
1,0,0,0,1.67,3.75,5.5,1.67,3.7,5.0,1.65,3.6,5.1,1.62,3.6,5.5,1.67,4.0,5.82,1.67,3.8,5.0,1.65,3.9,6.25,36,1.7,1.65,4.0,3.78,6.25,5.47,33,1.92,1.87,2.04,1.93,24,-1.0,2.23,2.17,1.76,1.71
0,2,0,1,9.5,4.75,1.36,8.0,4.5,1.42,7.0,4.0,1.45,8.5,4.2,1.4,9.76,4.7,1.42,8.0,4.5,1.4,10.0,4.75,1.4,35,9.76,8.97,4.85,4.53,1.44,1.38,32,1.9,1.81,2.06,1.98,23,1.5,1.76,1.71,2.23,2.17
1,1,0,1,1.4,4.5,9.0,1.4,4.5,9.0,1.4,4.4,7.3,1.36,4.5,10.0,1.38,4.9,10.62,1.4,4.4,8.5,1.36,4.8,11.5,36,1.4,1.36,5.0,4.71,11.0,9.56,33,2.01,1.95,1.91,1.85,24,-1.25,1.93,1.86,2.05,1.99
2,2,2,1,5.0,3.6,1.75,4.4,3.7,1.8,4.2,3.5,1.8,4.33,3.5,1.8,4.67,3.75,1.85,4.2,3.75,1.8,5.0,3.7,1.8,36,5.0,4.54,3.75,3.58,1.85,1.8,33,1.91,1.83,2.02,1.97,24,0.5,2.12,2.05,1.86,1.79
1,0,0,0,2.2,3.3,3.4,2.25,3.3,3.4,2.5,3.3,2.65,2.15,3.1,3.5,2.19,3.41,3.71,2.2,3.3,3.3,2.25,3.3,3.6,36,2.3,2.18,3.41,3.25,3.71,3.48,32,2.15,2.05,1.83,1.75,24,-0.25,1.9,1.86,2.06,1.98
2,0,0,0,1.62,3.75,6.0,1.62,3.75,5.5,1.65,3.6,5.1,1.57,3.6,6.5,1.6,3.99,6.94,1.6,4.0,5.5,1.62,4.0,6.25,36,1.63,1.59,4.0,3.83,6.94,6.17,33,2.07,1.99,1.89,1.8,25,-1.0,2.13,2.04,1.86,1.81
2,2,1,1,1.53,4.0,7.0,1.55,3.9,6.0,1.5,4.0,6.1,1.55,3.6,6.5,1.58,4.02,7.1,1.6,3.8,6.0,1.55,4.1,7.5,36,1.61,1.55,4.2,3.9,7.5,6.56,33,2.1,1.98,1.89,1.82,26,-1.0,2.03,1.97,1.92,1.87
2,2,2,2,2.2,3.3,3.4,2.2,3.1,3.4,2.2,3.2,3.2,2.15,3.0,3.5,2.23,3.31,3.7,2.25,3.1,3.4,2.25,3.2,3.75,36,2.25,2.18,3.35,3.21,3.78,3.49,31,2.3,2.2,1.7,1.66,24,-0.25,1.92,1.88,2.03,1.97
2,2,0,0,3.2,3.3,2.3,3.0,3.2,2.35,2.75,3.3,2.4,3.0,3.1,2.38,3.1,3.39,2.48,2.9,3.4,2.38,3.3,3.3,2.4,36,3.3,3.05,3.4,3.25,2.48,2.38,33,2.05,1.97,1.89,1.82,24,0.25,1.87,1.83,2.11,2.02
2,0,0,0,1.83,3.6,4.5,1.83,3.25,4.6,1.8,3.5,4.2,1.8,3.3,4.5,1.85,3.64,4.84,1.83,3.5,4.4,1.83,3.5,5.25,36,1.86,1.82,3.64,3.49,5.2,4.58,32,2.18,2.07,1.8,1.74,25,-0.5,1.85,1.82,2.09,2.03
