FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
5,1,1,0,1.33,4.33,10.0,1.3,4.5,9.0,1.35,4.5,9.0,1.3,4.4,8.5,1.33,3.75,9.0,1.33,4.33,8.5,,,,1.36,4.0,9.0,1.3,4.0,10.0,1.33,4.0,9.0,37,1.4,1.33,5.0,4.31,12.63,9.27,27,2.02,1.92,1.92,1.83,19,-1.25,1.93,1.86,2.08,2.02
2,2,0,1,1.72,3.3,5.0,1.75,3.25,4.5,1.75,3.1,4.75,1.75,3.2,4.3,1.66,3.2,5.0,1.67,3.3,5.2,,,,1.73,3.25,4.75,1.65,3.2,5.0,1.8,3.25,4.0,36,1.88,1.75,3.4,3.23,5.25,4.75,26,2.34,2.17,1.67,1.62,19,-0.75,2.19,2.11,1.83,1.77
3,1,0,0,1.5,3.6,7.5,1.4,3.75,8.25,1.5,3.4,7.0,1.6,3.4,5.2,1.5,3.3,6.5,1.5,3.6,6.5,,,,1.4,3.8,8.0,1.5,3.4,6.5,1.5,3.4,6.5,38,1.6,1.51,3.85,3.52,8.5,6.87,28,2.02,1.93,1.9,1.82,20,-1.0,2.13,2.04,1.85,1.81
0,3,0,3,6.0,3.4,1.61,6.25,3.6,1.5,5.5,3.4,1.6,4.7,3.2,1.7,5.5,3.2,1.61,5.5,3.4,1.6,,,,6.0,3.2,1.62,5.5,3.2,1.6,5.0,3.2,1.67,38,6.3,5.6,3.5,3.34,1.76,1.64,28,2.1,1.97,1.86,1.76,19,0.75,1.95,1.9,2.05,1.97
1,1,1,0,1.28,4.75,11.0,1.2,5.2,13.0,1.3,4.5,11.0,1.27,4.4,10.0,1.25,4.33,11.0,1.28,4.5,10.0,,,,1.25,5.0,11.0,1.33,3.75,10.0,1.29,4.2,10.0,37,1.3,1.26,5.25,4.77,14.07,11.09,28,1.78,1.72,2.17,2.04,20,-1.5,2.17,2.11,1.82,1.77
0,2,0,0,1.9,3.0,4.5,1.85,3.2,4.0,1.9,3.1,4.25,1.85,3.0,4.2,1.83,3.0,4.0,1.83,3.1,4.33,,,,1.83,3.0,4.5,1.8,3.2,4.0,1.8,3.1,4.2,38,1.96,1.87,3.34,3.09,5.14,4.38,28,2.5,2.25,1.65,1.58,19,-0.5,1.98,1.92,2.0,1.94
0,2,0,2,2.87,3.0,2.3,2.95,3.25,2.2,3.0,3.0,2.3,3.1,3.0,2.2,3.0,3.0,2.2,3.0,3.0,2.3,,,,3.25,3.2,2.1,2.9,3.2,2.25,2.88,2.88,2.38,38,3.4,3.04,3.2,3.05,2.54,2.3,28,2.04,1.95,1.9,1.79,20,0.25,1.89,1.85,2.11,2.02
2,2,2,2,1.8,3.1,5.0,1.8,3.1,4.5,1.85,3.1,4.5,1.9,3.0,4.0,1.83,3.0,4.0,1.8,3.2,4.33,,,,1.83,3.2,4.0,1.75,3.1,4.35,1.73,3.0,5.0,38,1.9,1.82,3.39,3.12,5.4,4.54,28,2.22,2.11,1.7,1.65,20,-0.5,1.9,1.85,2.08,2.01
1,1,0,0,2.37,2.87,3.25,2.25,3.1,3.0,2.4,3.0,3.0,2.1,2.9,3.4,2.2,3.0,3.0,2.3,2.9,3.1,,,,2.38,3.0,2.88,2.25,3.1,2.9,2.2,2.88,3.2,38,2.57,2.34,3.1,2.96,3.45,3.08,28,2.24,2.11,1.7,1.65,20,0.0,1.74,1.65,2.3,2.19
1,2,0,1,2.6,2.87,2.87,2.5,3.0,2.7,2.6,3.0,2.6,2.4,2.9,2.9,2.5,2.8,2.75,2.5,3.0,2.7,,,,2.5,3.0,2.75,2.4,3.1,2.7,2.6,2.8,2.7,38,2.85,2.6,3.1,2.92,3.0,2.76,28,2.45,2.24,1.65,1.59,20,0.0,1.96,1.87,2.01,1.93
0,2,0,1,7.5,3.6,1.5,6.5,3.85,1.45,6.5,3.6,1.5,6.0,3.6,1.5,5.5,3.25,1.57,6.0,3.6,1.53,,,,7.0,3.4,1.53,6.5,3.4,1.5,6.0,3.4,1.53,42,8.0,6.81,3.8,3.54,1.56,1.52,34,2.13,1.95,1.89,1.78,21,1.0,1.86,1.8,2.13,2.03
2,0,1,0,2.05,3.0,4.0,2.0,3.0,3.7,2.1,2.9,3.6,2.0,3.1,3.4,2.0,3.0,3.5,2.1,3.0,3.4,,,,2.0,2.88,4.0,2.0,2.9,3.75,2.1,2.88,3.5,42,2.17,2.07,3.1,2.97,4.05,3.68,32,2.21,2.06,1.75,1.69,21,-0.5,2.15,2.11,1.82,1.79
2,3,0,0,6.0,3.2,1.66,5.75,3.1,1.65,5.5,3.2,1.65,4.2,3.1,1.8,5.0,3.2,1.66,5.25,3.2,1.67,,,,4.75,3.2,1.75,5.5,3.25,1.6,4.5,3.2,1.73,41,6.5,5.41,3.45,3.27,1.8,1.67,31,2.12,1.96,1.82,1.77,19,0.75,1.97,1.93,1.98,1.95
0,0,0,0,2.3,3.1,3.1,2.3,3.0,3.0,2.2,3.1,3.1,2.2,3.0,3.1,2.2,2.8,3.2,2.2,3.0,3.2,,,,2.0,3.2,3.5,2.25,3.0,3.0,2.1,2.88,3.4,42,2.4,2.26,3.2,3.04,3.5,3.15,32,1.96,1.91,1.95,1.83,21,-0.25,2.07,2.02,1.89,1.86
2,4,0,4,3.25,3.0,2.3,2.75,2.9,2.55,2.8,2.9,2.5,2.6,3.0,2.6,2.75,2.8,2.5,2.8,2.88,2.5,,,,2.8,2.88,2.5,2.75,3.0,2.35,2.88,2.88,2.38,42,3.3,2.96,3.05,2.95,2.6,2.42,32,2.16,2.01,1.77,1.73,21,0.0,2.29,2.13,1.8,1.7
3,0,1,0,1.22,5.0,17.0,1.2,5.5,11.5,1.25,5.0,10.0,1.25,4.6,10.5,1.22,5.0,10.0,1.25,5.0,10.0,,,,1.22,5.0,13.0,1.25,4.5,10.5,1.22,5.0,11.0,42,1.26,1.23,5.6,5.09,17.0,12.08,32,1.7,1.64,2.28,2.11,18,-1.5,1.8,1.75,2.24,2.12
