FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
2,1,0.0,1.0,2.05,3.2,3.75,2.05,3.3,3.9,2.05,3.3,3.9,2.0,3.2,3.4,2.15,3.1,3.0,2.1,3.32,4.13,2.1,3.25,3.6,2.1,3.2,3.75,2.1,3.25,4.0,2.05,3.25,3.6,38,2.1,2.05,3.33,3.21,4.15,3.71,31,2.33,2.2,1.73,1.66,20,-0.25,1.85,1.76,2.19,2.11
2,0,0.0,0.0,1.3,5.0,10.5,1.28,5.0,11.0,1.28,5.0,11.0,1.35,4.5,7.3,1.3,4.33,8.0,1.33,5.28,12.27,1.33,4.8,10.0,1.3,5.0,11.0,1.33,5.25,12.0,1.3,5.0,9.5,38,1.35,1.3,5.4,4.95,12.27,10.26,31,1.83,1.76,2.15,2.04,23,-1.5,2.0,1.96,1.96,1.91
0,1,0.0,1.0,2.4,3.2,3.0,2.4,3.2,2.95,2.4,3.2,2.95,2.6,3.1,2.6,2.5,3.1,2.5,2.47,3.19,3.33,2.5,3.2,2.88,2.4,3.2,3.0,2.45,3.2,3.25,2.4,3.2,2.9,33,2.6,2.42,3.25,3.16,3.33,2.94,31,2.38,2.26,1.68,1.62,21,-0.25,2.12,2.05,1.86,1.81
2,0,0.0,0.0,2.1,3.2,3.6,2.1,3.15,3.6,2.1,3.15,3.6,2.2,3.0,3.2,2.1,3.1,3.1,2.23,3.16,3.92,2.15,3.2,3.6,2.2,3.13,3.5,2.2,3.12,3.9,2.1,3.2,3.6,35,2.25,2.14,3.2,3.11,4.03,3.59,31,2.51,2.35,1.64,1.57,24,-0.25,1.9,1.83,2.09,2.03
2,0,0.0,0.0,1.95,3.3,4.0,2.0,3.25,3.8,2.0,3.25,3.8,2.0,3.15,3.45,2.0,3.2,3.2,2.03,3.31,4.37,2.1,3.25,3.6,2.05,3.25,3.75,2.05,3.25,4.3,2.05,3.25,3.6,35,2.1,2.01,3.3,3.22,4.34,3.84,31,2.21,2.11,1.79,1.71,21,-0.5,2.06,2.03,1.88,1.84
0,1,0.0,0.0,1.4,4.5,8.0,1.48,4.1,7.75,1.48,4.1,7.75,1.45,3.9,6.5,1.36,4.0,7.0,1.43,4.69,9.34,1.4,4.4,8.5,1.4,4.33,8.5,1.44,4.6,9.0,1.4,4.5,7.5,35,1.46,1.4,4.67,4.33,9.35,8.21,31,1.9,1.8,2.08,1.99,24,-1.25,2.08,2.0,1.93,1.86
0,3,0.0,1.0,3.0,3.25,2.38,3.0,3.4,2.4,3.0,3.4,2.4,2.7,3.2,2.4,2.62,3.2,2.3,3.12,3.34,2.5,2.8,3.3,2.5,3.0,3.25,2.38,3.1,3.3,2.5,2.9,3.2,2.4,35,3.24,2.97,3.35,3.22,2.5,2.39,34,2.02,1.95,1.94,1.84,23,0.25,1.86,1.8,2.11,2.05
0,3,0.0,2.0,4.33,3.6,1.8,5.0,3.55,1.7,5.0,3.55,1.7,4.3,3.4,1.75,4.0,3.5,1.7,4.88,3.69,1.84,4.2,3.75,1.8,4.8,3.4,1.8,4.8,3.6,1.83,4.75,3.5,1.75,33,4.95,4.47,3.75,3.47,1.88,1.8,31,1.86,1.79,2.12,2.0,18,0.75,1.84,1.77,2.16,2.1
2,2,0.0,1.0,1.4,4.5,8.0,1.35,4.75,8.25,1.35,4.75,8.25,1.5,3.8,5.7,1.4,4.2,6.0,1.4,4.94,9.59,1.44,4.5,7.0,1.4,4.5,8.0,1.4,4.8,9.0,1.4,4.5,7.5,35,1.45,1.4,4.9,4.4,9.45,7.92,31,1.68,1.62,2.38,2.27,24,-1.25,2.01,1.96,1.95,1.9
0,0,0.0,0.0,2.25,3.1,3.4,2.25,3.15,3.25,2.25,3.15,3.25,2.2,3.1,3.1,2.1,3.1,3.1,2.36,3.12,3.62,2.25,3.2,3.3,2.25,3.2,3.25,2.3,3.12,3.6,2.25,3.2,3.2,34,2.38,2.26,3.25,3.13,3.64,3.3,27,2.5,2.34,1.65,1.58,24,-0.25,2.0,1.94,1.98,1.92
