FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,1,0,0,8.0,4.0,1.45,7.25,4.0,1.48,5.5,4.0,1.55,6.0,4.0,1.53,7.94,4.02,1.55,7.0,4.0,1.5,7.5,3.8,1.44,7.5,4.0,1.55,32,8.1,6.96,4.33,3.98,1.55,1.5,30,2.08,2.0,1.9,1.8,19,1.0,2.09,2.04,1.88,1.83
2,1,1,1,4.75,3.6,1.75,4.75,3.75,1.7,4.7,3.6,1.7,4.8,3.6,1.75,5.15,3.69,1.79,4.75,3.6,1.75,4.5,3.75,1.73,4.8,3.6,1.8,32,5.2,4.64,3.85,3.61,1.8,1.74,30,2.06,1.97,1.92,1.82,18,1.0,1.69,1.58,2.51,2.42
2,1,1,1,2.5,3.0,3.0,2.45,3.1,3.0,2.3,3.2,3.0,2.37,3.2,3.0,2.56,3.18,3.18,2.5,3.0,3.0,2.4,3.13,2.88,2.55,3.2,3.1,32,2.56,2.41,3.25,3.15,3.25,2.99,30,2.42,2.31,1.69,1.6,16,0.0,1.78,1.72,2.21,2.14
2,0,0,0,1.62,3.75,5.5,1.6,3.75,5.75,1.65,3.7,4.9,1.61,3.75,5.5,1.65,3.95,6.17,1.7,3.75,4.8,1.62,3.6,5.25,1.67,3.9,5.75,32,1.7,1.65,3.95,3.74,6.17,5.27,30,2.02,1.93,1.95,1.87,19,-1.0,2.26,2.14,1.78,1.73
2,1,2,0,2.0,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,1.85,3.5,4.2,2.0,3.48,4.2,2.0,3.4,3.75,1.95,3.3,3.8,2.0,3.4,4.1,32,2.0,1.95,3.55,3.35,4.25,3.94,30,2.12,2.01,1.89,1.79,16,-0.5,2.0,1.96,1.94,1.91
0,2,0,0,3.6,3.5,2.0,3.7,3.4,2.0,3.6,3.3,2.0,3.75,3.4,2.0,3.97,3.61,2.04,3.4,3.6,2.05,3.6,3.4,2.0,3.75,3.6,2.05,32,4.0,3.62,3.61,3.44,2.1,2.0,30,1.85,1.78,2.16,2.02,16,0.5,1.92,1.88,2.04,1.99
3,0,2,0,1.36,4.75,8.5,1.33,5.0,9.0,1.4,4.4,7.3,1.4,4.5,7.5,1.39,4.95,9.83,1.4,4.5,8.0,1.36,4.5,7.5,1.4,4.8,9.0,32,1.4,1.38,5.0,4.61,9.83,8.1,30,1.77,1.71,2.22,2.12,19,-1.5,2.2,2.14,1.78,1.73
0,0,0,0,1.85,3.5,4.2,1.83,3.4,4.5,1.9,3.45,3.8,1.9,3.4,4.0,1.85,3.6,4.85,1.85,3.4,4.4,1.83,3.3,4.33,1.9,3.5,4.6,32,1.92,1.85,3.57,3.39,4.85,4.36,30,2.3,2.19,1.76,1.67,16,-0.25,1.65,1.6,2.49,2.39
2,0,1,0,2.0,3.3,3.8,1.95,3.3,4.0,2.0,3.3,3.6,1.9,3.4,4.0,2.07,3.41,4.04,2.05,3.25,3.8,1.95,3.25,3.75,2.05,3.4,4.0,32,2.07,2.0,3.41,3.3,4.1,3.78,30,2.3,2.19,1.76,1.67,16,-0.25,1.78,1.73,2.25,2.16
2,1,2,1,1.44,4.2,7.5,1.45,4.2,7.25,1.45,4.0,7.0,1.53,4.0,6.0,1.48,4.5,8.09,1.5,4.2,6.5,1.44,4.0,6.5,1.5,4.5,7.0,32,1.53,1.48,4.5,4.16,8.09,6.69,30,1.87,1.79,2.09,2.01,19,-1.0,1.89,1.84,2.06,2.02
