FTHG,FTAG,HTHG,HTAG,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
2,2,1,1,2.35,3.2,2.55,2.6,3.0,2.2,2.4,3.25,2.5,2.35,3.3,2.45
2,0,0,0,5.0,3.5,1.5,5.0,3.5,1.45,5.0,3.5,1.57,4.7,3.6,1.55
2,0,1,0,1.33,4.35,5.6,1.45,3.5,5.0,1.53,3.5,5.5,1.45,3.9,5.2
0,1,0,0,2.2,3.3,2.6,2.0,3.0,2.9,2.2,3.25,2.75,2.0,3.4,2.9
1,1,0,0,2.3,3.3,2.6,2.2,3.0,2.6,2.4,3.25,2.5,2.4,3.3,2.4
2,3,1,2,2.2,3.45,2.6,2.2,3.0,2.6,2.25,3.3,2.63,2.3,3.35,2.45
2,0,1,0,2.5,3.3,2.35,2.6,3.0,2.2,2.4,3.25,2.5,2.4,3.3,2.4
3,1,1,1,1.7,3.15,4.55,1.8,3.0,3.5,1.73,3.3,4.2,1.65,3.5,4.1
5,0,1,0,1.25,4.05,7.0,1.25,4.3,8.0,1.25,5.0,8.0,1.25,4.75,8.0
4,4,2,2,1.9,3.2,3.5,1.75,3.1,3.6,1.91,3.25,3.4,1.85,3.3,3.4
3,0,1,0,1.43,3.8,5.2,1.3,4.0,7.0,1.36,4.0,7.0,1.3,4.2,7.5
1,3,0,2,2.5,3.4,2.3,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45
0,2,0,1,3.0,3.3,2.05,2.8,3.0,2.1,2.75,3.25,2.2,2.6,3.35,2.2
5,1,1,1,2.0,3.3,3.0,2.2,3.0,2.6,2.0,3.2,3.2,1.85,3.45,3.25
2,0,0,0,1.75,3.6,3.65,1.6,3.3,4.0,1.67,3.5,4.2,1.65,3.5,4.0
4,1,2,0,3.0,3.0,2.1,3.3,3.1,1.8,3.2,3.25,2.0,3.15,3.4,1.9
3,0,0,0,3.8,3.5,1.7,3.4,3.2,1.75,4.0,3.4,1.73,3.8,3.5,1.7
1,2,1,1,2.45,3.05,2.5,2.35,3.0,2.35,2.5,3.25,2.38,2.5,3.3,2.3
1,3,1,0,3.65,3.3,1.8,3.3,3.1,1.8,3.6,3.4,1.8,3.5,3.35,1.8
2,1,1,0,1.45,3.65,5.6,1.4,3.6,5.5,1.5,3.75,5.25,1.45,3.75,5.5
2,2,1,0,1.33,3.9,7.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.1,6.5
0,0,0,0,1.25,4.4,7.0,1.3,4.0,7.0,1.3,4.5,7.5,1.25,5.0,7.5
1,0,0,0,2.2,3.3,2.7,2.1,3.0,2.8,2.2,3.25,2.75,2.1,3.4,2.7
1,1,1,0,2.35,3.2,2.55,2.6,3.0,2.2,2.5,3.3,2.38,2.4,3.3,2.4
3,0,1,0,2.5,3.3,2.25,2.3,3.0,2.4,2.4,3.4,2.4,2.4,3.3,2.4
2,2,1,0,2.15,3.2,2.65,2.1,3.0,2.8,2.2,3.3,2.7,2.1,3.4,2.7
5,1,2,0,1.5,3.5,5.4,1.4,3.6,5.5,1.44,3.75,6.0,1.45,3.8,5.4
0,3,0,2,4.3,3.35,1.6,5.0,3.5,1.45,4.75,3.6,1.57,4.25,3.6,1.6
3,1,1,1,1.21,4.7,8.4,1.2,4.7,9.0,1.22,5.0,9.0,1.25,4.5,8.5
4,2,2,0,2.3,3.3,2.5,2.35,3.0,2.35,2.38,3.25,2.5,2.3,3.3,2.5
3,1,2,0,1.33,4.25,6.4,1.25,4.3,8.0,1.33,4.2,7.5,1.3,4.4,7.0
2,1,0,1,1.4,3.7,5.7,1.35,3.8,6.2,1.44,3.75,6.0,1.45,3.9,5.2
2,2,1,1,2.0,3.4,2.9,1.9,3.0,3.1,2.0,3.2,3.2,2.1,3.4,2.7
2,2,1,2,2.1,3.4,2.7,2.1,3.0,2.8,2.25,3.2,2.7,2.3,3.4,2.45
1,1,0,0,2.0,3.4,3.0,2.1,3.0,2.8,2.0,3.3,3.1,2.15,3.4,2.65
3,5,3,2,1.43,3.9,5.4,1.4,3.6,5.5,1.44,3.75,6.0,1.4,3.9,6.0
2,1,1,1,,,,1.5,3.4,4.7,,,,,,
3,0,2,0,2.0,3.45,3.0,2.0,3.0,2.9,2.0,3.4,3.0,1.8,3.4,3.5
2,1,2,0,1.25,4.5,8.1,1.2,4.7,9.0,1.25,5.0,8.0,1.25,4.5,8.5
3,2,2,1,3.2,3.3,1.95,3.2,3.1,1.85,3.4,3.3,1.9,3.2,3.35,1.9
1,1,1,0,1.66,3.4,4.0,1.6,3.3,4.0,1.67,3.5,4.2,1.65,3.5,4.1
0,2,0,1,2.2,3.15,2.8,2.2,3.0,2.6,2.3,3.25,2.6,2.4,3.35,2.35
1,2,0,1,2.15,3.3,2.7,2.2,3.0,2.6,2.2,3.4,2.63,2.2,3.25,2.65
1,0,1,0,1.47,3.65,5.2,1.35,3.8,6.2,1.5,3.6,5.5,1.45,3.8,5.3
2,0,0,0,1.13,6.5,11.0,1.15,5.5,11.0,,,,1.11,6.5,12.0
1,4,0,4,3.25,3.55,1.9,3.4,3.2,1.75,3.25,3.4,1.9,3.15,3.4,1.9
1,3,1,1,2.15,3.3,2.7,2.1,3.0,2.8,2.1,3.4,2.8,2.4,3.3,2.4
2,0,1,0,2.3,3.25,2.55,2.35,3.0,2.35,2.38,3.25,2.5,2.3,3.2,2.55
0,0,0,0,2.0,3.4,3.1,1.9,3.0,3.1,2.1,3.3,2.88,1.95,3.4,3.0
3,1,2,0,1.57,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5.0,1.45,3.75,5.5
2,3,2,1,3.8,3.3,1.75,4.0,3.3,1.6,3.75,3.5,1.75,3.7,3.4,1.75
0,1,0,0,5.0,3.8,1.45,5.0,3.5,1.45,4.5,3.5,1.62,4.5,3.7,1.55
1,1,0,1,2.25,3.2,2.6,2.3,3.1,2.3,2.4,3.3,2.4,2.4,3.3,2.4
4,2,1,0,1.7,3.4,4.0,1.7,3.2,3.6,1.8,3.4,3.6,1.8,3.4,3.45
1,2,0,0,2.3,3.2,2.55,2.35,3.0,2.35,2.38,3.25,2.5,2.35,3.3,2.45
2,1,0,1,1.3,4.8,6.0,1.3,4.0,7.0,1.4,3.75,7.0,1.45,3.8,5.4
2,2,1,0,2.6,3.2,2.3,2.3,3.1,2.3,2.63,3.25,2.3,2.62,3.25,2.3
3,1,2,0,1.85,3.4,3.3,1.7,3.2,3.6,1.8,3.5,3.5,1.75,3.45,3.6
1,1,1,0,1.6,3.55,4.6,1.45,3.5,5.0,1.5,3.6,5.5,1.45,3.9,5.2
0,0,0,0,1.25,5.3,7.6,1.25,4.3,8.0,1.25,4.75,8.5,1.3,4.2,7.5
2,0,1,0,1.55,3.6,4.9,1.45,3.5,5.0,1.5,3.6,5.0,1.35,4.1,6.5
1,1,1,0,1.35,4.1,6.2,1.3,4.0,7.0,1.36,4.0,7.0,1.35,4.2,6.3
6,2,2,0,1.75,3.3,4.0,1.55,3.3,4.5,1.73,3.4,4.0,1.75,3.4,3.65
