FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
1,1,1,0,2.0,3.4,3.0,1.95,3.25,3.3,2.0,3.2,3.1,2.0,3.3,3.1,1.9,3.3,3.3,1.55,2.2
3,3,1,2,2.4,3.25,2.5,2.42,3.3,2.45,2.5,3.0,2.5,2.4,3.1,2.6,2.45,3.15,2.45,1.55,2.1
0,2,0,2,5.0,3.5,1.571,5.45,3.55,1.52,4.8,3.5,1.55,5.5,3.5,1.5330000000000001,5.0,3.7,1.5,1.45,2.35
2,2,1,0,2.0,3.4,3.0,2.0,3.3,3.25,1.85,3.2,3.5,2.1,3.2,3.0,1.9,3.2,3.35,1.6,2.05
0,2,0,0,2.0,3.4,3.0,2.05,3.25,3.18,1.9,3.2,3.4,2.1,3.2,3.0,1.85,3.35,3.35,1.6,2.05
3,1,1,1,1.3330000000000002,4.0,8.0,1.33,4.4,7.8,1.25,4.5,9.0,1.3330000000000002,4.0,8.0,1.3,4.4,7.25,1.42,2.45
2,0,0,0,1.364,3.75,8.0,1.36,4.4,7.8,1.25,4.5,9.0,1.364,3.75,8.0,1.35,4.0,7.0,1.42,2.45
1,2,1,1,2.7,3.25,2.25,2.82,3.25,2.28,2.9,3.0,2.2,2.7,3.25,2.25,2.5,3.2,2.35,1.65,1.95
4,2,1,0,1.571,3.5,5.0,1.6,3.55,5.0,1.55,3.5,4.8,1.615,3.5,4.5,1.6,3.5,4.4,1.55,2.1
2,0,1,0,1.8330000000000002,3.2,3.75,1.9,3.35,3.95,1.9,3.1,3.5,1.85,3.25,3.6,1.7,3.4,3.9,1.6,2.05
2,0,1,0,1.8,3.25,3.75,1.71,3.5,4.25,1.75,3.3,3.8,1.8,3.25,3.8,1.7,3.4,3.9,1.55,2.15
1,2,1,0,1.615,3.25,5.0,1.57,3.65,5.25,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,5.4,1.6,2.05
1,0,0,0,1.167,5.5,11.0,1.17,6.0,13.0,1.15,6.0,12.0,1.167,5.5,10.0,,,,1.6,2.05
2,2,1,1,3.0,3.2,2.1,3.1,3.25,2.1,2.8,3.1,2.2,3.1,3.3,2.0,3.1,3.2,2.0,1.65,1.95
