FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
0,0,0,0,7.0,3.75,1.5,7.0,3.7,1.45,7.0,3.7,1.5,5.4,3.5,1.5,6.5,3.6,1.44,7.0,3.75,1.5,6.0,3.4,1.5,6.5,3.6,1.5,6.5,3.75,1.45,66,8.31,6.83,4.35,3.7,1.55,1.45,43,1.94,1.78,2.05,1.92,21,1.25,1.92,1.84,2.1,2.02
3,0,0,0,2.0,3.25,3.25,1.95,3.15,3.65,1.95,3.25,3.85,1.9,3.0,3.6,1.91,3.2,3.5,1.91,3.3,3.6,1.9,3.0,3.75,1.91,3.2,3.75,,,,66,2.05,1.92,3.3,3.19,4.25,3.67,39,1.95,1.85,2.0,1.84,20,-0.5,2.04,1.96,1.95,1.87
1,0,0,0,2.0,3.25,3.25,1.75,3.3,4.4,1.95,3.25,3.85,1.9,3.0,3.6,1.91,3.2,3.5,1.91,3.25,4.0,1.95,3.1,3.5,2.0,3.2,3.5,1.85,3.25,3.75,65,2.1,1.94,3.4,3.19,4.2,3.63,42,2.13,1.99,1.85,1.72,23,-0.5,2.1,2.04,1.85,1.81
0,0,0,0,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.3,5.25,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.7,3.2,4.5,1.67,3.3,5.0,1.65,3.4,4.5,59,1.75,1.66,3.6,3.34,6.11,4.89,37,2.12,1.97,1.82,1.74,18,-0.75,1.92,1.88,2.05,1.98
1,2,0,1,7.5,4.0,1.44,8.0,4.25,1.35,7.5,3.9,1.45,5.4,3.5,1.5,6.5,4.0,1.4,7.0,3.75,1.5,6.5,3.6,1.44,7.0,3.75,1.44,6.5,3.6,1.45,65,8.8,7.0,4.2,3.77,1.55,1.43,40,1.88,1.7,2.15,1.98,20,1.25,1.92,1.85,2.08,2.0
2,0,1,0,2.1,3.25,3.0,2.1,3.1,3.3,2.1,3.2,3.4,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.2,3.2,2.15,3.1,3.0,2.0,3.2,3.5,2.0,3.2,3.25,63,2.2,2.06,3.35,3.17,3.9,3.34,40,2.2,2.02,1.75,1.67,19,-0.25,1.9,1.87,2.07,1.98
0,2,0,0,1.61,3.4,5.0,1.65,3.5,4.75,1.63,3.5,5.5,1.7,3.1,4.4,1.67,3.2,5.0,1.67,3.4,4.75,1.66,3.3,4.5,1.62,3.4,5.25,1.6,3.3,5.0,63,1.7,1.64,3.7,3.4,6.19,5.04,40,2.13,1.96,1.85,1.74,18,-0.75,1.95,1.9,2.0,1.96
0,1,0,1,2.7,3.2,2.3,2.65,3.1,2.5,2.7,3.2,2.5,2.3,3.0,2.7,2.6,3.2,2.38,2.62,3.1,2.5,2.37,3.1,2.62,2.55,3.15,2.55,2.5,3.1,2.5,64,2.8,2.56,3.35,3.14,2.8,2.53,40,2.01,1.88,1.95,1.81,20,0.0,1.93,1.86,2.03,1.98
2,1,1,0,2.7,3.2,2.3,2.7,3.15,2.4,2.75,3.2,2.45,2.5,3.0,2.5,2.75,3.2,2.25,2.8,3.2,2.3,2.75,3.2,2.25,2.88,3.0,2.38,2.9,3.0,2.25,61,3.2,2.83,3.4,3.18,2.5,2.3,39,2.13,1.95,1.9,1.75,18,0.25,1.95,1.91,1.99,1.94
1,0,1,0,1.66,3.4,4.5,1.65,3.5,4.7,1.63,3.5,5.5,1.6,3.3,4.8,1.67,3.2,5.0,1.67,3.3,5.0,1.57,3.3,5.5,1.62,3.4,5.25,1.6,3.3,5.0,63,1.67,1.6,3.79,3.43,7.35,5.41,40,2.1,1.94,1.85,1.74,18,-0.75,1.85,1.77,2.19,2.1
